	Source	Target	Weight	Type
3	#isma	#rosa	10	Undirected
5	#isma	#zeno	9	Undirected
26	#clem	#alfo	7	Undirected
2	#isma	#clem	6	Undirected
25	#clem	#rosa	6	Undirected
34	#rosa	#alfo	5	Undirected
6	#isma	#roge	5	Undirected
45	#zeno	#roge	5	Undirected
35	#rosa	#zeno	5	Undirected
4	#isma	#alfo	4	Undirected
20	#casa	#zeno	3	Undirected
27	#clem	#zeno	3	Undirected
1	#isma	#casa	3	Undirected
21	#casa	#roge	3	Undirected
54	#mart	#cebr	3	Undirected
10	#juan	#casa	3	Undirected
32	#clem	#beat	2	Undirected
31	#clem	#mari	2	Undirected
28	#clem	#insu	2	Undirected
39	#alfo	#zeno	2	Undirected
40	#alfo	#insu	2	Undirected
36	#rosa	#roge	2	Undirected
42	#alfo	#mari	2	Undirected
11	#juan	#clem	2	Undirected
43	#alfo	#beat	2	Undirected
19	#casa	#alfo	2	Undirected
18	#casa	#rosa	2	Undirected
17	#casa	#clem	2	Undirected
56	#mari	#beat	2	Undirected
14	#juan	#mart	2	Undirected
12	#juan	#insu	2	Undirected
50	#insu	#mari	1	Undirected
44	#alfo	#inst	1	Undirected
57	#mari	#inst	1	Undirected
55	#mart	#pepa	1	Undirected
46	#zeno	#cebr	1	Undirected
47	#zeno	#pepa	1	Undirected
49	#insu	#pepa	1	Undirected
53	#roge	#pepa	1	Undirected
52	#roge	#cebr	1	Undirected
48	#insu	#mart	1	Undirected
51	#insu	#beat	1	Undirected
0	#isma	#juan	1	Undirected
29	#clem	#roge	1	Undirected
41	#alfo	#roge	1	Undirected
38	#rosa	#seve	1	Undirected
37	#rosa	#cebr	1	Undirected
33	#clem	#inst	1	Undirected
30	#clem	#cebr	1	Undirected
24	#casa	#pepa	1	Undirected
23	#casa	#cebr	1	Undirected
22	#casa	#mart	1	Undirected
16	#juan	#pepa	1	Undirected
15	#juan	#cebr	1	Undirected
13	#juan	#roge	1	Undirected
9	#isma	#seve	1	Undirected
8	#isma	#pepa	1	Undirected
7	#isma	#cebr	1	Undirected
58	#beat	#inst	1	Undirected
