	scene_1	scene_2	scene_3	scene_4	scene_5	scene_6	scene_7	scene_8	scene_9	scene_10	scene_11	scene_12	scene_13	scene_14	scene_15	scene_16	scene_17	scene_18	scene_19	scene_20	scene_21	scene_22	scene_23	scene_24	scene_25	scene_26	scene_27	scene_28	scene_29	scene_30
#isma	0	0	0	2	8	6	9	15	1	2	8	3	0	0	0	0	0	0	0	34	7	10	5	22	6	3	0	0	0	0
#juan	13	17	17	3	0	0	0	0	0	0	0	0	40	3	0	0	0	0	0	0	0	0	0	0	0	0	0	8	35	0
#casa	0	0	0	0	0	0	0	0	0	0	8	4	41	2	0	0	22	0	0	0	0	0	0	0	0	22	0	0	35	1
#clem	0	0	7	1	0	0	0	0	7	1	0	0	0	0	31	7	20	21	5	0	0	0	0	14	7	2	0	0	0	0
#rosa	0	0	0	0	0	7	14	0	8	2	0	0	0	0	0	0	12	0	0	0	10	10	3	21	9	22	0	0	0	0
#alfo	0	0	0	0	0	6	7	0	0	0	0	0	0	0	31	4	12	21	6	0	0	0	0	0	8	4	0	0	0	0
#zeno	0	0	0	0	0	0	11	6	2	2	8	2	0	0	0	0	0	0	0	35	8	0	0	0	0	3	0	0	0	0
#insu	1	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	2	0	0	0	0	0	0	0	0	0	0	0
#roge	0	0	0	0	0	0	1	14	0	3	7	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#mart	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	5	0	1
#cebr	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	0	2
#pepa	6	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#mari	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	5	0	0	0	0	0	0	0	0	0	0	0
#beat	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	4	0	0	0	0	0	0	0	0	0	0	0
#seve	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
#inst	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
