	Source	Target	Weight	Type
216	scene_7	scene_29	6	Undirected
218	scene_7	scene_31	6	Undirected
944	scene_29	scene_31	6	Undirected
241	scene_7	scene_54	6	Undirected
965	scene_29	scene_54	5	Undirected
171	scene_6	scene_29	5	Undirected
522	scene_14	scene_54	5	Undirected
150	scene_6	scene_7	5	Undirected
1011	scene_31	scene_47	5	Undirected
1331	scene_47	scene_54	5	Undirected
958	scene_29	scene_47	5	Undirected
201	scene_7	scene_14	5	Undirected
215	scene_7	scene_28	5	Undirected
909	scene_28	scene_29	5	Undirected
173	scene_6	scene_31	5	Undirected
1018	scene_31	scene_54	5	Undirected
234	scene_7	scene_47	5	Undirected
911	scene_28	scene_31	5	Undirected
833	scene_25	scene_31	4	Undirected
831	scene_25	scene_29	4	Undirected
943	scene_29	scene_30	4	Undirected
217	scene_7	scene_30	4	Undirected
168	scene_6	scene_26	4	Undirected
640	scene_18	scene_29	4	Undirected
214	scene_7	scene_27	4	Undirected
213	scene_7	scene_26	4	Undirected
212	scene_7	scene_25	4	Undirected
642	scene_18	scene_31	4	Undirected
172	scene_6	scene_30	4	Undirected
169	scene_6	scene_27	4	Undirected
170	scene_6	scene_28	4	Undirected
205	scene_7	scene_18	4	Undirected
204	scene_7	scene_17	4	Undirected
200	scene_7	scene_13	4	Undirected
656	scene_18	scene_47	4	Undirected
962	scene_29	scene_51	4	Undirected
990	scene_30	scene_54	4	Undirected
526	scene_14	scene_58	4	Undirected
525	scene_14	scene_57	4	Undirected
515	scene_14	scene_47	4	Undirected
662	scene_18	scene_54	4	Undirected
180	scene_6	scene_47	4	Undirected
983	scene_30	scene_47	4	Undirected
187	scene_6	scene_54	4	Undirected
476	scene_13	scene_54	4	Undirected
932	scene_28	scene_54	4	Undirected
228	scene_7	scene_41	4	Undirected
887	scene_27	scene_31	4	Undirected
244	scene_7	scene_57	4	Undirected
245	scene_7	scene_58	4	Undirected
251	scene_7	scene_64	4	Undirected
1238	scene_41	scene_54	4	Undirected
885	scene_27	scene_29	4	Undirected
886	scene_27	scene_30	4	Undirected
489	scene_14	scene_17	4	Undirected
1407	scene_54	scene_64	4	Undirected
500	scene_14	scene_31	4	Undirected
894	scene_27	scene_47	4	Undirected
901	scene_27	scene_54	4	Undirected
499	scene_14	scene_30	4	Undirected
498	scene_14	scene_29	4	Undirected
496	scene_14	scene_27	4	Undirected
626	scene_17	scene_57	4	Undirected
623	scene_17	scene_54	4	Undirected
1400	scene_54	scene_57	4	Undirected
157	scene_6	scene_14	4	Undirected
925	scene_28	scene_47	4	Undirected
1401	scene_54	scene_58	4	Undirected
865	scene_26	scene_29	4	Undirected
867	scene_26	scene_31	4	Undirected
976	scene_30	scene_31	4	Undirected
1206	scene_40	scene_42	4	Undirected
1246	scene_41	scene_64	4	Undirected
151	scene_6	scene_8	3	Undirected
340	scene_10	scene_31	3	Undirected
184	scene_6	scene_51	3	Undirected
495	scene_14	scene_26	3	Undirected
519	scene_14	scene_51	3	Undirected
1328	scene_47	scene_51	3	Undirected
1326	scene_47	scene_49	3	Undirected
1063	scene_33	scene_40	3	Undirected
160	scene_6	scene_17	3	Undirected
1335	scene_47	scene_58	3	Undirected
1065	scene_33	scene_42	3	Undirected
161	scene_6	scene_18	3	Undirected
167	scene_6	scene_25	3	Undirected
1334	scene_47	scene_57	3	Undirected
1248	scene_42	scene_44	3	Undirected
338	scene_10	scene_29	3	Undirected
1061	scene_33	scene_38	3	Undirected
510	scene_14	scene_41	3	Undirected
337	scene_10	scene_28	3	Undirected
529	scene_14	scene_64	3	Undirected
1257	scene_42	scene_54	3	Undirected
598	scene_17	scene_27	3	Undirected
238	scene_7	scene_51	3	Undirected
627	scene_17	scene_58	3	Undirected
617	scene_17	scene_47	3	Undirected
554	scene_16	scene_17	3	Undirected
602	scene_17	scene_31	3	Undirected
601	scene_17	scene_30	3	Undirected
1296	scene_44	scene_64	3	Undirected
600	scene_17	scene_29	3	Undirected
268	scene_8	scene_26	3	Undirected
236	scene_7	scene_49	3	Undirected
270	scene_8	scene_28	3	Undirected
271	scene_8	scene_29	3	Undirected
272	scene_8	scene_30	3	Undirected
273	scene_8	scene_31	3	Undirected
592	scene_17	scene_18	3	Undirected
588	scene_16	scene_57	3	Undirected
564	scene_16	scene_30	3	Undirected
585	scene_16	scene_54	3	Undirected
540	scene_15	scene_29	3	Undirected
233	scene_7	scene_46	3	Undirected
665	scene_18	scene_57	3	Undirected
1240	scene_41	scene_58	3	Undirected
190	scene_6	scene_57	3	Undirected
191	scene_6	scene_58	3	Undirected
1315	scene_46	scene_54	3	Undirected
195	scene_7	scene_8	3	Undirected
197	scene_7	scene_10	3	Undirected
658	scene_18	scene_49	3	Undirected
