	Source	Target	Weight	Type
40	#evar	#urba	17	Undirected
2	#elec	#marq	17	Undirected
33	#marq	#urba	17	Undirected
32	#marq	#evar	15	Undirected
24	#pant	#marq	15	Undirected
25	#pant	#evar	15	Undirected
0	#elec	#maxi	14	Undirected
14	#maxi	#marq	13	Undirected
1	#elec	#pant	12	Undirected
26	#pant	#urba	11	Undirected
3	#elec	#evar	10	Undirected
4	#elec	#urba	9	Undirected
15	#maxi	#evar	9	Undirected
41	#evar	#cues	8	Undirected
5	#elec	#cues	8	Undirected
46	#urba	#cues	8	Undirected
27	#pant	#cues	8	Undirected
13	#maxi	#pant	7	Undirected
34	#marq	#cues	6	Undirected
16	#maxi	#urba	6	Undirected
21	#maxi	#mari	4	Undirected
9	#elec	#mari	4	Undirected
6	#elec	#patr	4	Undirected
44	#evar	#jose	3	Undirected
7	#elec	#doro	3	Undirected
49	#urba	#jose	3	Undirected
50	#urba	#balb	3	Undirected
39	#marq	#mari	2	Undirected
38	#marq	#balb	2	Undirected
37	#marq	#jose	2	Undirected
45	#evar	#balb	2	Undirected
35	#marq	#patr	2	Undirected
43	#evar	#doro	2	Undirected
22	#maxi	#gil_	2	Undirected
31	#pant	#balb	2	Undirected
30	#pant	#jose	2	Undirected
51	#cues	#patr	2	Undirected
47	#urba	#patr	2	Undirected
23	#maxi	#oper	2	Undirected
54	#patr	#balb	1	Undirected
52	#cues	#jose	1	Undirected
48	#urba	#doro	1	Undirected
53	#cues	#balb	1	Undirected
28	#pant	#patr	1	Undirected
42	#evar	#patr	1	Undirected
36	#marq	#doro	1	Undirected
29	#pant	#doro	1	Undirected
20	#maxi	#jose	1	Undirected
19	#maxi	#doro	1	Undirected
18	#maxi	#patr	1	Undirected
17	#maxi	#cues	1	Undirected
12	#elec	#eleu	1	Undirected
11	#elec	#oper	1	Undirected
10	#elec	#gil_	1	Undirected
8	#elec	#balb	1	Undirected
55	#mari	#gil_	1	Undirected
