	approximate_current_flow_betweenness_centrality	betweenness	closeness_centrality	communicability_centrality_exp	current_flow_betweenness_centrality	degree	degree-vs	eccentricity	eigenvector_centrality	importance	label	load_centrality	nature	pers_mes_characters	pers_mes_rss	pers_mes_scenes	pers_mes_sps	position	role	sex	importance-nr	is_protagonist	is_lover	is_antagonist	is_primary	is_minor	antagonist	lover	degree-rel	betweenness-rel	position-rel	work	total_characters
#man2	0.0406722276741904	0.0	0.5666666666666667	80.84387120951473	0.05724582603731716	4	400	2	0.10856194910888321	minor	Manola 2ª	0.0	person	162	0	1	10	5	other	F	3	0	0	0	0	1	0	0	0.2222222222222222	0.0	0.2777777777777778	bette007_Lorca_Rosita	18
#madr	0.0679260713117436	0.0	0.6538461538461539	539.1188254663451	0.07415077578299885	8	800	2	0.28857739305208574	minor	Madre de las Solteras	0.0	person	3165	2	2	30	10	other	F	3	0	0	0	0	1	0	0	0.4444444444444444	0.0	0.5555555555555556	bette007_Lorca_Rosita	18
#sol1	0.05959273797841022	0.0	0.6538461538461539	539.1188254663454	0.0741507757829989	8	800	2	0.28857739305208574	minor	Soltera 1ª	0.0	person	408	1	2	14	7	other	F	3	0	0	0	0	1	0	0	0.4444444444444444	0.0	0.3888888888888889	bette007_Lorca_Rosita	18
#tio	0.038918874713771645	0.0024509803921568627	0.5666666666666667	121.01510240930384	0.06048477618067186	4	400	2	0.13548402534249254	minor	Tío	0.0024509803921568623	person	4735	8	9	51	13	other	M	3	0	0	0	0	1	0	0	0.2222222222222222	0.00013616557734204792	0.7222222222222222	bette007_Lorca_Rosita	18
#mart	0.026551766437684005	0.0	0.5483870967741935	61.262408825891804	0.04105692816871597	3	300	2	0.09524014038890505	minor	Don Martín	0.0	person	3350	7	3	26	15	other	M	3	0	0	0	0	1	0	0	0.16666666666666666	0.0	0.8333333333333334	bette007_Lorca_Rosita	18
#ayo2	0.0762594046450769	0.0	0.6538461538461539	539.1188254663454	0.07415077578299888	8	800	2	0.28857739305208574	minor	Ayola 2ª	0.0	person	818	2	1	16	12	other	F	3	0	0	0	0	1	0	0	0.4444444444444444	0.0	0.6666666666666666	bette007_Lorca_Rosita	18
#sobr	0.009609093882891719	0.0	0.53125	47.62513896091852	0.01267502421315269	2	200	2	0.084383799428924	primary	Sobrino	0.0	person	601	2	1	11	0	other	M	1	0	0	0	1	0	0	0	0.1111111111111111	0.0	0.0	bette007_Lorca_Rosita	18
#ama	0.4200110402355252	0.3651960784313726	1.0	968.05316281708	0.40944308947000535	17	1700	1	0.38680632308814716	minor	Ama	0.3651960784313726	person	16465	24	23	142	2	other	F	3	0	0	0	0	1	0	0	0.9444444444444444	0.020288671023965144	0.1111111111111111	bette007_Lorca_Rosita	18
#much	0.025744193653909078	0.0	0.5483870967741935	101.0776013097246	0.028370278435221042	3	300	2	0.12410478460923476	minor	Muchacho	0.0	person	786	2	1	14	16	other	M	3	0	0	0	0	1	0	0	0.16666666666666666	0.0	0.8888888888888888	bette007_Lorca_Rosita	18
#man1	0.0556722276741904	0.0	0.5666666666666667	80.84387120951467	0.05724582603731718	4	400	2	0.10856194910888321	minor	Manola 1ª	0.0	person	344	1	1	13	4	other	F	3	0	0	0	0	1	0	0	0.2222222222222222	0.0	0.2222222222222222	bette007_Lorca_Rosita	18
#obre	0.064051766437684	0.0	0.5483870967741935	61.262408825891804	0.041056928168715943	3	300	2	0.09524014038890506	minor	Dos obreros	0.0	person	29	0	2	2	17	other	M	3	0	0	0	0	1	0	0	0.16666666666666666	0.0	0.9444444444444444	bette007_Lorca_Rosita	18
#rosi	0.21919528949950923	0.13112745098039214	0.8095238095238095	785.5099103039968	0.2741294489663711	13	1300	2	0.3484658090461098	primary	Rosita	0.13112745098039214	person	12560	53	13	120	1	protagonist	F	1	1	0	0	1	0	0	0	0.7222222222222222	0.007284858387799563	0.05555555555555555	bette007_Lorca_Rosita	18
#voz	0.0473503434739941	0.0	0.5483870967741935	66.86964242584698	0.03627162346783658	3	300	2	0.09982750064635551	minor	Una voz	0.0	person	103	0	2	3	18	other	M	3	0	0	0	0	1	0	0	0.16666666666666666	0.0	1.0	bette007_Lorca_Rosita	18
#tia	0.2817611220150478	0.17769607843137256	0.85	808.4312010079326	0.31383753615937715	14	1400	2	0.3534804724700017	minor	Tía	0.17769607843137253	person	12257	12	23	204	3	other	F	3	0	0	0	0	1	0	0	0.7777777777777778	0.009872004357298476	0.16666666666666666	bette007_Lorca_Rosita	18
#sol2	0.06792607131174361	0.0	0.6538461538461539	539.1188254663452	0.0741507757829989	8	800	2	0.2885773930520857	minor	Soltera 2ª	0.0	person	395	3	2	10	8	other	F	3	0	0	0	0	1	0	0	0.4444444444444444	0.0	0.4444444444444444	bette007_Lorca_Rosita	18
#sol3	0.06792607131174358	0.0	0.6538461538461539	539.118825466345	0.07415077578299888	8	800	2	0.28857739305208574	minor	Soltera 3ª	0.0	person	1761	3	3	25	9	other	F	3	0	0	0	0	1	0	0	0.4444444444444444	0.0	0.5	bette007_Lorca_Rosita	18
#man3	0.04067222767419042	0.0	0.5666666666666667	80.84387120951472	0.0572458260373171	4	400	2	0.1085619491088832	minor	Manola 3ª	0.0	person	258	0	1	8	6	other	F	3	0	0	0	0	1	0	0	0.2222222222222222	0.0	0.3333333333333333	bette007_Lorca_Rosita	18
#ayo1	0.05125940464507697	0.0	0.6538461538461539	539.1188254663451	0.0741507757829989	8	800	2	0.28857739305208574	minor	Ayola 1ª	0.0	person	1281	0	1	22	11	other	F	3	0	0	0	0	1	0	0	0.4444444444444444	0.0	0.6111111111111112	bette007_Lorca_Rosita	18
