	Source	Target	Weight	Type
217	scene_13	scene_14	7	Undirected
62	scene_3	scene_15	4	Undirected
26	scene_2	scene_3	4	Undirected
38	scene_2	scene_15	4	Undirected
204	scene_12	scene_15	4	Undirected
35	scene_2	scene_12	4	Undirected
59	scene_3	scene_12	4	Undirected
0	scene_1	scene_2	3	Undirected
74	scene_3	scene_27	3	Undirected
72	scene_3	scene_25	3	Undirected
71	scene_3	scene_24	3	Undirected
255	scene_15	scene_27	3	Undirected
64	scene_3	scene_17	3	Undirected
60	scene_3	scene_13	3	Undirected
61	scene_3	scene_14	3	Undirected
245	scene_15	scene_17	3	Undirected
57	scene_3	scene_10	3	Undirected
50	scene_2	scene_27	3	Undirected
48	scene_2	scene_25	3	Undirected
47	scene_2	scene_24	3	Undirected
273	scene_17	scene_24	3	Undirected
252	scene_15	scene_24	3	Undirected
241	scene_14	scene_25	3	Undirected
243	scene_14	scene_27	3	Undirected
276	scene_17	scene_27	3	Undirected
1	scene_1	scene_3	3	Undirected
171	scene_10	scene_12	3	Undirected
174	scene_10	scene_15	3	Undirected
202	scene_12	scene_13	3	Undirected
203	scene_12	scene_14	3	Undirected
206	scene_12	scene_17	3	Undirected
213	scene_12	scene_24	3	Undirected
214	scene_12	scene_25	3	Undirected
216	scene_12	scene_27	3	Undirected
218	scene_13	scene_15	3	Undirected
220	scene_13	scene_17	3	Undirected
227	scene_13	scene_24	3	Undirected
228	scene_13	scene_25	3	Undirected
230	scene_13	scene_27	3	Undirected
231	scene_14	scene_15	3	Undirected
233	scene_14	scene_17	3	Undirected
240	scene_14	scene_24	3	Undirected
274	scene_17	scene_25	3	Undirected
253	scene_15	scene_25	3	Undirected
287	scene_19	scene_21	3	Undirected
315	scene_24	scene_25	3	Undirected
286	scene_19	scene_20	3	Undirected
294	scene_20	scene_21	3	Undirected
10	scene_1	scene_12	3	Undirected
13	scene_1	scene_15	3	Undirected
33	scene_2	scene_10	3	Undirected
36	scene_2	scene_13	3	Undirected
8	scene_1	scene_10	3	Undirected
317	scene_24	scene_27	3	Undirected
37	scene_2	scene_14	3	Undirected
319	scene_25	scene_27	3	Undirected
40	scene_2	scene_17	3	Undirected
223	scene_13	scene_20	2	Undirected
311	scene_22	scene_27	2	Undirected
207	scene_12	scene_18	2	Undirected
208	scene_12	scene_19	2	Undirected
209	scene_12	scene_20	2	Undirected
226	scene_13	scene_23	2	Undirected
210	scene_12	scene_21	2	Undirected
211	scene_12	scene_22	2	Undirected
212	scene_12	scene_23	2	Undirected
225	scene_13	scene_22	2	Undirected
222	scene_13	scene_19	2	Undirected
309	scene_22	scene_25	2	Undirected
308	scene_22	scene_24	2	Undirected
205	scene_12	scene_16	2	Undirected
306	scene_21	scene_27	2	Undirected
224	scene_13	scene_21	2	Undirected
221	scene_13	scene_18	2	Undirected
219	scene_13	scene_16	2	Undirected
277	scene_18	scene_19	2	Undirected
312	scene_23	scene_24	2	Undirected
313	scene_23	scene_25	2	Undirected
153	scene_7	scene_27	2	Undirected
157	scene_8	scene_12	2	Undirected
170	scene_10	scene_11	2	Undirected
172	scene_10	scene_13	2	Undirected
173	scene_10	scene_14	2	Undirected
175	scene_10	scene_16	2	Undirected
176	scene_10	scene_17	2	Undirected
177	scene_10	scene_18	2	Undirected
178	scene_10	scene_19	2	Undirected
179	scene_10	scene_20	2	Undirected
180	scene_10	scene_21	2	Undirected
181	scene_10	scene_22	2	Undirected
183	scene_10	scene_24	2	Undirected
184	scene_10	scene_25	2	Undirected
186	scene_10	scene_27	2	Undirected
187	scene_11	scene_12	2	Undirected
190	scene_11	scene_15	2	Undirected
303	scene_21	scene_24	2	Undirected
314	scene_23	scene_27	2	Undirected
304	scene_21	scene_25	2	Undirected
232	scene_14	scene_16	2	Undirected
229	scene_13	scene_26	2	Undirected
280	scene_18	scene_22	2	Undirected
256	scene_16	scene_17	2	Undirected
257	scene_16	scene_18	2	Undirected
258	scene_16	scene_19	2	Undirected
259	scene_16	scene_20	2	Undirected
260	scene_16	scene_21	2	Undirected
285	scene_18	scene_27	2	Undirected
261	scene_16	scene_22	2	Undirected
283	scene_18	scene_25	2	Undirected
282	scene_18	scene_24	2	Undirected
263	scene_16	scene_24	2	Undirected
150	scene_7	scene_24	2	Undirected
264	scene_16	scene_25	2	Undirected
266	scene_16	scene_27	2	Undirected
267	scene_17	scene_18	2	Undirected
268	scene_17	scene_19	2	Undirected
269	scene_17	scene_20	2	Undirected
270	scene_17	scene_21	2	Undirected
271	scene_17	scene_22	2	Undirected
279	scene_18	scene_21	2	Undirected
272	scene_17	scene_23	2	Undirected
288	scene_19	scene_22	2	Undirected
290	scene_19	scene_24	2	Undirected
301	scene_21	scene_22	2	Undirected
297	scene_20	scene_24	2	Undirected
300	scene_20	scene_27	2	Undirected
278	scene_18	scene_20	2	Undirected
298	scene_20	scene_25	2	Undirected
234	scene_14	scene_18	2	Undirected
235	scene_14	scene_19	2	Undirected
236	scene_14	scene_20	2	Undirected
237	scene_14	scene_21	2	Undirected
238	scene_14	scene_22	2	Undirected
239	scene_14	scene_23	2	Undirected
295	scene_20	scene_22	2	Undirected
291	scene_19	scene_25	2	Undirected
242	scene_14	scene_26	2	Undirected
244	scene_15	scene_16	2	Undirected
293	scene_19	scene_27	2	Undirected
246	scene_15	scene_18	2	Undirected
247	scene_15	scene_19	2	Undirected
248	scene_15	scene_20	2	Undirected
249	scene_15	scene_21	2	Undirected
250	scene_15	scene_22	2	Undirected
251	scene_15	scene_23	2	Undirected
151	scene_7	scene_25	2	Undirected
160	scene_8	scene_15	2	Undirected
93	scene_4	scene_24	2	Undirected
122	scene_6	scene_14	2	Undirected
45	scene_2	scene_22	2	Undirected
96	scene_4	scene_27	2	Undirected
97	scene_5	scene_6	2	Undirected
44	scene_2	scene_21	2	Undirected
99	scene_5	scene_10	2	Undirected
101	scene_5	scene_12	2	Undirected
102	scene_5	scene_13	2	Undirected
103	scene_5	scene_14	2	Undirected
104	scene_5	scene_15	2	Undirected
105	scene_5	scene_16	2	Undirected
106	scene_5	scene_17	2	Undirected
107	scene_5	scene_18	2	Undirected
108	scene_5	scene_19	2	Undirected
109	scene_5	scene_20	2	Undirected
110	scene_5	scene_21	2	Undirected
111	scene_5	scene_22	2	Undirected
43	scene_2	scene_20	2	Undirected
42	scene_2	scene_19	2	Undirected
113	scene_5	scene_24	2	Undirected
114	scene_5	scene_25	2	Undirected
41	scene_2	scene_18	2	Undirected
116	scene_5	scene_27	2	Undirected
39	scene_2	scene_16	2	Undirected
118	scene_6	scene_10	2	Undirected
34	scene_2	scene_11	2	Undirected
94	scene_4	scene_25	2	Undirected
46	scene_2	scene_23	2	Undirected
91	scene_4	scene_22	2	Undirected
53	scene_3	scene_6	2	Undirected
63	scene_3	scene_16	2	Undirected
65	scene_3	scene_18	2	Undirected
66	scene_3	scene_19	2	Undirected
67	scene_3	scene_20	2	Undirected
68	scene_3	scene_21	2	Undirected
69	scene_3	scene_22	2	Undirected
70	scene_3	scene_23	2	Undirected
55	scene_3	scene_8	2	Undirected
54	scene_3	scene_7	2	Undirected
75	scene_4	scene_5	2	Undirected
76	scene_4	scene_6	2	Undirected
52	scene_3	scene_5	2	Undirected
90	scene_4	scene_21	2	Undirected
79	scene_4	scene_10	2	Undirected
51	scene_3	scene_4	2	Undirected
81	scene_4	scene_12	2	Undirected
82	scene_4	scene_13	2	Undirected
83	scene_4	scene_14	2	Undirected
84	scene_4	scene_15	2	Undirected
85	scene_4	scene_16	2	Undirected
86	scene_4	scene_17	2	Undirected
87	scene_4	scene_18	2	Undirected
88	scene_4	scene_19	2	Undirected
89	scene_4	scene_20	2	Undirected
120	scene_6	scene_12	2	Undirected
121	scene_6	scene_13	2	Undirected
123	scene_6	scene_15	2	Undirected
130	scene_6	scene_22	2	Undirected
133	scene_6	scene_25	2	Undirected
20	scene_1	scene_22	2	Undirected
135	scene_6	scene_27	2	Undirected
138	scene_7	scene_12	2	Undirected
139	scene_7	scene_13	2	Undirected
140	scene_7	scene_14	2	Undirected
141	scene_7	scene_15	2	Undirected
18	scene_1	scene_20	2	Undirected
17	scene_1	scene_19	2	Undirected
16	scene_1	scene_18	2	Undirected
15	scene_1	scene_17	2	Undirected
14	scene_1	scene_16	2	Undirected
12	scene_1	scene_14	2	Undirected
11	scene_1	scene_13	2	Undirected
9	scene_1	scene_11	2	Undirected
143	scene_7	scene_17	2	Undirected
4	scene_1	scene_6	2	Undirected
3	scene_1	scene_5	2	Undirected
2	scene_1	scene_4	2	Undirected
132	scene_6	scene_24	2	Undirected
19	scene_1	scene_21	2	Undirected
27	scene_2	scene_4	2	Undirected
126	scene_6	scene_18	2	Undirected
124	scene_6	scene_16	2	Undirected
31	scene_2	scene_8	2	Undirected
30	scene_2	scene_7	2	Undirected
29	scene_2	scene_6	2	Undirected
28	scene_2	scene_5	2	Undirected
25	scene_1	scene_27	2	Undirected
125	scene_6	scene_17	2	Undirected
23	scene_1	scene_25	2	Undirected
58	scene_3	scene_11	2	Undirected
129	scene_6	scene_21	2	Undirected
127	scene_6	scene_19	2	Undirected
22	scene_1	scene_24	2	Undirected
128	scene_6	scene_20	2	Undirected
299	scene_20	scene_26	1	Undirected
265	scene_16	scene_26	1	Undirected
296	scene_20	scene_23	1	Undirected
318	scene_25	scene_26	1	Undirected
281	scene_18	scene_23	1	Undirected
316	scene_24	scene_26	1	Undirected
32	scene_2	scene_9	1	Undirected
5	scene_1	scene_7	1	Undirected
6	scene_1	scene_8	1	Undirected
7	scene_1	scene_9	1	Undirected
310	scene_22	scene_26	1	Undirected
284	scene_18	scene_26	1	Undirected
292	scene_19	scene_26	1	Undirected
307	scene_22	scene_23	1	Undirected
305	scene_21	scene_26	1	Undirected
21	scene_1	scene_23	1	Undirected
289	scene_19	scene_23	1	Undirected
302	scene_21	scene_23	1	Undirected
56	scene_3	scene_9	1	Undirected
24	scene_1	scene_26	1	Undirected
49	scene_2	scene_26	1	Undirected
275	scene_17	scene_26	1	Undirected
147	scene_7	scene_21	1	Undirected
262	scene_16	scene_23	1	Undirected
254	scene_15	scene_26	1	Undirected
182	scene_10	scene_23	1	Undirected
