	id	label	sex	role	nature	importance	position	scene_1	scene_2	scene_3	scene_4	scene_5	scene_6	scene_7	scene_8	scene_9	scene_10	scene_11	scene_12	scene_13	scene_14	scene_15	scene_16	scene_17	scene_18	scene_19	scene_20	scene_21	scene_22	scene_23	scene_24	scene_25	scene_26	scene_27	first scene	middle scene	last scene
#rosi	#rosi	Rosita	F	protagonist	person	primary	1	0	4	7	0	0	0	14	9	0	0	0	14	7	26	3	0	2	0	0	0	0	0	13	3	16	0	2	0	4.72	2
#ama	#ama	Ama	F	other	person	minor	2	7	12	4	7	1	2	5	0	0	32	0	4	1	10	1	16	2	7	1	2	6	6	0	2	3	6	5	7	5.2	5
#tia	#tia	Tía	F	other	person	minor	3	6	10	4	9	12	1	0	0	0	30	7	11	7	25	1	15	1	8	11	6	3	7	14	2	9	0	5	6	7.72	5
#man1	#man1	Manola 1ª	F	other	person	minor	4	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.52	0
#man2	#man2	Manola 2ª	F	other	person	minor	5	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4	0
#man3	#man3	Manola 3ª	F	other	person	minor	6	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.32	0
#sol1	#sol1	Soltera 1ª	F	other	person	minor	7	0	0	0	0	0	0	0	0	0	0	0	0	5	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.56	0
#sol2	#sol2	Soltera 2ª	F	other	person	minor	8	0	0	0	0	0	0	0	0	0	0	0	0	6	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4	0
#sol3	#sol3	Soltera 3ª	F	other	person	minor	9	0	0	0	0	0	0	0	0	0	0	0	0	9	10	0	0	0	0	0	0	0	0	0	0	0	6	0	0	1.0	0
#madr	#madr	Madre de las Solteras	F	other	person	minor	10	0	0	0	0	0	0	0	0	0	0	0	0	12	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.2	0
#ayo1	#ayo1	Ayola 1ª	F	other	person	minor	11	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.88	0
#ayo2	#ayo2	Ayola 2ª	F	other	person	minor	12	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.64	0
#tio	#tio	Tío	M	other	person	minor	13	4	8	2	0	0	0	0	2	16	3	8	5	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	4	1.88	0
#cate	#cate	Catedrático de economía	M	other	person	minor	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0
#mart	#mart	Don Martín	M	other	person	minor	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	8	7	0	0	0	0	0	0	0	1.04	0
#much	#much	Muchacho	M	other	person	minor	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0.56	0
#voz	#voz	Una voz	M	other	person	minor	18	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.12	0
#sobr	#sobr	Sobrino	M	other	person	primary	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.44	0
