	Source	Target	Weight	Type
0	#yerm	#juan	5	Undirected
12	#juan	#mari	3	Undirected
2	#yerm	#viej	3	Undirected
3	#yerm	#víct	3	Undirected
4	#yerm	#much	3	Undirected
15	#juan	#much	3	Undirected
14	#juan	#víct	3	Undirected
13	#juan	#viej	3	Undirected
1	#yerm	#mari	3	Undirected
20	#juan	#cuna	2	Undirected
25	#mari	#much	2	Undirected
24	#mari	#víct	2	Undirected
9	#yerm	#cuna	2	Undirected
41	#víct	#much	2	Undirected
33	#viej	#much	2	Undirected
46	#much	#cuna	1	Undirected
40	#viej	#nin	1	Undirected
43	#much	#homb	1	Undirected
44	#much	#muje	1	Undirected
45	#much	#mach	1	Undirected
39	#viej	#hemb	1	Undirected
42	#víct	#cuna	1	Undirected
50	#homb	#muje	1	Undirected
47	#much	#hemb	1	Undirected
48	#much	#nin	1	Undirected
49	#dolo	#cuna	1	Undirected
37	#viej	#mach	1	Undirected
51	#homb	#mach	1	Undirected
52	#homb	#hemb	1	Undirected
53	#homb	#nin	1	Undirected
54	#muje	#mach	1	Undirected
55	#muje	#hemb	1	Undirected
56	#muje	#nin	1	Undirected
57	#mach	#hemb	1	Undirected
58	#mach	#nin	1	Undirected
38	#viej	#cuna	1	Undirected
30	#mari	#hemb	1	Undirected
36	#viej	#muje	1	Undirected
19	#juan	#mach	1	Undirected
5	#yerm	#dolo	1	Undirected
6	#yerm	#homb	1	Undirected
7	#yerm	#muje	1	Undirected
8	#yerm	#mach	1	Undirected
10	#yerm	#hemb	1	Undirected
11	#yerm	#nin	1	Undirected
16	#juan	#dolo	1	Undirected
17	#juan	#homb	1	Undirected
18	#juan	#muje	1	Undirected
21	#juan	#hemb	1	Undirected
35	#viej	#homb	1	Undirected
22	#juan	#nin	1	Undirected
23	#mari	#viej	1	Undirected
26	#mari	#homb	1	Undirected
27	#mari	#muje	1	Undirected
28	#mari	#mach	1	Undirected
29	#mari	#cuna	1	Undirected
31	#mari	#nin	1	Undirected
32	#viej	#víct	1	Undirected
34	#viej	#dolo	1	Undirected
59	#hemb	#nin	1	Undirected
