	approximate_current_flow_betweenness_centrality	betweenness	closeness_centrality	communicability_centrality_exp	current_flow_betweenness_centrality	degree	degree-vs	eccentricity	eigenvector_centrality	importance	label	load_centrality	nature	pers_mes_characters	pers_mes_rss	pers_mes_scenes	pers_mes_sps	position	role	sex	importance-nr	is_protagonist	is_lover	is_antagonist	is_primary	is_minor	antagonist	lover	degree-rel	betweenness-rel	position-rel	work	total_characters
#sold	0.04500779000388702	0.0	0.5254237288135594	1427.6450510910443	0.03683317776103425	6	600	3	0.1295223036814723	minor	Un soldado con el canuto de la licencia	0.0	person	353	0	1	7	25	other	F	3	0	0	0	0	1	0	0	0.1875	0.0	0.78125	bette013_Valle_DivinasPalabras	32
#tatu	0.25508230167444707	0.2381746031746032	0.8611111111111112	12024.974485133094	0.28150450197615906	26	2600	2	0.3770434835103866	secondary	Rosa La Tatula	0.240468509984639	person	6463	17	10	116	8	other	F	2	0	0	0	0	0	0	0	0.8125	0.00744295634920635	0.25	bette013_Valle_DivinasPalabras	32
#sapo	0.05314343524783303	0.0	0.5254237288135594	1124.711950213291	0.03364697444994732	5	500	3	0.11509557285487146	minor	Un sapo anónimo que canta en la noche	0.0	animal	11	0	1	1	35	other	M	3	0	0	0	0	1	0	0	0.15625	0.0	1.09375	bette013_Valle_DivinasPalabras	32
#grit	0.06606913163711924	0.0011495135688684075	0.5849056603773585	3490.1783941820204	0.059021316111450624	9	900	2	0.20285814257004867	minor	Final de gritos y aturujos moceriles	0.0011495135688684077	other	850	0	2	33	36	other	O	3	0	0	0	0	1	0	0	0.28125	3.5922299027137733e-05	1.125	bette013_Valle_DivinasPalabras	32
#rein	0.07685385917123795	0.006798088410991637	0.5254237288135594	1122.7189954972803	0.05589575267039963	6	600	3	0.11492558024464984	secondary	Juana La Reina	0.007159498207885303	person	791	8	2	18	3	other	F	2	0	0	0	0	0	0	0	0.1875	0.00021244026284348867	0.09375	bette013_Valle_DivinasPalabras	32
#chal	0.04178267515602903	0.0	0.5081967213114754	673.2097295623702	0.026518139005768764	4	400	3	0.0889163285155256	minor	Un chalán	0.0	person	31	2	1	1	10	other	M	3	0	0	0	0	1	0	0	0.125	0.0	0.3125	bette013_Valle_DivinasPalabras	32
#sere	0.1742619324678848	0.0722247823860727	0.6078431372549019	3702.433608154768	0.11634988173959389	11	1100	2	0.20882082798333385	minor	Serenín de Bretal	0.07021761392729135	person	835	2	3	12	21	other	M	3	0	0	0	0	1	0	0	0.34375	0.002257024449564772	0.65625	bette013_Valle_DivinasPalabras	32
#pedr	0.25845118901388187	0.09772998805256869	0.6888888888888889	6106.545469615653	0.185481808412165	17	1700	2	0.2683759412205488	primary	Pedro Gailo	0.09737455197132616	person	9501	36	9	132	5	protagonist	M	1	1	0	0	1	0	0	0	0.53125	0.0030540621266427715	0.15625	bette013_Valle_DivinasPalabras	32
#tras	3.23815048849004e-18	0.0	0.45588235294117646	86.71709115549754	7.640244470538712e-18	1	100	3	0.0317589777966611	secondary	El trasgo cabrío	0.0	non-human	631	7	1	18	34	other	M	2	0	0	0	0	0	0	0	0.03125	0.0	1.0625	bette013_Valle_DivinasPalabras	32
#luce	0.16010785680508416	0.04884365932753029	0.6078431372549019	3912.990196776862	0.14224340808914637	13	1300	3	0.2147837835586316	primary	Lucero	0.04828213005632361	person	6735	27	5	119	1	antagonist	M	1	0	0	1	1	0	1	0	0.40625	0.0015263643539853216	0.03125	bette013_Valle_DivinasPalabras	32
#peda	0.0628902387693992	0.0027777777777777775	0.5535714285714286	1412.6927640215717	0.04972608176138314	6	600	2	0.12902348471064906	secondary	Un alcalde pedáneo	0.0031182795698924725	person	1907	6	2	25	13	other	M	2	0	0	0	0	0	0	0	0.1875	8.680555555555555e-05	0.40625	bette013_Valle_DivinasPalabras	32
#migu	0.17950407385696399	0.10850059737156513	0.7209302325581395	7723.032871355515	0.2029340278578939	19	1900	2	0.3020299109203879	secondary	Miguelín El padronés	0.10724014336917564	person	2410	13	5	55	9	other	M	2	0	0	0	0	0	0	0	0.59375	0.0033906436678614103	0.28125	bette013_Valle_DivinasPalabras	32
#viej	0.17304728602128508	0.05225806451612903	0.5961538461538461	2515.616673521297	0.11477609775316167	10	1000	2	0.1719438923492614	minor	Una vieja en un ventano	0.05426523297491039	person	221	0	3	9	22	other	F	3	0	0	0	0	1	0	0	0.3125	0.0016330645161290321	0.6875	bette013_Valle_DivinasPalabras	32
#par	0.025476306342375802	0.0	0.5254237288135594	1471.0899187396678	0.03628187195926362	6	600	3	0.13141108363050658	minor	La pareja de civiles	0.0	person	329	7	1	5	18	other	F	3	0	0	0	0	1	0	0	0.1875	0.0	0.5625	bette013_Valle_DivinasPalabras	32
#beni	0.03449131005720039	0.0	0.5166666666666667	907.7207667536198	0.034047487077797846	5	500	3	0.1031814309984464	minor	Benita la costurera	0.0	person	529	0	1	14	29	other	F	3	0	0	0	0	1	0	0	0.15625	0.0	0.90625	bette013_Valle_DivinasPalabras	32
#vent	0.029463981619946917	0.0	0.5344827586206896	1637.0981626045516	0.03780582154294628	6	600	3	0.13875973474287756	minor	La ventera	0.0	person	38	0	1	1	20	other	F	3	0	0	0	0	1	0	0	0.1875	0.0	0.625	bette013_Valle_DivinasPalabras	32
#mujs	0.00867352135146823	0.0	0.49206349206349204	358.81434087656123	0.005845301774986356	2	200	3	0.0649923102305567	minor	Mujerucas que llenan los cántaros en la fuente	0.0	person	528	2	1	11	11	other	M	3	0	0	0	0	1	0	0	0.0625	0.0	0.34375	bette013_Valle_DivinasPalabras	32
#beat	0.034491310057200374	0.0	0.5166666666666667	907.7207667536197	0.03404748707779784	5	500	3	0.1031814309984464	minor	Beaterío de viejas y mozas.	0.0	person	23	1	1	2	28	other	F	3	0	0	0	0	1	0	0	0.15625	0.0	0.875	bette013_Valle_DivinasPalabras	32
#cieg	0.03298854707048405	0.002198327359617682	0.5535714285714286	2181.6974776488446	0.055772567779501646	8	800	3	0.1600491658788996	minor	El ciego de Gondar.	0.002293906810035842	person	1554	6	2	29	15	other	M	3	0	0	0	0	1	0	0	0.25	6.869772998805256e-05	0.46875	bette013_Valle_DivinasPalabras	32
#idio	0.0648591821235763	0.008727598566308245	0.5636363636363636	2483.14359179545	0.07796123874954562	9	900	3	0.1710357901492619	primary	El hijo idiota	0.009086021505376343	person	206	9	2	13	4	other	M	1	0	0	0	1	0	0	0	0.28125	0.00027273745519713265	0.125	bette013_Valle_DivinasPalabras	32
#vend	0.04149265940348239	0.002198327359617682	0.5535714285714286	2181.697477648844	0.05577256777950167	8	800	3	0.1600491658788996	minor	El vendedor de agua de limón.	0.002293906810035842	person	826	1	2	9	16	other	M	3	0	0	0	0	1	0	0	0.25	6.869772998805256e-05	0.5	bette013_Valle_DivinasPalabras	32
#trop	0.02598170419445612	0.0	0.5166666666666667	969.6299754634682	0.023056359296459238	4	400	3	0.10691411345866231	minor	Tropas de rapaces	0.0	person	242	3	1	2	27	other	M	3	0	0	0	0	1	0	0	0.125	0.0	0.84375	bette013_Valle_DivinasPalabras	32
#pere	0.025476306342375812	0.0	0.5254237288135594	1471.0899187396678	0.03628187195926364	6	600	3	0.13141108363050658	minor	Un peregrino	0.0	person	230	4	1	6	17	other	M	3	0	0	0	0	1	0	0	0.1875	0.0	0.53125	bette013_Valle_DivinasPalabras	32
#simo	0.09845881789428014	0.017132616487455194	0.6078431372549019	3644.4120072616997	0.09960309960179234	11	1100	2	0.20723968908564538	secondary	Simoniña	0.017329749103942655	person	3400	11	5	83	7	other	F	2	0	0	0	0	0	0	0	0.34375	0.0005353942652329748	0.21875	bette013_Valle_DivinasPalabras	32
#quin	0.06606913163711918	0.0011495135688684075	0.5849056603773585	3490.1783941820213	0.05902131611145056	9	900	2	0.20285814257004867	minor	Quintín pintado	0.0011495135688684077	person	430	0	2	12	30	other	M	3	0	0	0	0	1	0	0	0.28125	3.5922299027137733e-05	0.9375	bette013_Valle_DivinasPalabras	32
#poca	0.023671538358469597	0.0	0.45588235294117646	239.40036121626216	0.020974070621055226	3	300	3	0.05271669557534363	secondary	Poca pena	0.0	person	594	3	1	14	2	other	F	2	0	0	0	0	0	0	0	0.09375	0.0	0.0625	bette013_Valle_DivinasPalabras	32
#marg	0.40167291961550455	0.22500853387950157	0.8157894736842105	10981.974911362007	0.2972405911348244	24	2400	2	0.36031613095038906	primary	Mari-Gaila	0.22344342037890416	person	11734	75	13	240	6	lover	F	1	0	1	0	1	0	0	1	0.75	0.007031516683734424	0.1875	bette013_Valle_DivinasPalabras	32
