	Source	Target	Weight	Type
2	#marg	#tatu	7	Undirected
0	#marg	#pedr	5	Undirected
21	#pedr	#simo	5	Undirected
43	#tatu	#migu	4	Undirected
20	#pedr	#tatu	4	Undirected
4	#marg	#migu	4	Undirected
42	#tatu	#simo	3	Undirected
32	#luce	#tatu	3	Undirected
5	#marg	#cieg	2	Undirected
76	#cieg	#vend	2	Undirected
3	#marg	#simo	2	Undirected
36	#luce	#rein	2	Undirected
44	#tatu	#cieg	2	Undirected
34	#luce	#migu	2	Undirected
49	#tatu	#idio	2	Undirected
1	#marg	#luce	2	Undirected
70	#migu	#vend	2	Undirected
88	#quin	#sere	2	Undirected
89	#quin	#milo	2	Undirected
6	#marg	#peda	2	Undirected
22	#pedr	#peda	2	Undirected
19	#pedr	#luce	2	Undirected
63	#migu	#cieg	2	Undirected
92	#sere	#viej	2	Undirected
53	#tatu	#vend	2	Undirected
14	#marg	#viej	2	Undirected
13	#marg	#vend	2	Undirected
9	#marg	#idio	2	Undirected
91	#sere	#milo	2	Undirected
74	#migu	#vent	1	Undirected
64	#migu	#rein	1	Undirected
65	#migu	#ludo	1	Undirected
66	#migu	#idio	1	Undirected
72	#migu	#sold	1	Undirected
67	#migu	#quin	1	Undirected
73	#migu	#pere	1	Undirected
71	#migu	#viej	1	Undirected
68	#migu	#sere	1	Undirected
69	#migu	#milo	1	Undirected
75	#migu	#chal	1	Undirected
83	#rein	#chal	1	Undirected
77	#cieg	#pere	1	Undirected
78	#cieg	#vent	1	Undirected
99	#viej	#rapa	1	Undirected
98	#viej	#muje	1	Undirected
97	#vend	#vent	1	Undirected
96	#vend	#pere	1	Undirected
95	#milo	#viej	1	Undirected
94	#sere	#rapa	1	Undirected
93	#sere	#muje	1	Undirected
90	#quin	#viej	1	Undirected
87	#idio	#sapo	1	Undirected
86	#idio	#sold	1	Undirected
85	#ludo	#sold	1	Undirected
84	#ludo	#idio	1	Undirected
61	#simo	#sere	1	Undirected
82	#rein	#poca	1	Undirected
81	#peda	#sapo	1	Undirected
80	#peda	#viej	1	Undirected
79	#peda	#idio	1	Undirected
62	#simo	#milo	1	Undirected
50	#tatu	#quin	1	Undirected
60	#simo	#quin	1	Undirected
18	#marg	#sapo	1	Undirected
29	#pedr	#milo	1	Undirected
28	#pedr	#sere	1	Undirected
27	#pedr	#quin	1	Undirected
26	#pedr	#idio	1	Undirected
25	#pedr	#beni	1	Undirected
24	#pedr	#poca	1	Undirected
23	#pedr	#rein	1	Undirected
17	#marg	#vent	1	Undirected
31	#pedr	#sapo	1	Undirected
16	#marg	#pere	1	Undirected
15	#marg	#sold	1	Undirected
12	#marg	#milo	1	Undirected
11	#marg	#sere	1	Undirected
10	#marg	#quin	1	Undirected
8	#marg	#ludo	1	Undirected
7	#marg	#tras	1	Undirected
30	#pedr	#viej	1	Undirected
33	#luce	#simo	1	Undirected
59	#simo	#beni	1	Undirected
48	#tatu	#beni	1	Undirected
58	#tatu	#sapo	1	Undirected
57	#tatu	#chal	1	Undirected
56	#tatu	#vent	1	Undirected
55	#tatu	#pere	1	Undirected
54	#tatu	#sold	1	Undirected
52	#tatu	#milo	1	Undirected
51	#tatu	#sere	1	Undirected
47	#tatu	#ludo	1	Undirected
35	#luce	#cieg	1	Undirected
46	#tatu	#rein	1	Undirected
45	#tatu	#peda	1	Undirected
41	#luce	#chal	1	Undirected
40	#luce	#vent	1	Undirected
39	#luce	#vend	1	Undirected
38	#luce	#beni	1	Undirected
37	#luce	#poca	1	Undirected
100	#muje	#rapa	1	Undirected
