	id	label	sex	role	nature	importance	position	scene_1	scene_2	scene_3	scene_4	scene_5	scene_6	scene_7	scene_8	scene_9	scene_10	scene_11	scene_12	scene_13	scene_14	scene_15	scene_16	scene_17	scene_18	scene_19	scene_20	first scene	middle scene	last scene
#luce	#luce	Lucero	M	antagonist	person	primary	1	24	22	0	0	0	0	0	15	0	29	0	0	0	0	0	0	0	29	0	0	24	5.277777777777778	0
#poca	#poca	Poca pena	F	other	person	secondary	2	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0.0	0
#rein	#rein	Juana La Reina	F	other	person	secondary	3	4	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0.7777777777777778	0
#idio	#idio	El hijo idiota	M	other	person	primary	4	0	0	0	0	7	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0.7222222222222222	0
#pedr	#pedr	Pedro Gailo	M	protagonist	person	primary	5	14	0	0	7	9	0	0	0	21	0	25	0	0	22	0	18	0	10	0	6	14	6.222222222222222	6
#marg	#marg	Mari-Gaila	F	lover	person	primary	6	0	0	12	6	23	0	25	19	1	31	0	8	18	26	0	20	36	0	15	0	0	13.333333333333334	0
#simo	#simo	Simoniña	F	other	person	secondary	7	0	0	0	0	0	0	0	0	0	0	23	0	0	20	0	9	0	29	0	2	0	4.5	2
#tatu	#tatu	Rosa La Tatula	F	other	person	secondary	8	0	21	16	0	10	0	2	1	0	0	0	12	0	0	0	6	36	9	0	3	0	6.277777777777778	3
#migu	#migu	Miguelín El padronés	M	other	person	secondary	9	0	20	0	0	0	0	11	4	0	0	0	16	0	0	0	0	0	0	4	0	0	3.0555555555555554	0
#chal	#chal	Un chalán	M	other	person	minor	10	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05555555555555555	0
#mar	#mar	Marica del Reino	F	other	person	secondary	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0
#peda	#peda	Un alcalde pedáneo	M	other	person	secondary	13	0	0	0	6	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.3888888888888888	0
#rapa	#rapa	Una rapaza	F	other	person	minor	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0.05555555555555555	0
#cieg	#cieg	El ciego de Gondar.	M	other	person	minor	15	0	0	0	0	0	0	20	9	0	0	0	0	0	0	0	0	0	0	0	0	0	1.6111111111111112	0
#vend	#vend	El vendedor de agua de limón.	M	other	person	minor	16	0	0	0	0	0	0	4	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0
#pere	#pere	Un peregrino	M	other	person	minor	17	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3333333333333333	0
#vent	#vent	La ventera	F	other	person	minor	20	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05555555555555555	0
#sere	#sere	Serenín de Bretal	M	other	person	minor	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	1	3	0	0.5	3
#viej	#viej	Una vieja en un ventano	F	other	person	minor	22	0	0	0	1	0	0	0	0	0	0	0	0	0	0	7	0	0	0	1	0	0	0.5	0
#muje	#muje	Una mujer en preñez	F	other	person	minor	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0.2222222222222222	0
#veci	#veci	Otra vecina	F	other	person	minor	24	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9444444444444444	0
#sold	#sold	Un soldado con el canuto de la licencia	F	other	person	minor	25	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0.3888888888888889	0
#ludo	#ludo	Ludovina la tabernera	F	other	person	minor	26	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0.8888888888888888	0
#beni	#beni	Benita la costurera	F	other	person	minor	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0.7777777777777778	0
#quin	#quin	Quintín pintado	M	other	person	minor	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	2	0	0.5555555555555556	2
#milo	#milo	Milón de La Arnoya	M	other	person	minor	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	2	0	0.4444444444444444	2
#coim	#coim	Coimbra	M	other	animal	minor	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0
#colo	#colo	Colorín, pájaro adivino	M	other	animal	minor	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0
#tras	#tras	El trasgo cabrío	M	other	non-human	secondary	34	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	1.0	0
#sapo	#sapo	Un sapo anónimo que canta en la noche	M	other	animal	minor	35	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05555555555555555	0
