	approximate_current_flow_betweenness_centrality	betweenness	closeness_centrality	communicability_centrality_exp	current_flow_betweenness_centrality	degree	degree-vs	eccentricity	eigenvector_centrality	importance	label	load_centrality	nature	pers_mes_characters	pers_mes_rss	pers_mes_scenes	pers_mes_sps	position	role	sex	importance-nr	is_protagonist	is_lover	is_antagonist	is_primary	is_minor	antagonist	lover	degree-rel	betweenness-rel	position-rel	work	total_characters
#can	0.0214847174569308	0.0	0.5242718446601942	30560.70963694969	0.026407273178233402	8	800	3	0.07311861071308362	minor	can	0.0	animal	20	0	1	2	59	other	M	3	0	0	0	0	1	0	0	0.14545454545454545	0.0	1.0727272727272728	bette014_Valle_Luces	55
#guin	0.018222860819099646	0.0	0.5142857142857142	44550.71079443344	0.021651992860439784	6	600	3	0.08846725371268853	minor	Un guindilla	0.0	person	117	0	1	2	56	other	M	3	0	0	0	0	1	0	0	0.10909090909090909	0.0	1.018181818181818	bette014_Valle_Luces	55
#clau	0.03298734330857812	0.0011480483178596386	0.5294117647058824	80785.61491118524	0.031396720042959944	9	900	3	0.11910891453418286	secondary	Claudinita	0.0010981331736048714	person	835	15	2	26	3	other	F	2	0	0	0	0	0	0	0	0.16363636363636364	2.0873605779266157e-05	0.05454545454545454	bette014_Valle_Luces	55
#trap	0.04097745834311558	0.0	0.54	121169.89231085447	0.030288401300640096	11	1100	3	0.14583512880552624	minor	La trapera	0.0	person	46	0	1	1	43	other	F	3	0	0	0	0	1	0	0	0.2	0.0	0.7818181818181819	bette014_Valle_Luces	55
#coll	0.032987343308578124	0.0011480483178596386	0.5294117647058824	80785.61491118527	0.031396720042959875	9	900	3	0.11910891453418286	secondary	Madame Collet	0.0010981331736048714	person	1650	22	2	40	2	lover	F	2	0	1	0	0	0	0	1	0.16363636363636364	2.0873605779266157e-05	0.03636363636363636	bette014_Valle_Luces	55
#lati	0.3538586436754679	0.3560730092176632	0.8709677419354839	732173.442691593	0.3755302314111921	46	4600	2	0.35866653367349793	primary	Don Latino de Hispalis	0.356477321886127	person	11825	79	12	181	4	antagonist	M	1	0	0	1	1	0	1	0	0.8363636363636363	0.006474054713048422	0.07272727272727272	bette014_Valle_Luces	55
#sera	0.009986862017063105	0.0	0.5142857142857142	44550.71079443343	0.021651992860439763	6	600	3	0.08846725371268852	secondary	Serafín el bonito	0.0	person	866	2	1	22	27	other	M	2	0	0	0	0	0	0	0	0.10909090909090909	0.0	0.4909090909090909	bette014_Valle_Luces	55
#borr	0.03756975181396233	0.002236198462613557	0.5294117647058824	42114.13922982401	0.039985238726311684	9	900	3	0.08591896362225264	minor	Un borracho	0.002236198462613557	person	366	0	2	13	13	other	M	3	0	0	0	0	1	0	0	0.16363636363636364	4.065815386570103e-05	0.23636363636363636	bette014_Valle_Luces	55
#sepu	0.028825995807127882	0.0	0.35294117647058826	79.16170094043356	0.018343815513626825	3	300	3	0.0035925834073514914	secondary	Un sepulturero	0.0	person	825	0	1	14	49	other	M	2	0	0	0	0	0	0	0	0.05454545454545454	0.0	0.8909090909090909	bette014_Valle_Luces	55
#voz	0.10359224414511062	0.00649895178197065	0.5294117647058824	39011.30490194546	0.06381622959567894	9	900	3	0.08270948296959775	minor	La voz de un vecino	0.0072626534890685825	person	93	0	2	2	24	other	M	3	0	0	0	0	1	0	0	0.16363636363636364	0.00011816275967219364	0.43636363636363634	bette014_Valle_Luces	55
#pres	0.00357904372397484	0.0	0.47368421052631576	4808.736807001077	0.01705071521905175	3	300	3	0.029038798232849435	secondary	Un preso	0.0	person	2016	1	1	25	29	other	M	2	0	0	0	0	0	0	0	0.05454545454545454	0.0	0.5272727272727272	bette014_Valle_Luces	55
#gato	0.01507894061090243	0.0	0.5242718446601942	30560.709636949698	0.026407273178233364	8	800	3	0.07311861071308362	minor	gato	0.0	animal	14	0	1	1	60	other	M	3	0	0	0	0	1	0	0	0.14545454545454545	0.0	1.0909090909090908	bette014_Valle_Luces	55
#loro	0.021484717456930792	0.0	0.5242718446601942	30560.709636949698	0.026407273178233423	8	800	3	0.07311861071308362	minor	Un loro	0.0	animal	13	0	1	1	61	other	M	3	0	0	0	0	1	0	0	0.14545454545454545	0.0	1.1090909090909091	bette014_Valle_Luces	55
#viej	0.03140035674537776	0.0	0.5	13119.718928034845	0.012525333360449446	3	300	3	0.04799909153722135	minor	Una vieja pintada	0.0	person	495	0	1	11	35	other	F	3	0	0	0	0	1	0	0	0.05454545454545454	0.0	0.6363636363636364	bette014_Valle_Luces	55
#grup	0.0347293133439566	0.0019566736547868622	0.5510204081632653	167409.67135175882	0.04798723829858661	13	1300	3	0.171478739395513	secondary	Grupo de los modernistas	0.0019566736547868622	person	332	0	2	13	21	other	M	2	0	0	0	0	0	0	0	0.23636363636363636	3.55758846324884e-05	0.38181818181818183	bette014_Valle_Luces	55
#madr	0.04097745834311555	0.0	0.54	121169.89231085447	0.030288401300640085	11	1100	3	0.14583512880552624	minor	La madre del niño muerto	0.0	person	356	0	1	9	38	other	F	3	0	0	0	0	1	0	0	0.2	0.0	0.6909090909090909	bette014_Valle_Luces	55
#mini	1.8401888445372416e-17	0.0	0.47368421052631576	3586.203038625585	0.018343815513626845	3	300	3	0.02507910367691988	secondary	El ministro de la gobernación	0.0	person	2534	7	1	30	32	other	M	2	0	0	0	0	0	0	0	0.05454545454545454	0.0	0.5818181818181818	bette014_Valle_Luces	55
#capi	0.025047168886908083	0.0	0.54	147191.50883076934	0.03490289253127202	11	1100	3	0.16079066145572904	minor	El capitán Pitito	0.0	person	280	2	1	6	22	other	M	3	0	0	0	0	1	0	0	0.2	0.0	0.4	bette014_Valle_Luces	55
#guar	0.09605219626320581	0.015232438188413031	0.6	344571.7782262789	0.09096592727100161	21	2100	3	0.24603511886763224	minor	Un guardia del orden	0.015232438188413031	person	578	0	3	10	25	other	M	3	0	0	0	0	1	0	0	0.38181818181818183	0.0002769534216075097	0.45454545454545453	bette014_Valle_Luces	55
#osep	1.0401067382167018e-17	0.0	0.35294117647058826	79.16170094043359	0.018343815513626835	3	300	3	0.0035925834073514914	secondary	Otro sepulturero	0.0	person	588	0	1	10	50	other	M	2	0	0	0	0	0	0	0	0.05454545454545454	0.0	0.9090909090909091	bette014_Valle_Luces	55
#fili	0.01694269196599436	0.0	0.4864864864864865	25990.620365916253	0.016456190409040655	5	500	3	0.06754553599086748	minor	Don Filiberto	0.0	person	4376	15	1	33	31	other	M	3	0	0	0	0	1	0	0	0.09090909090909091	0.0	0.5636363636363636	bette014_Valle_Luces	55
#dori	0.060884337531617365	0.01196632391600945	0.5806451612903226	246671.3089013567	0.07508261322443575	18	1800	3	0.20814065175592975	secondary	Dorio de Gadex	0.011881468170776347	person	3052	12	3	58	14	other	M	2	0	0	0	0	0	0	0	0.32727272727272727	0.00021756952574562637	0.2545454545454545	bette014_Valle_Luces	55
