	Source	Target	Weight	Type
0	#max	#lati	9	Undirected
67	#lati	#clar	3	Undirected
44	#lati	#pisa	3	Undirected
45	#lati	#dori	3	Undirected
20	#max	#guar	3	Undirected
56	#lati	#port	3	Undirected
63	#lati	#guar	3	Undirected
66	#lati	#pere	3	Undirected
229	#pere	#clar	3	Undirected
112	#dori	#clar	3	Undirected
111	#dori	#pere	3	Undirected
151	#chic	#borr	2	Undirected
1	#max	#pisa	2	Undirected
47	#lati	#coll	2	Undirected
50	#lati	#clau	2	Undirected
52	#lati	#pica	2	Undirected
53	#lati	#chic	2	Undirected
121	#coll	#clau	2	Undirected
92	#pisa	#borr	2	Undirected
90	#pisa	#chic	2	Undirected
58	#lati	#borr	2	Undirected
65	#lati	#otro	2	Undirected
36	#max	#voz	2	Undirected
182	#sere	#guar	2	Undirected
145	#pica	#chic	2	Undirected
206	#guar	#otro	2	Undirected
89	#pisa	#pica	2	Undirected
57	#lati	#sere	2	Undirected
146	#pica	#borr	2	Undirected
16	#max	#sere	2	Undirected
15	#max	#port	2	Undirected
22	#max	#otro	2	Undirected
240	#empe	#alba	1	Undirected
172	#port	#pere	1	Undirected
174	#port	#veci	1	Undirected
175	#port	#empe	1	Undirected
260	#llav	#voz	1	Undirected
259	#can	#pelo	1	Undirected
176	#port	#tabe	1	Undirected
177	#port	#reti	1	Undirected
178	#port	#alba	1	Undirected
179	#port	#coch	1	Undirected
180	#port	#veja	1	Undirected
181	#port	#trap	1	Undirected
258	#can	#loro	1	Undirected
183	#sere	#madr	1	Undirected
184	#sere	#otro	1	Undirected
185	#sere	#pere	1	Undirected
186	#sere	#clar	1	Undirected
187	#sere	#empe	1	Undirected
188	#sere	#capi	1	Undirected
189	#sere	#tabe	1	Undirected
190	#sere	#reti	1	Undirected
191	#sere	#alba	1	Undirected
192	#sere	#veno	1	Undirected
193	#sere	#veja	1	Undirected
257	#can	#gato	1	Undirected
194	#sere	#trap	1	Undirected
173	#port	#clar	1	Undirected
171	#port	#madr	1	Undirected
255	#chica	#loro	1	Undirected
170	#port	#guar	1	Undirected
147	#pica	#poll	1	Undirected
148	#pica	#rey	1	Undirected
149	#pica	#voz	1	Undirected
150	#pica	#peri	1	Undirected
263	#gato	#pelo	1	Undirected
152	#chic	#poll	1	Undirected
153	#chic	#rey	1	Undirected
154	#chic	#voz	1	Undirected
155	#chic	#peri	1	Undirected
156	#dieg	#ujie	1	Undirected
157	#gay	#zara	1	Undirected
262	#gato	#loro	1	Undirected
158	#gay	#chica	1	Undirected
159	#gay	#can	1	Undirected
160	#gay	#gato	1	Undirected
161	#gay	#loro	1	Undirected
162	#gay	#pelo	1	Undirected
163	#zara	#chica	1	Undirected
164	#zara	#can	1	Undirected
165	#zara	#gato	1	Undirected
166	#zara	#loro	1	Undirected
167	#zara	#pelo	1	Undirected
261	#veja	#trap	1	Undirected
