	id	label	sex	role	nature	importance	position	scene_1	scene_2	scene_3	scene_4	scene_5	scene_6	scene_7	scene_8	scene_9	scene_10	scene_11	scene_12	scene_13	scene_14	scene_15	scene_16	scene_17	scene_18	scene_19	scene_20	scene_21	scene_22	scene_23	scene_24	scene_25	scene_26	first scene	middle scene	last scene
#juan	#juan	Juanilla	F	other	person	minor	1	6	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0.041666666666666664	0
#laur	#laur	Laura	F	protagonist	person	primary	2	6	8	1	2	0	0	0	0	0	0	10	1	0	0	0	0	7	0	0	0	0	4	1	3	2	0	6	1.625	0
#cuel	#cuel	Francisco de Cuéllar	M	lover	person	primary	3	0	9	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	10	10	0	0	0	4	2	3	0	1.8333333333333333	3
#rive	#rive	Bartolomé Rivera	M	antagonist	person	primary	4	0	0	3	3	1	21	0	14	0	0	0	0	15	0	0	0	0	0	0	10	0	0	0	0	0	0	0	2.7916666666666665	0
#padr	#padr	El Padre Antonio	M	other	person	secondary	5	0	0	0	0	0	20	7	0	15	0	0	1	0	16	2	0	0	0	0	0	0	0	0	0	0	5	0	2.5416666666666665	5
#cipr	#cipr	Cipriano	M	other	person	minor	6	0	0	0	0	0	1	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.375	0
#bria	#bria	Doña Brianda	F	other	person	secondary	7	0	0	0	0	0	0	1	12	15	1	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	1.5833333333333333	0
#iren	#iren	Doña Irene	F	other	person	secondary	8	0	0	0	0	0	0	0	0	0	0	10	2	15	17	3	4	1	0	0	0	0	0	0	0	0	0	0	2.1666666666666665	0
#escu	#escu	Escudero	M	other	person	minor	9	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.041666666666666664	0
#fern	#fern	Don Fernando	M	antagonist	person	primary	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	3	7	0	0	0	5	4	0	0	3	3	0	1.0833333333333333	3
#pere	#pere	Pérez	M	other	person	minor	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0.20833333333333334	0
#garc	#garc	Garcés	M	other	person	minor	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0.20833333333333334	0
