	Source	Target	Weight	Type
1803	scene_57	scene_77	9	Undirected
1219	scene_36	scene_41	8	Undirected
1234	scene_36	scene_57	8	Undirected
1249	scene_36	scene_77	8	Undirected
1537	scene_47	scene_57	8	Undirected
1555	scene_47	scene_77	8	Undirected
1175	scene_35	scene_36	7	Undirected
1179	scene_35	scene_41	7	Undirected
1642	scene_51	scene_57	7	Undirected
1657	scene_51	scene_77	7	Undirected
1341	scene_41	scene_57	7	Undirected
1228	scene_36	scene_51	7	Undirected
1225	scene_36	scene_47	7	Undirected
1356	scene_41	scene_77	7	Undirected
2052	scene_77	scene_86	6	Undirected
1367	scene_41	scene_89	6	Undirected
1153	scene_34	scene_57	6	Undirected
1800	scene_57	scene_74	6	Undirected
1261	scene_36	scene_89	6	Undirected
1144	scene_34	scene_47	6	Undirected
2055	scene_77	scene_89	6	Undirected
1246	scene_36	scene_74	6	Undirected
1164	scene_34	scene_77	6	Undirected
1812	scene_57	scene_86	6	Undirected
1136	scene_34	scene_35	6	Undirected
1184	scene_35	scene_47	6	Undirected
1815	scene_57	scene_89	6	Undirected
1193	scene_35	scene_57	6	Undirected
2017	scene_74	scene_77	6	Undirected
1204	scene_35	scene_77	6	Undirected
1531	scene_47	scene_51	6	Undirected
1535	scene_47	scene_55	6	Undirected
1137	scene_34	scene_36	6	Undirected
1258	scene_36	scene_86	6	Undirected
1332	scene_41	scene_47	6	Undirected
1738	scene_55	scene_57	6	Undirected
1335	scene_41	scene_51	6	Undirected
1353	scene_41	scene_74	5	Undirected
2092	scene_86	scene_89	5	Undirected
1813	scene_57	scene_87	5	Undirected
1187	scene_35	scene_51	5	Undirected
1564	scene_47	scene_86	5	Undirected
2025	scene_74	scene_86	5	Undirected
1567	scene_47	scene_89	5	Undirected
1811	scene_57	scene_85	5	Undirected
1552	scene_47	scene_74	5	Undirected
1232	scene_36	scene_55	5	Undirected
2051	scene_77	scene_85	5	Undirected
2053	scene_77	scene_87	5	Undirected
1666	scene_51	scene_86	5	Undirected
1829	scene_59	scene_61	5	Undirected
1669	scene_51	scene_89	5	Undirected
1139	scene_34	scene_41	5	Undirected
1654	scene_51	scene_74	5	Undirected
1753	scene_55	scene_77	5	Undirected
1447	scene_44	scene_47	5	Undirected
1147	scene_34	scene_51	5	Undirected
109	scene_3	scene_41	5	Undirected
1364	scene_41	scene_86	5	Undirected
1708	scene_53	scene_77	4	Undirected
1638	scene_51	scene_53	4	Undirected
1986	scene_71	scene_85	4	Undirected
1987	scene_71	scene_86	4	Undirected
1079	scene_32	scene_35	4	Undirected
1191	scene_35	scene_55	4	Undirected
1988	scene_71	scene_87	4	Undirected
1201	scene_35	scene_74	4	Undirected
1203	scene_35	scene_76	4	Undirected
1764	scene_55	scene_89	4	Undirected
1	scene_1	scene_3	4	Undirected
1640	scene_51	scene_55	4	Undirected
506	scene_13	scene_57	4	Undirected
248	scene_6	scene_41	4	Undirected
1765	scene_56	scene_57	4	Undirected
1665	scene_51	scene_85	4	Undirected
1761	scene_55	scene_86	4	Undirected
750	scene_23	scene_41	4	Undirected
1528	scene_47	scene_48	4	Undirected
1737	scene_55	scene_56	4	Undirected
1083	scene_32	scene_41	4	Undirected
1980	scene_71	scene_77	4	Undirected
1457	scene_44	scene_57	4	Undirected
1211	scene_35	scene_86	4	Undirected
710	scene_22	scene_41	4	Undirected
1126	scene_33	scene_77	4	Undirected
1750	scene_55	scene_74	4	Undirected
1473	scene_44	scene_77	4	Undirected
1151	scene_34	scene_55	4	Undirected
1651	scene_51	scene_71	4	Undirected
1116	scene_33	scene_57	4	Undirected
772	scene_23	scene_74	4	Undirected
764	scene_23	scene_57	4	Undirected
1111	scene_33	scene_51	4	Undirected
1109	scene_33	scene_47	4	Undirected
1161	scene_34	scene_74	4	Undirected
1103	scene_33	scene_36	4	Undirected
775	scene_23	scene_77	4	Undirected
1163	scene_34	scene_76	4	Undirected
1715	scene_53	scene_86	4	Undirected
1102	scene_33	scene_35	4	Undirected
166	scene_5	scene_6	4	Undirected
781	scene_23	scene_86	4	Undirected
784	scene_23	scene_89	4	Undirected
517	scene_13	scene_77	4	Undirected
1171	scene_34	scene_86	4	Undirected
962	scene_28	scene_41	4	Undirected
1174	scene_34	scene_89	4	Undirected
1101	scene_33	scene_34	4	Undirected
1023	scene_30	scene_35	4	Undirected
514	scene_13	scene_74	4	Undirected
1978	scene_71	scene_74	4	Undirected
1481	scene_44	scene_87	4	Undirected
1024	scene_30	scene_36	4	Undirected
456	scene_12	scene_57	4	Undirected
1667	scene_51	scene_87	4	Undirected
746	scene_23	scene_36	4	Undirected
441	scene_12	scene_36	4	Undirected
2087	scene_85	scene_87	4	Undirected
1243	scene_36	scene_71	4	Undirected
1563	scene_47	scene_85	4	Undirected
1565	scene_47	scene_87	4	Undirected
2038	scene_76	scene_77	4	Undirected
