	Source	Target	Weight	Type
25	#nuno	#urra	23	Undirected
1	#meli	#miss	21	Undirected
57	#gonz	#elvi	18	Undirected
3	#meli	#elvi	17	Undirected
0	#meli	#nuno	14	Undirected
23	#nuno	#elvi	14	Undirected
77	#elvi	#urra	14	Undirected
40	#miss	#elvi	13	Undirected
6	#meli	#jaim	13	Undirected
93	#lain	#bere	13	Undirected
105	#urra	#bere	12	Undirected
2	#meli	#gonz	12	Undirected
24	#nuno	#lain	12	Undirected
21	#nuno	#miss	12	Undirected
42	#miss	#urra	11	Undirected
79	#elvi	#bere	11	Undirected
5	#meli	#urra	11	Undirected
91	#lain	#urra	11	Undirected
27	#nuno	#bere	11	Undirected
22	#nuno	#gonz	11	Undirected
76	#elvi	#lain	10	Undirected
45	#miss	#rlon	10	Undirected
59	#gonz	#urra	10	Undirected
58	#gonz	#lain	10	Undirected
7	#meli	#bere	10	Undirected
4	#meli	#lain	9	Undirected
60	#gonz	#jaim	9	Undirected
39	#miss	#gonz	9	Undirected
61	#gonz	#bere	9	Undirected
43	#miss	#jaim	8	Undirected
44	#miss	#bere	8	Undirected
136	#rlon	#rafa	8	Undirected
41	#miss	#lain	7	Undirected
78	#elvi	#jaim	7	Undirected
13	#meli	#domi	7	Undirected
80	#elvi	#rlon	6	Undirected
67	#gonz	#domi	6	Undirected
49	#miss	#rafa	6	Undirected
51	#miss	#rela	6	Undirected
140	#rlon	#illo	6	Undirected
121	#jaim	#domi	6	Undirected
8	#meli	#rlon	6	Undirected
161	#lito	#illo	6	Undirected
54	#miss	#rita	5	Undirected
120	#jaim	#bern	5	Undirected
144	#cosm	#bern	5	Undirected
139	#rlon	#rela	5	Undirected
138	#rlon	#lito	5	Undirected
106	#urra	#rlon	5	Undirected
163	#rela	#rita	4	Undirected
146	#cosm	#pepi	4	Undirected
62	#gonz	#rlon	4	Undirected
86	#elvi	#rela	4	Undirected
143	#rlon	#rita	4	Undirected
92	#lain	#jaim	4	Undirected
108	#urra	#rafa	4	Undirected
83	#elvi	#domi	4	Undirected
11	#meli	#bern	4	Undirected
28	#nuno	#rlon	4	Undirected
26	#nuno	#jaim	4	Undirected
30	#nuno	#rafa	3	Undirected
31	#nuno	#domi	3	Undirected
95	#lain	#antu	3	Undirected
89	#elvi	#mano	3	Undirected
96	#lain	#rafa	3	Undirected
87	#elvi	#conc	3	Undirected
151	#bern	#pepi	3	Undirected
34	#nuno	#rela	3	Undirected
12	#meli	#rafa	3	Undirected
104	#urra	#jaim	3	Undirected
29	#nuno	#antu	3	Undirected
155	#rafa	#rela	3	Undirected
156	#rafa	#illo	3	Undirected
94	#lain	#rlon	3	Undirected
158	#rafa	#rita	3	Undirected
53	#miss	#illo	3	Undirected
112	#urra	#rela	3	Undirected
114	#urra	#illo	3	Undirected
117	#jaim	#bere	3	Undirected
118	#jaim	#cosm	3	Undirected
10	#meli	#antu	3	Undirected
52	#miss	#conc	3	Undirected
128	#bere	#rafa	3	Undirected
9	#meli	#cosm	3	Undirected
126	#bere	#rlon	3	Undirected
97	#lain	#domi	2	Undirected
123	#jaim	#reve	2	Undirected
124	#jaim	#pepi	2	Undirected
15	#meli	#conc	2	Undirected
19	#meli	#pepi	2	Undirected
107	#urra	#antu	2	Undirected
109	#urra	#domi	2	Undirected
111	#urra	#lito	2	Undirected
129	#bere	#domi	2	Undirected
66	#gonz	#rafa	2	Undirected
69	#gonz	#rela	2	Undirected
72	#gonz	#mano	2	Undirected
75	#gonz	#pepi	2	Undirected
46	#miss	#cosm	2	Undirected
36	#nuno	#illo	2	Undirected
154	#rafa	#lito	2	Undirected
81	#elvi	#antu	2	Undirected
162	#rela	#illo	2	Undirected
63	#gonz	#cosm	2	Undirected
48	#miss	#bern	2	Undirected
150	#bern	#reve	2	Undirected
70	#gonz	#conc	2	Undirected
133	#bere	#illo	1	Undirected
18	#meli	#reve	1	Undirected
132	#bere	#conc	1	Undirected
134	#bere	#rina	1	Undirected
131	#bere	#rela	1	Undirected
135	#bere	#rita	1	Undirected
160	#lito	#rela	1	Undirected
164	#illo	#rita	1	Undirected
130	#bere	#chic	1	Undirected
137	#rlon	#chic	1	Undirected
17	#meli	#rita	1	Undirected
159	#chic	#rina	1	Undirected
147	#cosm	#emil	1	Undirected
157	#rafa	#rina	1	Undirected
141	#rlon	#mano	1	Undirected
142	#rlon	#rina	1	Undirected
14	#meli	#rela	1	Undirected
153	#rafa	#chic	1	Undirected
145	#cosm	#domi	1	Undirected
152	#bern	#emil	1	Undirected
149	#bern	#domi	1	Undirected
148	#antu	#domi	1	Undirected
16	#meli	#illo	1	Undirected
56	#miss	#emil	1	Undirected
127	#bere	#antu	1	Undirected
74	#gonz	#rita	1	Undirected
85	#elvi	#lito	1	Undirected
84	#elvi	#chic	1	Undirected
82	#elvi	#rafa	1	Undirected
35	#nuno	#conc	1	Undirected
37	#nuno	#rina	1	Undirected
38	#nuno	#rita	1	Undirected
73	#gonz	#rina	1	Undirected
88	#elvi	#illo	1	Undirected
71	#gonz	#illo	1	Undirected
68	#gonz	#chic	1	Undirected
47	#miss	#antu	1	Undirected
65	#gonz	#bern	1	Undirected
64	#gonz	#antu	1	Undirected
50	#miss	#lito	1	Undirected
33	#nuno	#lito	1	Undirected
90	#elvi	#rina	1	Undirected
125	#jaim	#emil	1	Undirected
55	#miss	#pepi	1	Undirected
122	#jaim	#conc	1	Undirected
20	#meli	#emil	1	Undirected
119	#jaim	#antu	1	Undirected
116	#urra	#rita	1	Undirected
115	#urra	#rina	1	Undirected
113	#urra	#conc	1	Undirected
110	#urra	#chic	1	Undirected
32	#nuno	#chic	1	Undirected
103	#lain	#rita	1	Undirected
102	#lain	#rina	1	Undirected
101	#lain	#illo	1	Undirected
100	#lain	#conc	1	Undirected
99	#lain	#rela	1	Undirected
98	#lain	#chic	1	Undirected
165	#pepi	#emil	1	Undirected
