	Source	Target	Weight	Type
0	#hora	#afri	26	Undirected
15	#afri	#timo	22	Undirected
3	#hora	#timo	21	Undirected
14	#afri	#paco	18	Undirected
2	#hora	#paco	17	Undirected
31	#paco	#timo	14	Undirected
4	#hora	#luis	12	Undirected
20	#afri	#conde	11	Undirected
13	#afri	#ramo	10	Undirected
25	#ramo	#timo	10	Undirected
19	#afri	#cons	10	Undirected
1	#hora	#ramo	10	Undirected
9	#hora	#beni	10	Undirected
59	#maru	#cons	9	Undirected
17	#afri	#maru	9	Undirected
45	#timo	#cons	9	Undirected
7	#hora	#cons	9	Undirected
69	#conde	#vict	9	Undirected
43	#timo	#maru	9	Undirected
23	#afri	#vict	9	Undirected
5	#hora	#maru	8	Undirected
53	#luis	#niev	7	Undirected
29	#ramo	#cons	7	Undirected
37	#paco	#beni	7	Undirected
27	#ramo	#maru	7	Undirected
47	#timo	#beni	7	Undirected
64	#niev	#beni	7	Undirected
38	#paco	#eulo	6	Undirected
39	#paco	#vict	6	Undirected
55	#luis	#beni	6	Undirected
44	#timo	#niev	6	Undirected
36	#paco	#conde	6	Undirected
6	#hora	#niev	6	Undirected
16	#afri	#luis	5	Undirected
8	#hora	#conde	5	Undirected
10	#hora	#eulo	5	Undirected
11	#hora	#vict	5	Undirected
54	#luis	#cons	5	Undirected
42	#timo	#luis	5	Undirected
49	#timo	#vict	5	Undirected
46	#timo	#conde	5	Undirected
34	#paco	#niev	4	Undirected
26	#ramo	#luis	4	Undirected
40	#paco	#wist	4	Undirected
12	#hora	#wist	4	Undirected
21	#afri	#beni	4	Undirected
32	#paco	#luis	3	Undirected
52	#luis	#maru	3	Undirected
30	#ramo	#beni	3	Undirected
18	#afri	#niev	3	Undirected
28	#ramo	#niev	3	Undirected
60	#maru	#conde	2	Undirected
58	#maru	#niev	2	Undirected
65	#niev	#wist	2	Undirected
63	#niev	#cons	2	Undirected
62	#maru	#vict	2	Undirected
61	#maru	#beni	2	Undirected
71	#eulo	#wist	2	Undirected
57	#luis	#wist	2	Undirected
22	#afri	#eulo	2	Undirected
33	#paco	#maru	2	Undirected
56	#luis	#eulo	1	Undirected
24	#ramo	#paco	1	Undirected
41	#paco	#jorg	1	Undirected
51	#timo	#jorg	1	Undirected
50	#timo	#wist	1	Undirected
66	#cons	#conde	1	Undirected
67	#cons	#beni	1	Undirected
68	#cons	#vict	1	Undirected
35	#paco	#cons	1	Undirected
70	#beni	#eulo	1	Undirected
48	#timo	#eulo	1	Undirected
