	Source	Target	Weight	Type
0	#alge	#cans	7	Undirected
1	#alge	#jorg	6	Undirected
2	#alge	#memb	5	Undirected
15	#jorg	#memb	5	Undirected
4	#alge	#rami	5	Undirected
11	#cans	#rami	4	Undirected
17	#jorg	#rami	4	Undirected
31	#rami	#parr	3	Undirected
8	#cans	#jorg	3	Undirected
6	#alge	#parr	3	Undirected
10	#cans	#mart	3	Undirected
22	#memb	#rami	3	Undirected
3	#alge	#mart	3	Undirected
32	#rami	#gome	2	Undirected
26	#mart	#rami	2	Undirected
24	#memb	#parr	2	Undirected
21	#memb	#mart	2	Undirected
30	#rami	#gasc	2	Undirected
18	#jorg	#gasc	2	Undirected
35	#parr	#gome	2	Undirected
16	#jorg	#mart	2	Undirected
14	#cans	#gome	2	Undirected
13	#cans	#parr	2	Undirected
12	#cans	#gasc	2	Undirected
5	#alge	#gasc	2	Undirected
7	#alge	#gome	2	Undirected
9	#cans	#memb	1	Undirected
34	#gasc	#gome	1	Undirected
33	#gasc	#parr	1	Undirected
19	#jorg	#parr	1	Undirected
29	#mart	#gome	1	Undirected
28	#mart	#parr	1	Undirected
20	#jorg	#gome	1	Undirected
25	#memb	#gome	1	Undirected
23	#memb	#gasc	1	Undirected
27	#mart	#gasc	1	Undirected
