	approximate_current_flow_betweenness_centrality	betweenness	closeness_centrality	communicability_centrality_exp	current_flow_betweenness_centrality	degree	degree-vs	eccentricity	eigenvector_centrality	importance	label	load_centrality	nature	pers_mes_characters	pers_mes_rss	pers_mes_scenes	pers_mes_sps	position	role	sex	importance-nr	is_protagonist	is_lover	is_antagonist	is_primary	is_minor	antagonist	lover	degree-rel	betweenness-rel	position-rel	work	total_characters
#beap	0.10666666666666692	0.0	0.5	9.733103259705121	0.06060606060606039	2	200	3	0.035503417383497826	minor	Beata Primera	0.0	person	43	0	1	2	7	other	F	3	0	0	0	0	1	0	0	0.16666666666666666	0.0	0.5833333333333334	bette040_Lorca_Zapatera	12
#veca	0.12342857142857165	0.015584415584415581	0.8461538461538461	615.1937002846286	0.1118903318903324	9	900	2	0.3263725789314664	minor	Vecina Amarilla	0.015584415584415581	person	306	0	2	11	5	other	F	3	0	0	0	0	1	0	0	0.75	0.0012987012987012985	0.4166666666666667	bette040_Lorca_Zapatera	12
#alca	0.14171428571428596	0.015584415584415581	0.8461538461538461	615.1937002846286	0.11189033189033211	9	900	2	0.3263725789314664	minor	Alcalde	0.015584415584415581	person	4587	11	6	48	13	other	M	3	0	0	0	0	1	0	0	0.75	0.0012987012987012985	1.0833333333333333	bette040_Lorca_Zapatera	12
#elni	0.1325714285714289	0.015584415584415581	0.8461538461538461	615.1937002846286	0.11189033189033226	9	900	2	0.3263725789314664	minor	El Niño	0.015584415584415581	person	5185	0	8	66	12	other	M	3	0	0	0	0	1	0	0	0.75	0.0012987012987012985	1.0	bette040_Lorca_Zapatera	12
#vecn	0.12342857142857193	0.015584415584415581	0.8461538461538461	615.1937002846286	0.1118903318903324	9	900	2	0.3263725789314664	minor	Vecina Negra	0.015584415584415581	person	254	0	3	5	6	other	F	3	0	0	0	0	1	0	0	0.75	0.0012987012987012985	0.5	bette040_Lorca_Zapatera	12
#sacr	0.06895238095238095	0.0	0.6875	514.022331636137	0.09111111111111102	8	800	3	0.29821938353488464	minor	Sacristana	0.0	person	29	1	1	1	9	other	F	3	0	0	0	0	1	0	0	0.6666666666666666	0.0	0.75	bette040_Lorca_Zapatera	12
#vecr	0.12457142857142878	0.015584415584415581	0.8461538461538461	615.1937002846283	0.11189033189033223	9	900	2	0.3263725789314664	minor	Vecina Roja	0.015584415584415581	person	1570	1	5	32	2	other	F	3	0	0	0	0	1	0	0	0.75	0.0012987012987012985	0.16666666666666666	bette040_Lorca_Zapatera	12
#vecm	0.12114285714285734	0.015584415584415581	0.8461538461538461	615.1937002846284	0.11189033189033211	9	900	2	0.3263725789314664	minor	Vecina Morada	0.015584415584415581	person	73	0	3	3	3	other	F	3	0	0	0	0	1	0	0	0.75	0.0012987012987012985	0.25	bette040_Lorca_Zapatera	12
#zapa	0.12114285714285737	0.015584415584415581	0.8461538461538461	615.1937002846284	0.1118903318903323	9	900	2	0.3263725789314664	primary	Zapatera	0.015584415584415581	person	22787	70	21	198	1	protagonist	F	1	1	0	0	1	0	0	0	0.75	0.0012987012987012985	0.08333333333333333	bette040_Lorca_Zapatera	12
#zapo	0.4354285714285726	0.32727272727272727	0.8461538461538461	428.93671659999177	0.3933333333333345	9	900	2	0.27198527777749115	primary	Zapatero	0.32727272727272727	person	13852	36	14	128	11	lover	M	1	0	1	0	1	0	0	1	0.75	0.02727272727272727	0.9166666666666666	bette040_Lorca_Zapatera	12
#vecv	0.0867301587301588	0.0	0.6875	514.0223316361374	0.09111111111111102	8	800	3	0.2982193835348847	minor	Vecina Verde	0.0	person	25	0	1	2	4	other	F	3	0	0	0	0	1	0	0	0.6666666666666666	0.0	0.3333333333333333	bette040_Lorca_Zapatera	12
#beas	0.05333333333333365	0.0	0.5	9.733103259705125	0.060606060606060906	2	200	3	0.035503417383497826	minor	Beata Segunda	0.0	person	67	0	1	2	8	other	F	3	0	0	0	0	1	0	0	0.16666666666666666	0.0	0.6666666666666666	bette040_Lorca_Zapatera	12
