	approximate_current_flow_betweenness_centrality	betweenness	closeness_centrality	communicability_centrality_exp	current_flow_betweenness_centrality	degree	degree-vs	eccentricity	eigenvector_centrality	importance	label	load_centrality	nature	pers_mes_characters	pers_mes_rss	pers_mes_scenes	pers_mes_sps	position	role	sex	importance-nr	is_protagonist	is_lover	is_antagonist	is_primary	is_minor	antagonist	lover	degree-rel	betweenness-rel	position-rel	work	total_characters
#moz1	0.0900536720498072	0.03952569169960474	0.7931034482758621	162101.91142926452	0.11823803106341069	17	1700	2	0.23505003174560804	minor	Mozo 1	0.03952569169960474	person	317	2	3	14	14	other	M	3	0	0	0	0	1	0	0	0.7083333333333334	0.001646903820816864	0.5833333333333334	bette041_Lorca_Bodas	24
#cria	0.06803481143787142	0.0	0.696969696969697	133477.32972173477	0.05387041566169498	13	1300	2	0.21329927509622712	secondary	Criada	0.0	person	5460	6	3	86	5	other	F	2	0	0	0	0	0	0	0	0.5416666666666666	0.0	0.20833333333333334	bette041_Lorca_Bodas	24
#muc1	0.10821380895035226	0.03572840203274985	0.8518518518518519	214766.1393264335	0.10884595066778968	19	1900	2	0.27057260961935153	minor	Muchacha 1	0.03572840203274985	person	706	0	3	26	7	other	F	3	0	0	0	0	1	0	0	0.7916666666666666	0.0014886834180312437	0.2916666666666667	bette041_Lorca_Bodas	24
#mujs	0.05109005861072522	0.0	0.6388888888888888	60686.14093105098	0.04823344921749095	10	1000	2	0.14377225360611626	minor	Mujeres	0.0	person	0	0	1	1	0	other	F	3	0	0	0	0	1	0	0	0.4166666666666667	0.0	0.0	bette041_Lorca_Bodas	24
#muc2	0.1133629638007834	0.03572840203274985	0.8518518518518519	214766.1393264335	0.10884595066778968	19	1900	2	0.27057260961935153	minor	Muchacha 2	0.03572840203274985	person	322	0	3	17	7	other	F	3	0	0	0	0	1	0	0	0.7916666666666666	0.0014886834180312437	0.2916666666666667	bette041_Lorca_Bodas	24
#much	0.05907355277635656	0.0021880293619424055	0.6571428571428571	74979.69650378129	0.055896233397558864	11	1100	2	0.15982874212704318	minor	Muchachas	0.0021880293619424046	person	583	0	2	8	0	other	F	3	0	0	0	0	1	0	0	0.4583333333333333	9.116789008093356e-05	0.0	bette041_Lorca_Bodas	24
#len2	0.03840592959764869	0.0	0.5897435897435898	21934.101383770532	0.04381834417430271	7	700	2	0.08641381855337076	minor	Leñador 2	0.0	person	573	0	1	16	13	other	M	3	0	0	0	0	1	0	0	0.2916666666666667	0.0	0.5416666666666666	bette041_Lorca_Bodas	24
#padr	0.06803481143787142	0.0	0.696969696969697	133477.32972173474	0.05387041566169515	13	1300	2	0.21329927509622712	secondary	Padre de la novia	0.0	person	3368	3	3	50	10	other	M	2	0	0	0	0	0	0	0	0.5416666666666666	0.0	0.4166666666666667	bette041_Lorca_Bodas	24
#sueg	0.05325458288418905	0.0021880293619424055	0.6571428571428571	74979.69650378128	0.05589623339755881	11	1100	2	0.15982874212704318	secondary	Suegra	0.0021880293619424046	person	1089	2	2	33	3	other	F	2	0	0	0	0	0	0	0	0.4583333333333333	9.116789008093356e-05	0.125	bette041_Lorca_Bodas	24
#nova	0.12923073125220946	0.1464003387916431	1.0	250678.02540522325	0.17492272470613035	23	2300	1	0.2923233662687324	primary	Novia	0.1464003387916432	person	5827	30	5	114	2	lover	F	1	0	1	0	1	0	0	1	0.9583333333333334	0.006100014116318463	0.08333333333333333	bette041_Lorca_Bodas	24
#len1	0.029883202324921428	0.0	0.5897435897435898	21934.101383770532	0.0438183441743027	7	700	2	0.08641381855337076	minor	Leñador 1	0.0	person	696	0	1	18	13	other	M	3	0	0	0	0	1	0	0	0.2916666666666667	0.0	0.5416666666666666	bette041_Lorca_Bodas	24
#muc3	0.05342442182748179	0.0	0.696969696969697	133477.32972173477	0.0538704156616949	13	1300	2	0.21329927509622712	minor	Muchacha 3	0.0	person	146	0	1	4	7	other	F	3	0	0	0	0	1	0	0	0.5416666666666666	0.0	0.2916666666666667	bette041_Lorca_Bodas	24
#madr	0.10913638966987538	0.03572840203274985	0.8518518518518519	214766.1393264335	0.10884595066778968	19	1900	2	0.27057260961935153	secondary	Madre	0.03572840203274985	person	12316	6	5	140	1	other	F	2	0	0	0	0	0	0	0	0.7916666666666666	0.0014886834180312437	0.041666666666666664	bette041_Lorca_Bodas	24
#muer	0.03869336439584916	0.0	0.6388888888888888	60686.14093105097	0.04823344921749089	10	1000	2	0.14377225360611626	minor	Muerte (como Mendiga)	0.0	non-human	627	1	1	6	12	other	F	3	0	0	0	0	1	0	0	0.4166666666666667	0.0	0.5	bette041_Lorca_Bodas	24
#len3	0.0384059295976487	0.0	0.5897435897435898	21934.101383770532	0.043818344174302686	7	700	2	0.08641381855337076	minor	Leñador 3	0.0	person	429	0	1	14	13	other	M	3	0	0	0	0	1	0	0	0.2916666666666667	0.0	0.5416666666666666	bette041_Lorca_Bodas	24
#nina	0.038693364395849215	0.0	0.6388888888888888	60686.14093105094	0.04823344921749089	10	1000	2	0.14377225360611626	minor	Niña	0.0	person	28	0	1	1	0	other	F	3	0	0	0	0	1	0	0	0.4166666666666667	0.0	0.0	bette041_Lorca_Bodas	24
#veci	0.052232428474673374	0.0031055900621118006	0.6571428571428571	74383.43048312142	0.05679732052723369	11	1100	2	0.15919334385592343	minor	Vecina	0.0031055900621118015	person	1648	2	2	32	6	other	F	3	0	0	0	0	1	0	0	0.4583333333333333	0.00012939958592132503	0.25	bette041_Lorca_Bodas	24
#moz2	0.04855429195735201	0.0	0.696969696969697	133477.32972173474	0.053870415661694857	13	1300	2	0.21329927509622712	minor	Mozo 2	0.0	person	67	0	2	3	14	other	M	3	0	0	0	0	1	0	0	0.5416666666666666	0.0	0.5833333333333334	bette041_Lorca_Bodas	24
#luna	0.02988320232492147	0.0	0.5897435897435898	21934.101383770532	0.04381834417430302	7	700	2	0.08641381855337076	minor	Luna	0.0	person	368	1	1	5	11	other	F	3	0	0	0	0	1	0	0	0.2916666666666667	0.0	0.4583333333333333	bette041_Lorca_Bodas	24
#voce	0.05342442182748181	0.0	0.696969696969697	133477.32972173477	0.05387041566169497	13	1300	2	0.21329927509622712	minor	Voces	0.0	person	104	0	1	7	0	other	O	3	0	0	0	0	1	0	0	0.5416666666666666	0.0	0.0	bette041_Lorca_Bodas	24
#leon	0.11012478353432122	0.06568793525315263	0.8518518518518519	191011.96376984983	0.13686922461988546	19	1900	2	0.2551648368622851	primary	Leonardo	0.06568793525315263	person	3549	17	4	71	8	antagonist	M	1	0	0	1	1	0	1	0	0.7916666666666666	0.0027369973022146926	0.3333333333333333	bette041_Lorca_Bodas	24
#muje	0.11009828054683082	0.03572840203274985	0.8518518518518519	214766.13932643356	0.10884595066778976	19	1900	2	0.2705726096193515	secondary	Mujer de Leonardo	0.03572840203274985	person	2725	13	4	61	4	other	F	2	0	0	0	0	0	0	0	0.7916666666666666	0.0014886834180312437	0.16666666666666666	bette041_Lorca_Bodas	24
#conv	0.06316468156774155	0.0	0.696969696969697	133477.32972173477	0.05387041566169512	13	1300	2	0.21329927509622712	minor	Convidado	0.0	person	0	0	1	3	0	other	M	3	0	0	0	0	1	0	0	0.5416666666666666	0.0	0.0	bette041_Lorca_Bodas	24
#novo	0.10873950126328497	0.052536231884057975	0.8214285714285714	176202.0553850172	0.12744127539643385	18	1800	2	0.24506745209776257	primary	Novio	0.05253623188405798	person	4402	19	5	119	9	protagonist	M	1	1	0	0	1	0	0	0	0.75	0.002189009661835749	0.375	bette041_Lorca_Bodas	24
