	Source	Target	Weight	Type
0	#madr	#novo	4	Undirected
1	#madr	#nova	4	Undirected
16	#novo	#nova	4	Undirected
42	#nova	#moz1	3	Undirected
40	#nova	#muc2	3	Undirected
38	#nova	#muc1	3	Undirected
59	#leon	#muje	3	Undirected
35	#nova	#padr	3	Undirected
18	#novo	#leon	3	Undirected
33	#nova	#leon	3	Undirected
32	#nova	#cria	3	Undirected
52	#cria	#padr	3	Undirected
66	#leon	#moz1	3	Undirected
26	#novo	#moz1	3	Undirected
76	#muje	#muc2	3	Undirected
20	#novo	#padr	3	Undirected
34	#nova	#muje	3	Undirected
75	#muje	#muc1	3	Undirected
17	#novo	#cria	3	Undirected
98	#muc1	#muc2	3	Undirected
2	#madr	#cria	3	Undirected
4	#madr	#muje	3	Undirected
5	#madr	#padr	3	Undirected
8	#madr	#muc1	3	Undirected
9	#madr	#muc2	3	Undirected
73	#muje	#sueg	2	Undirected
113	#muc2	#moz2	2	Undirected
51	#cria	#muje	2	Undirected
84	#padr	#muc2	2	Undirected
53	#cria	#muc1	2	Undirected
54	#cria	#muc2	2	Undirected
122	#moz1	#moz2	2	Undirected
55	#cria	#moz1	2	Undirected
81	#muje	#moz2	2	Undirected
58	#cria	#moz2	2	Undirected
77	#muje	#moz1	2	Undirected
60	#leon	#padr	2	Undirected
88	#padr	#moz2	2	Undirected
109	#muc2	#moz1	2	Undirected
85	#padr	#moz1	2	Undirected
83	#padr	#muc1	2	Undirected
103	#muc1	#moz2	2	Undirected
62	#leon	#muc1	2	Undirected
99	#muc1	#moz1	2	Undirected
48	#nova	#moz2	2	Undirected
71	#leon	#moz2	2	Undirected
72	#muje	#padr	2	Undirected
50	#cria	#leon	2	Undirected
64	#leon	#muc2	2	Undirected
31	#novo	#moz2	2	Undirected
7	#madr	#veci	2	Undirected
24	#novo	#muc2	2	Undirected
10	#madr	#moz1	2	Undirected
3	#madr	#leon	2	Undirected
14	#madr	#moz2	2	Undirected
22	#novo	#muc1	2	Undirected
19	#novo	#muje	2	Undirected
49	#nova	#nina	1	Undirected
104	#muc1	#nina	1	Undirected
102	#muc1	#conv	1	Undirected
101	#muc1	#muc3	1	Undirected
11	#madr	#muer	1	Undirected
100	#muc1	#muer	1	Undirected
106	#len1	#moz1	1	Undirected
12	#madr	#muc3	1	Undirected
97	#veci	#nina	1	Undirected
96	#veci	#muer	1	Undirected
95	#veci	#muc2	1	Undirected
94	#veci	#muc1	1	Undirected
93	#sueg	#nina	1	Undirected
105	#len1	#len2	1	Undirected
108	#len1	#luna	1	Undirected
107	#len1	#len3	1	Undirected
118	#moz1	#len3	1	Undirected
126	#muc3	#moz2	1	Undirected
125	#muc3	#conv	1	Undirected
124	#muer	#nina	1	Undirected
123	#len3	#luna	1	Undirected
121	#moz1	#conv	1	Undirected
120	#moz1	#muc3	1	Undirected
119	#moz1	#luna	1	Undirected
117	#len2	#luna	1	Undirected
91	#sueg	#muc2	1	Undirected
116	#len2	#len3	1	Undirected
115	#len2	#moz1	1	Undirected
114	#muc2	#nina	1	Undirected
6	#madr	#sueg	1	Undirected
112	#muc2	#conv	1	Undirected
111	#muc2	#muc3	1	Undirected
110	#muc2	#muer	1	Undirected
92	#sueg	#muer	1	Undirected
13	#madr	#conv	1	Undirected
90	#sueg	#muc1	1	Undirected
89	#sueg	#veci	1	Undirected
29	#novo	#muc3	1	Undirected
65	#leon	#len2	1	Undirected
30	#novo	#conv	1	Undirected
63	#leon	#len1	1	Undirected
61	#leon	#sueg	1	Undirected
36	#nova	#sueg	1	Undirected
37	#nova	#veci	1	Undirected
39	#nova	#len1	1	Undirected
57	#cria	#conv	1	Undirected
56	#cria	#muc3	1	Undirected
41	#nova	#len2	1	Undirected
43	#nova	#len3	1	Undirected
44	#nova	#muer	1	Undirected
45	#nova	#luna	1	Undirected
46	#nova	#muc3	1	Undirected
67	#leon	#len3	1	Undirected
68	#leon	#luna	1	Undirected
69	#leon	#muc3	1	Undirected
80	#muje	#conv	1	Undirected
47	#nova	#conv	1	Undirected
87	#padr	#conv	1	Undirected
86	#padr	#muc3	1	Undirected
15	#madr	#nina	1	Undirected
82	#muje	#nina	1	Undirected
21	#novo	#veci	1	Undirected
79	#muje	#muc3	1	Undirected
70	#leon	#conv	1	Undirected
78	#muje	#muer	1	Undirected
23	#novo	#len1	1	Undirected
74	#muje	#veci	1	Undirected
25	#novo	#len2	1	Undirected
27	#novo	#len3	1	Undirected
28	#novo	#luna	1	Undirected
127	#conv	#moz2	1	Undirected
