	Source	Target	Weight	Type
462	scene_21	scene_27	7	Undirected
72	scene_3	scene_39	7	Undirected
61	scene_3	scene_27	7	Undirected
55	scene_3	scene_21	7	Undirected
64	scene_3	scene_30	6	Undirected
548	scene_27	scene_39	6	Undirected
465	scene_21	scene_30	6	Undirected
445	scene_20	scene_27	6	Undirected
107	scene_4	scene_39	6	Undirected
439	scene_20	scene_21	6	Undirected
92	scene_4	scene_24	6	Undirected
515	scene_24	scene_39	6	Undirected
58	scene_3	scene_24	6	Undirected
54	scene_3	scene_20	6	Undirected
38	scene_3	scene_4	6	Undirected
540	scene_27	scene_30	6	Undirected
473	scene_21	scene_39	6	Undirected
389	scene_17	scene_21	5	Undirected
569	scene_30	scene_39	5	Undirected
47	scene_3	scene_13	5	Undirected
504	scene_24	scene_27	5	Undirected
448	scene_20	scene_30	5	Undirected
51	scene_3	scene_17	5	Undirected
456	scene_20	scene_39	5	Undirected
89	scene_4	scene_21	5	Undirected
43	scene_3	scene_9	5	Undirected
305	scene_13	scene_21	5	Undirected
311	scene_13	scene_27	5	Undirected
388	scene_17	scene_20	5	Undirected
95	scene_4	scene_27	5	Undirected
304	scene_13	scene_20	5	Undirected
395	scene_17	scene_27	5	Undirected
459	scene_21	scene_24	5	Undirected
230	scene_9	scene_39	4	Undirected
314	scene_13	scene_30	4	Undirected
186	scene_8	scene_17	4	Undirected
458	scene_21	scene_23	4	Undirected
70	scene_3	scene_37	4	Undirected
345	scene_14	scene_39	4	Undirected
210	scene_9	scene_17	4	Undirected
322	scene_13	scene_39	4	Undirected
415	scene_18	scene_27	4	Undirected
222	scene_9	scene_30	4	Undirected
80	scene_4	scene_12	4	Undirected
180	scene_8	scene_9	4	Undirected
91	scene_4	scene_23	4	Undirected
507	scene_24	scene_30	4	Undirected
98	scene_4	scene_30	4	Undirected
297	scene_12	scene_39	4	Undirected
165	scene_7	scene_20	4	Undirected
94	scene_4	scene_26	4	Undirected
166	scene_7	scene_21	4	Undirected
88	scene_4	scene_20	4	Undirected
501	scene_23	scene_39	4	Undirected
171	scene_7	scene_27	4	Undirected
219	scene_9	scene_27	4	Undirected
386	scene_17	scene_18	4	Undirected
174	scene_7	scene_30	4	Undirected
461	scene_21	scene_26	4	Undirected
503	scene_24	scene_26	4	Undirected
62	scene_3	scene_28	4	Undirected
526	scene_26	scene_27	4	Undirected
60	scene_3	scene_26	4	Undirected
195	scene_8	scene_27	4	Undirected
207	scene_9	scene_14	4	Undirected
471	scene_21	scene_37	4	Undirected
550	scene_28	scene_30	4	Undirected
301	scene_13	scene_17	4	Undirected
546	scene_27	scene_37	4	Undirected
398	scene_17	scene_30	4	Undirected
567	scene_30	scene_37	4	Undirected
463	scene_21	scene_28	4	Undirected
538	scene_27	scene_28	4	Undirected
537	scene_26	scene_39	4	Undirected
198	scene_8	scene_30	4	Undirected
159	scene_7	scene_13	4	Undirected
487	scene_23	scene_24	4	Undirected
589	scene_37	scene_39	4	Undirected
406	scene_17	scene_39	4	Undirected
442	scene_20	scene_24	4	Undirected
214	scene_9	scene_21	4	Undirected
213	scene_9	scene_20	4	Undirected
190	scene_8	scene_21	4	Undirected
52	scene_3	scene_18	4	Undirected
57	scene_3	scene_23	4	Undirected
41	scene_3	scene_7	4	Undirected
409	scene_18	scene_21	4	Undirected
189	scene_8	scene_20	4	Undirected
408	scene_18	scene_20	4	Undirected
48	scene_3	scene_14	4	Undirected
46	scene_3	scene_12	4	Undirected
490	scene_23	scene_27	4	Undirected
42	scene_3	scene_8	4	Undirected
133	scene_5	scene_39	3	Undirected
472	scene_21	scene_38	3	Undirected
444	scene_20	scene_26	3	Undirected
446	scene_20	scene_28	3	Undirected
464	scene_21	scene_29	3	Undirected
454	scene_20	scene_37	3	Undirected
155	scene_7	scene_8	3	Undirected
220	scene_9	scene_28	3	Undirected
156	scene_7	scene_9	3	Undirected
211	scene_9	scene_18	3	Undirected
441	scene_20	scene_23	3	Undirected
162	scene_7	scene_17	3	Undirected
394	scene_17	scene_26	3	Undirected
206	scene_9	scene_13	3	Undirected
396	scene_17	scene_28	3	Undirected
204	scene_8	scene_39	3	Undirected
202	scene_8	scene_37	3	Undirected
404	scene_17	scene_37	3	Undirected
385	scene_16	scene_39	3	Undirected
196	scene_8	scene_28	3	Undirected
228	scene_9	scene_37	3	Undirected
392	scene_17	scene_24	3	Undirected
412	scene_18	scene_24	3	Undirected
187	scene_8	scene_18	3	Undirected
414	scene_18	scene_26	3	Undirected
183	scene_8	scene_14	3	Undirected
216	scene_9	scene_24	3	Undirected
179	scene_7	scene_39	3	Undirected
416	scene_18	scene_28	3	Undirected
417	scene_18	scene_30	3	Undirected
375	scene_16	scene_27	3	Undirected
372	scene_16	scene_24	3	Undirected
425	scene_18	scene_39	3	Undirected
369	scene_16	scene_21	3	Undirected
368	scene_16	scene_20	3	Undirected
182	scene_8	scene_13	3	Undirected
590	scene_38	scene_39	3	Undirected
128	scene_5	scene_31	3	Undirected
535	scene_26	scene_37	3	Undirected
45	scene_3	scene_11	3	Undirected
50	scene_3	scene_16	3	Undirected
529	scene_26	scene_30	3	Undirected
