	Source	Target	Weight	Type
27	#mart	#adel	18	Undirected
28	#mart	#amel	14	Undirected
0	#bern	#ponc	13	Undirected
15	#ponc	#adel	13	Undirected
30	#mart	#magd	13	Undirected
4	#bern	#angu	12	Undirected
14	#ponc	#mart	12	Undirected
1	#bern	#mart	11	Undirected
29	#mart	#angu	11	Undirected
17	#ponc	#angu	11	Undirected
41	#adel	#magd	11	Undirected
2	#bern	#adel	11	Undirected
51	#amel	#magd	10	Undirected
40	#adel	#angu	10	Undirected
39	#adel	#amel	10	Undirected
59	#angu	#magd	10	Undirected
19	#ponc	#cria	9	Undirected
5	#bern	#magd	8	Undirected
42	#adel	#cria	7	Undirected
50	#amel	#angu	7	Undirected
16	#ponc	#amel	7	Undirected
18	#ponc	#magd	7	Undirected
6	#bern	#cria	7	Undirected
31	#mart	#cria	6	Undirected
68	#magd	#cria	5	Undirected
3	#bern	#amel	5	Undirected
60	#angu	#cria	5	Undirected
76	#cria	#jose	3	Undirected
52	#amel	#cria	2	Undirected
21	#ponc	#jose	2	Undirected
8	#bern	#jose	2	Undirected
33	#mart	#jose	2	Undirected
62	#angu	#jose	2	Undirected
64	#angu	#much	1	Undirected
65	#angu	#muj2	1	Undirected
66	#angu	#muj3	1	Undirected
67	#angu	#muj4	1	Undirected
71	#magd	#muj1	1	Undirected
63	#angu	#muj1	1	Undirected
91	#muj2	#muj4	1	Undirected
90	#muj2	#muj3	1	Undirected
89	#much	#muj4	1	Undirected
69	#magd	#prud	1	Undirected
70	#magd	#jose	1	Undirected
88	#much	#muj3	1	Undirected
80	#cria	#muj2	1	Undirected
81	#cria	#muj3	1	Undirected
73	#magd	#muj2	1	Undirected
87	#much	#muj2	1	Undirected
86	#muj1	#muj4	1	Undirected
85	#muj1	#muj3	1	Undirected
74	#magd	#muj3	1	Undirected
75	#magd	#muj4	1	Undirected
77	#cria	#mend	1	Undirected
78	#cria	#muj1	1	Undirected
84	#muj1	#muj2	1	Undirected
79	#cria	#much	1	Undirected
83	#muj1	#much	1	Undirected
61	#angu	#prud	1	Undirected
82	#cria	#muj4	1	Undirected
72	#magd	#much	1	Undirected
46	#adel	#much	1	Undirected
58	#amel	#muj4	1	Undirected
34	#mart	#muj1	1	Undirected
7	#bern	#prud	1	Undirected
9	#bern	#muj1	1	Undirected
10	#bern	#much	1	Undirected
11	#bern	#muj2	1	Undirected
12	#bern	#muj3	1	Undirected
13	#bern	#muj4	1	Undirected
20	#ponc	#prud	1	Undirected
22	#ponc	#muj1	1	Undirected
23	#ponc	#much	1	Undirected
24	#ponc	#muj2	1	Undirected
25	#ponc	#muj3	1	Undirected
26	#ponc	#muj4	1	Undirected
32	#mart	#prud	1	Undirected
35	#mart	#much	1	Undirected
57	#amel	#muj3	1	Undirected
36	#mart	#muj2	1	Undirected
37	#mart	#muj3	1	Undirected
38	#mart	#muj4	1	Undirected
43	#adel	#prud	1	Undirected
44	#adel	#jose	1	Undirected
45	#adel	#muj1	1	Undirected
47	#adel	#muj2	1	Undirected
48	#adel	#muj3	1	Undirected
49	#adel	#muj4	1	Undirected
53	#amel	#prud	1	Undirected
54	#amel	#muj1	1	Undirected
55	#amel	#much	1	Undirected
56	#amel	#muj2	1	Undirected
92	#muj3	#muj4	1	Undirected
