	id	label	sex	role	nature	importance	position	scene_1	scene_2	scene_3	scene_4	scene_5	scene_6	scene_7	scene_8	scene_9	scene_10	scene_11	scene_12	scene_13	scene_14	scene_15	scene_16	scene_17	scene_18	scene_19	scene_20	scene_21	scene_22	scene_23	scene_24	scene_25	scene_26	scene_27	scene_28	scene_29	scene_30	scene_31	scene_32	scene_33	scene_34	scene_35	scene_36	scene_37	scene_38	scene_39	first scene	middle scene	last scene
#bern	#bern	Bernarda	F	protagonist	person	primary	1	0	0	30	14	16	0	0	0	0	3	6	6	0	0	0	0	0	0	0	0	15	28	2	6	0	5	21	1	11	8	12	0	0	0	0	0	2	1	7	0	5.054054054054054	7
#jose	#jose	María Josefa	F	other	person	minor	2	2	0	0	1	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	8	0	0	0	0	2	0.40540540540540543	0
#angu	#angu	Angustias	F	other	person	secondary	3	0	0	1	4	0	0	2	0	0	0	4	1	19	0	0	2	0	0	0	6	7	0	3	1	0	0	4	0	11	2	0	0	0	0	0	0	0	1	1	0	1.837837837837838	1
#magd	#magd	Magdalena	F	other	person	minor	4	0	0	3	0	0	0	15	7	3	0	0	2	14	1	0	0	6	0	0	1	2	0	0	0	0	0	1	0	1	2	0	0	0	0	0	0	1	0	3	0	1.5945945945945945	3
#amel	#amel	Amelia	F	other	person	minor	5	0	0	1	0	0	12	8	2	1	0	0	0	15	0	0	0	5	2	13	1	1	0	0	0	0	0	2	2	0	5	0	0	0	0	0	0	0	0	0	0	1.8918918918918919	0
#mart	#mart	Martirio	F	other	person	secondary	6	0	0	2	2	0	11	10	3	1	0	0	0	11	3	0	0	6	4	12	3	8	0	2	2	7	2	1	1	0	6	0	0	0	0	9	17	1	0	4	0	3.3513513513513513	4
#adel	#adel	Adela	F	antagonist	person	primary	7	0	0	2	3	0	0	0	10	1	0	0	0	0	4	16	1	5	4	0	2	4	0	0	1	6	4	3	2	0	10	0	2	0	0	0	18	1	1	2	0	2.7027027027027026	2
#ponc	#ponc	La Poncia	F	antagonist	person	primary	8	18	0	6	1	15	0	0	0	0	2	1	0	15	0	15	3	8	5	0	1	4	27	1	3	0	3	4	0	0	0	20	2	3	0	0	0	0	0	5	18	3.7567567567567566	5
#cria	#cria	Criada	F	other	person	minor	9	17	5	1	4	1	0	0	0	4	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	10	1	2	0	0	0	0	0	1	17	0.8378378378378378	1
#prud	#prud	Prudencia	F	other	person	minor	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5945945945945946	0
#mend	#mend	Mendiga	F	other	person	minor	11	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.13513513513513514	0
#muj1	#muj1	Mujer 1ª	F	other	person	minor	12	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.13513513513513514	0
#muj2	#muj2	Mujer 2ª	F	other	person	minor	13	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08108108108108109	0
#muj3	#muj3	Mujer 3ª	F	other	person	minor	14	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08108108108108109	0
#muj4	#muj4	Mujer 4ª	F	other	person	minor	15	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02702702702702703	0
#much	#much	Muchacha	F	other	person	minor	16	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.10810810810810811	0
