	approximate_current_flow_betweenness_centrality	betweenness	closeness_centrality	communicability_centrality_exp	current_flow_betweenness_centrality	degree	degree-vs	eccentricity	eigenvector_centrality	importance	label	load_centrality	nature	pers_mes_characters	pers_mes_rss	pers_mes_scenes	pers_mes_sps	position	role	sex	importance-nr	is_protagonist	is_lover	is_antagonist	is_primary	is_minor	antagonist	lover	degree-rel	betweenness-rel	position-rel	work	total_characters
#borr	0.024340617474956538	0.0	0.40119760479041916	683.6652118241173	0.032740271254888154	7	700	4	0.049559287853173394	minor	La voz de un borracho	0.0	person	318	0	1	1	50	other	M	3	0	0	0	0	1	0	0	0.10294117647058823	0.0	0.7352941176470589	bette043_Valle_Aguila	68
#caba	0.19214825620502596	0.1043491058416432	0.5630252100840336	10350.549040417513	0.20071039939127863	21	2100	3	0.22009301855218116	primary	El Caballero don Juan Manuel Montenegro	0.10246494798733606	person	12796	90	12	197	1	protagonist	M	1	1	0	0	1	0	0	0	0.3088235294117647	0.0015345456741418118	0.014705882352941176	bette043_Valle_Aguila	68
#cara	0.11431363987053227	0.06285007143216094	0.48201438848920863	2484.5592466028747	0.12240025163780939	13	1300	4	0.1091373079857981	secondary	Cara de Plata	0.06261432735313331	person	3593	25	6	69	48	other	M	2	0	0	0	0	0	0	0	0.19117647058823528	0.0009242657563553079	0.7058823529411765	bette043_Valle_Aguila	68
#barq	0.008479860331712271	0.0	0.29777777777777775	117.31588237210526	0.0065832453892156455	3	300	5	0.02236780710566858	minor	El barquero	0.0	person	18	5	1	1	65	other	M	3	0	0	0	0	1	0	0	0.04411764705882353	0.0	0.9558823529411765	bette043_Valle_Aguila	68
#rosm	0.01950091260664	0.0	0.41358024691358025	1080.5075991722358	0.028779838559025685	5	500	4	0.06755664355936643	minor	Rosita María	0.0	person	243	0	1	6	9	other	F	3	0	0	0	0	1	0	0	0.07352941176470588	0.0	0.1323529411764706	bette043_Valle_Aguila	68
#pedr	0.15905986297501767	0.10928618092797197	0.4785714285714286	1856.1348974091225	0.14764359655179982	10	1000	3	0.08724091626239432	secondary	Pedro Rey	0.11085670134177597	person	2179	14	3	23	21	other	M	2	0	0	0	0	0	0	0	0.14705882352941177	0.0016071497195289995	0.3088235294117647	bette043_Valle_Aguila	68
#gine	0.029532178592894098	0.0	0.3641304347826087	436.9154705090045	0.03131516421065715	5	500	5	0.04578920251498335	minor	El señor Ginero	0.0	person	604	3	1	5	49	other	M	3	0	0	0	0	1	0	0	0.07352941176470588	0.0	0.7205882352941176	bette043_Valle_Aguila	68
#otra	0.03149549962983863	0.0	0.40119760479041916	683.6652118241175	0.03274027125488805	7	700	4	0.049559287853173394	minor	la otra señora	0.0	person	47	0	1	1	52	other	F	3	0	0	0	0	1	0	0	0.10294117647058823	0.0	0.7647058823529411	bette043_Valle_Aguila	68
#viso	0.058127739639166266	0.009648726066636524	0.4161490683229814	1674.4086894071004	0.039972661935574756	8	800	4	0.09052614223348694	secondary	Andrea la Visoja	0.009648726066636524	person	450	2	2	8	64	other	F	2	0	0	0	0	0	0	0	0.11764705882352941	0.0001418930303917136	0.9411764705882353	bette043_Valle_Aguila	68
#mari	1.0803180273288565e-16	0.0	0.3850574712643678	205.06257869267594	0.01944821347806431	5	500	4	0.026082091291229792	minor	El marido	0.0	person	235	1	1	6	59	other	M	3	0	0	0	0	1	0	0	0.07352941176470588	0.0	0.8676470588235294	bette043_Valle_Aguila	68
#sueg	1.3980586236020488e-16	0.0	0.3850574712643678	205.06257869267586	0.01944821347806434	5	500	4	0.026082091291229792	minor	La suegra	0.0	person	2187	1	2	15	60	other	F	3	0	0	0	0	1	0	0	0.07352941176470588	0.0	0.8823529411764706	bette043_Valle_Aguila	68
#una_	0.038650381784720765	0.0	0.40119760479041916	683.6652118241174	0.03274027125488814	7	700	4	0.049559287853173394	minor	una señora	0.0	person	11	0	1	1	51	other	F	3	0	0	0	0	1	0	0	0.10294117647058823	0.0	0.75	bette043_Valle_Aguila	68
#pren	1.143866146583495e-16	0.0	0.3850574712643678	205.06257869267603	0.019448213478064354	5	500	4	0.026082091291229792	minor	La Preñada	0.0	person	1301	6	2	17	58	other	F	3	0	0	0	0	1	0	0	0.07352941176470588	0.0	0.8529411764705882	bette043_Valle_Aguila	68
#viej	0.053553933628608566	0.0	0.36813186813186816	228.97201691382463	0.03674952455283891	6	600	4	0.0245778074853797	minor	Un viejo	0.0	person	480	0	1	4	26	other	M	3	0	0	0	0	1	0	0	0.08823529411764706	0.0	0.38235294117647056	bette043_Valle_Aguila	68
#roja	0.13631373826815396	0.042543595155535435	0.5275590551181102	6856.385628161558	0.1503138694136006	16	1600	3	0.1749168754070004	secondary	Micaela La Roja	0.041150309060756826	person	5279	14	9	58	11	other	F	2	0	0	0	0	0	0	0	0.23529411764705882	0.0006256411052284623	0.16176470588235295	bette043_Valle_Aguila	68
#rapa	1.2074142658381335e-16	0.0	0.3850574712643678	205.0625786926758	0.01944821347806437	5	500	4	0.026082091291229792	minor	El Rapaz	0.0	person	258	5	1	5	57	other	M	3	0	0	0	0	1	0	0	0.07352941176470588	0.0	0.8382352941176471	bette043_Valle_Aguila	68
#veci	0.02095988554620887	0.0	0.40119760479041916	1102.5292648129132	0.02570656512037569	6	600	4	0.0645406760248464	minor	Un vecino	0.0	person	19	1	1	1	15	other	M	3	0	0	0	0	1	0	0	0.08823529411764706	0.0	0.22058823529411764	bette043_Valle_Aguila	68
#pich	0.001407704962160412	0.0	0.3284313725490196	65.44734063821764	0.0033639057842932397	2	200	5	0.01574264101388167	minor	La Pichona	0.0	person	2481	31	2	39	62	other	F	3	0	0	0	0	1	0	0	0.029411764705882353	0.0	0.9117647058823529	bette043_Valle_Aguila	68
#crib	0.024530759439795224	0.0	0.41358024691358025	8304.14255652653	0.027394156622277652	11	1100	4	0.20048085324558945	minor	Una Cribera	0.0	person	87	0	1	1	34	other	F	3	0	0	0	0	1	0	0	0.16176470588235295	0.0	0.5	bette043_Valle_Aguila	68
#rosa	0.02749784576298638	0.0026383235338459216	0.3941176470588235	366.2808668307655	0.04114355346043558	5	500	4	0.040040707340752914	minor	Rosalva	0.0026383235338459207	person	738	6	2	15	40	other	F	3	0	0	0	0	1	0	0	0.07352941176470588	3.879887549773414e-05	0.5882352941176471	bette043_Valle_Aguila	68
#nino	0.0	0.0	0.3806818181818182	163.989336418578	0.0	1	100	4	0.029370520034002433	secondary	El niño Jesús	0.0	non-human	1223	14	1	9	61	other	M	2	0	0	0	0	0	0	0	0.014705882352941176	0.0	0.8970588235294118	bette043_Valle_Aguila	68
#andr	0.01078597409089693	0.0	0.3701657458563536	229.68430162776244	0.019331620222419202	4	400	4	0.03171974118504129	minor	Andreíña	0.0	person	517	2	1	7	42	other	F	3	0	0	0	0	1	0	0	0.058823529411764705	0.0	0.6176470588235294	bette043_Valle_Aguila	68
#zaga	0.11929941389593653	0.024217656307208554	0.4785714285714286	4425.40377023249	0.10238280665152394	12	1200	4	0.1453223805714955	minor	El zagal de las ovejas	0.024197195838986885	person	202	4	2	4	12	other	M	3	0	0	0	0	1	0	0	0.17647058823529413	0.00035614200451777287	0.17647058823529413	bette043_Valle_Aguila	68
#biei	0.01078597409089694	0.0	0.3701657458563536	229.68430162776255	0.01933162022241912	4	400	4	0.03171974118504129	minor	Bieito	0.0	person	230	1	1	2	41	other	M	3	0	0	0	0	1	0	0	0.058823529411764705	0.0	0.6029411764705882	bette043_Valle_Aguila	68
#rosi	0.038580598352992435	0.0	0.41358024691358025	1080.507599172236	0.02877983855902566	5	500	4	0.06755664355936641	minor	Doña Rosita	0.0	person	1131	0	1	10	8	other	F	3	0	0	0	0	1	0	0	0.07352941176470588	0.0	0.11764705882352941	bette043_Valle_Aguila	68
#vie2	0.024283236404448696	0.0	0.2791666666666667	55.51001406008967	0.01728958513219044	5	500	5	0.005760949969604534	minor	otra vieja	0.0	person	44	0	1	1	10	other	F	3	0	0	0	0	1	0	0	0.07352941176470588	0.0	0.14705882352941177	bette043_Valle_Aguila	68
#manc	0.04508025120322914	0.012849174043203886	0.4589041095890411	1958.694262732011	0.0756514677238242	8	800	3	0.09723469071569436	minor	La Manchada	0.013844916829991458	person	1081	0	3	14	39	other	F	3	0	0	0	0	1	0	0	0.11764705882352941	0.00018895844181182186	0.5735294117647058	bette043_Valle_Aguila	68
#cape	0.24091958857841866	0.10167775839417628	0.5	14417.920606885034	0.2275272455676267	20	2000	4	0.27323483366712	minor	El Capellán	0.1047144328860747	person	1003	10	3	17	38	other	M	3	0	0	0	0	1	0	0	0.29411764705882354	0.0014952611528555335	0.5588235294117647	bette043_Valle_Aguila	68
