	Source	Target	Weight	Type
0	#caba	#gala	9	Undirected
2	#caba	#sabe	7	Undirected
67	#sabe	#roja	7	Undirected
4	#caba	#roja	7	Undirected
22	#gala	#roja	5	Undirected
20	#gala	#sabe	5	Undirected
19	#gala	#dona	5	Undirected
98	#cara	#farr	5	Undirected
1	#caba	#dona	4	Undirected
42	#dona	#roja	4	Undirected
21	#gala	#libe	3	Undirected
3	#caba	#libe	3	Undirected
69	#sabe	#capi	3	Undirected
7	#caba	#capi	3	Undirected
174	#viso	#gazu	2	Undirected
44	#dona	#cape	2	Undirected
73	#sabe	#ladr	2	Undirected
78	#sabe	#enma	2	Undirected
89	#libe	#pedr	2	Undirected
92	#libe	#manc	2	Undirected
195	#vie1	#moza	2	Undirected
186	#ladr	#enma	2	Undirected
159	#rosa	#manc	2	Undirected
180	#gazu	#pere	2	Undirected
99	#cara	#pich	2	Undirected
109	#farr	#pich	2	Undirected
39	#dona	#sabe	2	Undirected
135	#capi	#ladr	2	Undirected
136	#capi	#enma	2	Undirected
175	#viso	#pere	2	Undirected
120	#roja	#capi	2	Undirected
139	#pren	#sueg	2	Undirected
6	#caba	#pedr	2	Undirected
28	#gala	#manc	2	Undirected
24	#gala	#pedr	2	Undirected
14	#caba	#enma	2	Undirected
12	#caba	#ladr	2	Undirected
200	#pere	#zaga	1	Undirected
190	#abue	#rapa	1	Undirected
191	#mari	#rapa	1	Undirected
192	#rosm	#zaga	1	Undirected
193	#vie1	#viej	1	Undirected
194	#vie1	#mozo	1	Undirected
5	#caba	#escr	1	Undirected
196	#vie1	#fray	1	Undirected
197	#vie1	#vie2	1	Undirected
198	#vie1	#voz_	1	Undirected
199	#vie1	#mona	1	Undirected
201	#pere	#espo	1	Undirected
188	#ladr	#veci	1	Undirected
202	#pere	#cieg	1	Undirected
203	#pere	#barq	1	Undirected
204	#viej	#mozo	1	Undirected
205	#viej	#moza	1	Undirected
206	#enma	#otro	1	Undirected
207	#enma	#veci	1	Undirected
208	#zaga	#espo	1	Undirected
209	#zaga	#cieg	1	Undirected
210	#mozo	#moza	1	Undirected
211	#patr	#manu	1	Undirected
212	#patr	#fons	1	Undirected
213	#patr	#mend	1	Undirected
214	#patr	#cint	1	Undirected
189	#abue	#mari	1	Undirected
32	#gala	#andr	1	Undirected
187	#ladr	#otro	1	Undirected
216	#patr	#lana	1	Undirected
11	#caba	#algu	1	Undirected
160	#rosa	#andr	1	Undirected
161	#rosa	#biei	1	Undirected
162	#sueg	#abue	1	Undirected
163	#sueg	#mari	1	Undirected
