	id	label	sex	role	nature	importance	position	scene_1	scene_2	scene_3	scene_4	scene_5	scene_6	scene_7	scene_8	scene_9	scene_10	scene_11	scene_12	scene_13	scene_14	scene_15	scene_16	scene_17	scene_18	scene_19	scene_20	scene_21	scene_22	scene_23	scene_24	scene_25	scene_26	scene_27	scene_28	scene_29	scene_30	scene_31	scene_32	first scene	middle scene	last scene
#caba	#caba	El Caballero don Juan Manuel Montenegro	M	protagonist	person	primary	1	0	3	5	13	1	0	25	22	0	0	0	28	0	40	0	0	0	0	12	0	0	3	0	0	0	19	0	0	0	0	0	26	0	5.7	26
#fray	#fray	Fray Jerónimo	M	other	person	minor	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0.0	0
#vie1	#vie1	Una vieja	F	other	person	minor	3	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.13333333333333333	0
#moza	#moza	Una moza	F	other	person	minor	4	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.06666666666666667	0
#mona	#mona	un monago	M	other	person	minor	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.0	0
#voz_	#voz_	una voz en la sombra	F	other	oher	minor	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.0	0
#sabe	#sabe	Sabelita	F	lover	person	primary	7	0	10	9	6	2	7	2	3	0	0	0	4	0	0	0	20	3	11	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	2.8666666666666667	0
#rosi	#rosi	Doña Rosita	F	other	person	minor	8	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3333333333333333	0
#rosm	#rosm	Rosita María	F	other	person	minor	9	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0
#vie2	#vie2	otra vieja	F	other	person	minor	10	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.0	0
#roja	#roja	Micaela La Roja	F	other	person	secondary	11	0	7	5	0	7	7	0	7	0	0	0	1	0	0	0	12	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	5	0	1.7666666666666666	5
#zaga	#zaga	El zagal de las ovejas	M	other	person	minor	12	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0.13333333333333333	0
#gala	#gala	Don Galán	M	other	person	secondary	13	0	0	1	0	0	0	24	3	0	0	0	20	14	10	0	0	0	0	1	0	0	28	0	0	0	23	0	0	9	0	2	2	0	4.5	2
#capi	#capi	El Capitán de los ladrones	M	other	person	minor	14	0	0	4	11	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6	0
#veci	#veci	Un vecino	M	other	person	minor	15	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03333333333333333	0
#ladr	#ladr	Un ladrón	M	other	person	secondary	16	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.23333333333333334	0
#otro	#otro	Otro ladrón	M	other	person	secondary	17	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06666666666666667	0
#enma	#enma	El Enmascarado	M	other	person	minor	18	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.13333333333333333	0
#pedr	#pedr	Pedro Rey	M	other	person	secondary	21	0	0	0	0	0	0	0	9	0	4	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7666666666666667	0
#libe	#libe	Liberata	F	other	person	secondary	22	0	0	0	0	0	0	0	0	17	7	0	0	0	0	0	0	0	0	11	0	0	25	0	0	0	0	9	0	0	0	0	12	0	2.3	12
#dped	#dped	Don Pedrito	M	other	person	secondary	23	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6	0
#cura	#cura	La Curandera	F	other	person	minor	24	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3333333333333333	0
#mozo	#mozo	Un mozo	M	other	person	minor	25	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.13333333333333333	0
#viej	#viej	Un viejo	M	other	person	minor	26	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.13333333333333333	0
#mar1	#mar1	Un Marinero	M	other	person	minor	27	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03333333333333333	0
#patr	#patr	El Patrón	M	other	person	minor	28	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0
#mar2	#mar2	Otro marinero	M	other	person	minor	29	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03333333333333333	0
#manu	#manu	Manuel Tovío	M	other	person	minor	30	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0
#peab	#peab	Pedro Abuín	M	other	person	minor	31	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03333333333333333	0
#fons	#fons	Manuel Fonseca	M	other	person	minor	32	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06666666666666667	0
#lana	#lana	Un Lañador	M	other	person	minor	33	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03333333333333333	0
#crib	#crib	Una Cribera	F	other	person	minor	34	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03333333333333333	0
#cint	#cint	Una Cintera	F	other	person	minor	35	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03333333333333333	0
#mend	#mend	El Mendicante	M	other	person	minor	36	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03333333333333333	0
#dona	#dona	Doña María	F	antagonist	person	secondary	37	0	0	0	0	0	0	0	0	0	0	2	6	0	13	0	31	0	0	0	16	9	0	0	0	0	7	0	0	0	0	5	6	0	2.966666666666667	6
#cape	#cape	El Capellán	M	other	person	minor	38	0	0	0	0	0	0	0	0	0	0	2	0	0	5	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5666666666666667	0
#manc	#manc	La Manchada	F	other	person	minor	39	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	1	0	0.43333333333333335	1
#rosa	#rosa	Rosalva	F	other	person	minor	40	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0.5	0
#biei	#biei	Bieito	M	other	person	minor	41	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06666666666666667	0
#andr	#andr	Andreíña	F	other	person	minor	42	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.23333333333333334	0
#algu	#algu	El Alguacil	M	other	person	minor	43	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3	0
#escr	#escr	El Escribano	M	other	person	minor	44	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8	0
#maur	#maur	Don Mauro	M	other	person	minor	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0
#farr	#farr	Don Farruquiño	M	other	person	secondary	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	5	0	0	0	0	0	16	19	11	0	0	0	0	0	0	0	0	2.2333333333333334	0
#rose	#rose	Don Rosendo	M	other	person	minor	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4	0
#cara	#cara	Cara de Plata	M	other	person	secondary	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	7	0	0	15	0	0	3	15	20	0	0	0	0	0	0	0	0	2.3	0
#gine	#gine	El señor Ginero	M	other	person	minor	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.16666666666666666	0
#borr	#borr	La voz de un borracho	M	other	person	minor	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03333333333333333	0
#una_	#una_	una señora	F	other	person	minor	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03333333333333333	0
#otra	#otra	la otra señora	F	other	person	minor	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03333333333333333	0
#cria	#cria	Un criado	M	other	person	minor	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0
#chan	#chan	El chantre	M	other	person	minor	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06666666666666667	0
#dean	#dean	El Deán	M	other	person	minor	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06666666666666667	0
#abue	#abue	El abuelo	M	other	person	minor	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.23333333333333334	0
#rapa	#rapa	El Rapaz	M	other	person	minor	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.16666666666666666	0
#pren	#pren	La Preñada	F	other	person	minor	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0.5666666666666667	0
#mari	#mari	El marido	M	other	person	minor	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0
#sueg	#sueg	La suegra	F	other	person	minor	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0.5	0
#nino	#nino	El niño Jesús	M	other	non-human	secondary	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0.3	0
#pich	#pich	La Pichona	F	other	person	minor	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	22	0	0	0	0	0	0	0	0	1.3	0
#gazu	#gazu	Juana la Gazula	F	other	person	secondary	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	3	0	0	0.23333333333333334	0
#viso	#viso	Andrea la Visoja	F	other	person	secondary	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	0	0	0.26666666666666666	0
#barq	#barq	El barquero	M	other	person	minor	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0.03333333333333333	0
#pere	#pere	El peregrino	M	other	person	minor	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0.16666666666666666	0
#espo	#espo	El Espolique	M	other	person	minor	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0.1	0
#cieg	#cieg	Una vieja ciega	F	other	person	minor	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0.1	0
#eco_	#eco_	Un eco	O	other	thing	minor	69	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03333333333333333	0
