	approximate_current_flow_betweenness_centrality	betweenness	closeness_centrality	communicability_centrality_exp	current_flow_betweenness_centrality	degree	degree-vs	eccentricity	eigenvector_centrality	importance	label	load_centrality	nature	pers_mes_characters	pers_mes_rss	pers_mes_scenes	pers_mes_sps	position	role	sex	importance-nr	is_protagonist	is_lover	is_antagonist	is_primary	is_minor	antagonist	lover	degree-rel	betweenness-rel	position-rel	work	total_characters
#caba	0.23012978228466685	0.24482310372554278	0.9318181818181818	61160168.549895585	0.20758691755048064	38	3800	2	0.25844856839920133	primary	EL CABALLERO, DON JUAN MANUEL DE MONTENEGRO	0.24482310372554272	person	21868	194	13	193	1	protagonist	M	1	1	0	0	1	0	0	0	0.9047619047619048	0.0058291215172748285	0.023809523809523808	bette044_Valle_Romance	42
#rebo	0.06425504638479414	0.016298579469311174	0.6833333333333333	33170460.22955257	0.06799313931323442	22	2200	2	0.1903333927939017	minor	LA REBOLA	0.01629857946931118	person	467	6	2	13	11	other	F	3	0	0	0	0	1	0	0	0.5238095238095238	0.0003880614159359803	0.2619047619047619	bette044_Valle_Romance	42
#anso	0.029235734032794756	0.0	0.5540540540540541	8058790.538927823	0.03048411022457897	11	1100	3	0.0938148301748178	minor	ANDREÍÑA LA SORDA,	0.0	person	441	3	1	5	27	other	F	3	0	0	0	0	1	0	0	0.2619047619047619	0.0	0.6428571428571429	bette044_Valle_Romance	42
#zaga	0.02493160744760082	0.0	0.5466666666666666	5252859.258632984	0.02822359386103249	10	1000	3	0.07574105737935086	minor	EL ZAGAL DE LAS VACAS	0.0	person	212	0	1	6	9	other	M	3	0	0	0	0	1	0	0	0.23809523809523808	0.0	0.21428571428571427	bette044_Valle_Romance	42
#morc	0.13100262319625397	0.05036462521218617	0.7735849056603774	49847805.12719109	0.11176921368776067	29	2900	2	0.23332561061750298	minor	EL MORCEGO	0.05036462521218618	person	851	5	4	19	28	other	M	3	0	0	0	0	1	0	0	0.6904761904761905	0.0011991577431472898	0.6666666666666666	bette044_Valle_Romance	42
#tull	0.03952985167985365	0.0	0.5540540540540541	8058790.538927819	0.03048411022457892	11	1100	3	0.09381483017481779	minor	EL TULLIDO DE CELTIGOS	0.0	person	22	1	1	1	25	other	M	3	0	0	0	0	1	0	0	0.2619047619047619	0.0	0.5952380952380952	bette044_Valle_Romance	42
#viud	0.010496881676048323	0.0	0.4939759036144578	183879.06295366143	0.008897691565978345	2	200	3	0.01417109583108854	minor	Una Viuda	0.0	person	1646	2	1	7	42	other	F	3	0	0	0	0	1	0	0	0.047619047619047616	0.0	1.0	bette044_Valle_Romance	42
#fuso	0.04545960161390227	0.0018292682926829267	0.5125	1056788.2623675775	0.037985527567412004	5	500	3	0.03397288460872206	minor	FUSO NEGRO	0.0018292682926829267	person	4592	12	2	37	34	other	M	3	0	0	0	0	1	0	0	0.11904761904761904	4.3554006968641115e-05	0.8095238095238095	bette044_Valle_Romance	42
#much	0.06799252635398371	0.00909139640846958	0.6949152542372882	41107905.41833678	0.05821440172525399	23	2300	2	0.2118858779957372	minor	Muchas voces	0.009091396408469577	non-human	834	0	5	9	45	other	O	3	0	0	0	0	1	0	0	0.5476190476190477	0.0002164618192492757	1.0714285714285714	bette044_Valle_Romance	42
#maur	0.08589952844086139	0.04868924774412579	0.7192982456140351	40940779.1628293	0.09385021031270327	25	2500	2	0.21145450110962136	primary	DON MAURO	0.048689247744125794	person	1453	18	5	29	4	antagonist	M	1	0	0	1	1	0	1	0	0.5952380952380952	0.0011592678034315664	0.09523809523809523	bette044_Valle_Romance	42
#sabe	0.021050663973760382	0.0	0.5061728395061729	1016429.9330631419	0.018345916612004423	4	400	3	0.03331788042394083	minor	DOÑA SABELITA	0.0	person	546	15	2	23	41	other	F	3	0	0	0	0	1	0	0	0.09523809523809523	0.0	0.9761904761904762	bette044_Valle_Romance	42
#gonz	0.0883698203915302	0.04868924774412579	0.7192982456140351	40940779.162829295	0.09385021031270337	25	2500	2	0.21145450110962136	secondary	DON GONZALITO	0.048689247744125794	person	896	7	5	17	5	antagonist	M	2	0	0	1	0	0	1	0	0.5952380952380952	0.0011592678034315664	0.11904761904761904	bette044_Valle_Romance	42
#pobr	0.084901819049124	0.02683820244795854	0.7592592592592593	50411688.58563436	0.08472067826082683	28	2800	2	0.2346415831047263	minor	EL POBRE DE SAN LÁZARO,	0.02683820244795855	person	3137	19	5	24	21	other	M	3	0	0	0	0	1	0	0	0.6666666666666666	0.000639004820189489	0.5	bette044_Valle_Romance	42
#domi	0.09420478675602419	0.02683820244795854	0.7592592592592593	50411688.58563437	0.08472067826082652	28	2800	2	0.2346415831047263	minor	DOMINGA DE GÓMEZ	0.02683820244795855	person	1303	1	4	21	22	other	F	3	0	0	0	0	1	0	0	0.6666666666666666	0.000639004820189489	0.5238095238095238	bette044_Valle_Romance	42
#mart	0.0070612742695638315	0.0	0.5061728395061729	518813.2388181637	0.01807975636472553	4	400	3	0.02380329314689443	minor	Marinero	0.0	person	38	0	1	1	17	other	M	3	0	0	0	0	1	0	0	0.09523809523809523	0.0	0.40476190476190477	bette044_Valle_Romance	42
#beni	0.04439032098453606	0.0025783972125435536	0.6212121212121212	22778808.439437	0.040245198767175146	16	1600	2	0.157726627359813	minor	BENITA LA COSTURERA	0.0025783972125435536	person	3090	9	2	23	20	other	F	3	0	0	0	0	1	0	0	0.38095238095238093	6.139040982246556e-05	0.47619047619047616	bette044_Valle_Romance	42
#gala	0.0761226284252864	0.02533637094612704	0.7068965517241379	38049800.98342575	0.07752146634258077	24	2400	2	0.20385235988999711	minor	DON GALÁN	0.025336370946127045	person	1043	5	3	24	7	other	M	3	0	0	0	0	1	0	0	0.5714285714285714	0.0006032469272887391	0.16666666666666666	bette044_Valle_Romance	42
#reco	0.07071620946694676	0.02011860091128384	0.6949152542372882	36126458.9604859	0.07176286992691337	23	2300	2	0.1986332947721081	minor	LA RECOGIDA	0.02011860091128384	person	410	1	2	12	12	other	F	3	0	0	0	0	1	0	0	0.5476190476190477	0.00047901430741152	0.2857142857142857	bette044_Valle_Romance	42
#flor	0.01931663418556876	0.0	0.5466666666666666	5252859.258632985	0.02822359386103242	10	1000	3	0.07574105737935086	minor	Floriano	0.0	person	58	5	1	1	32	other	M	3	0	0	0	0	1	0	0	0.23809523809523808	0.0	0.7619047619047619	bette044_Valle_Romance	42
#mago	0.0862630210277934	0.0231288528544626	0.7454545454545455	48527707.56879091	0.08073514320176618	27	2700	2	0.23021535852204286	minor	EL MANCO DE GONDAR	0.023128852854462603	person	189	1	3	4	24	other	M	3	0	0	0	0	1	0	0	0.6428571428571429	0.0005506869727253	0.5714285714285714	bette044_Valle_Romance	42
#voz_	0.03205571909947119	0.0	0.6119402985074627	21557900.90151043	0.03424515576536221	15	1500	2	0.15344138549331282	minor	La Voz De Todos	0.0	person	79	0	2	2	47	other	O	3	0	0	0	0	1	0	0	0.35714285714285715	0.0	1.119047619047619	bette044_Valle_Romance	42
#rapa	0.019316634185568726	0.0	0.5466666666666666	5252859.258632983	0.028223593861032455	10	1000	3	0.07574105737935086	minor	EL RAPAZ	0.0	person	50	4	1	1	18	other	M	3	0	0	0	0	1	0	0	0.23809523809523808	0.0	0.42857142857142855	bette044_Valle_Romance	42
#maru	0.07517416645812289	0.011411149825783971	0.5857142857142857	11674187.061304504	0.06840658643037584	15	1500	3	0.11291476378355904	minor	Marinero	0.011411149825783968	person	1331	9	3	23	15	other	M	3	0	0	0	0	1	0	0	0.35714285714285715	0.0002716940434710469	0.35714285714285715	bette044_Valle_Romance	42
#adeg	0.035916013217118306	0.0	0.6119402985074627	21557900.901510425	0.03424515576536235	15	1500	2	0.15344138549331282	minor	ADEGA la inocente	0.0	person	127	0	1	1	30	other	F	3	0	0	0	0	1	0	0	0.35714285714285715	0.0	0.7142857142857143	bette044_Valle_Romance	42
#cieg	0.030087095774539958	0.0	0.6119402985074627	21683786.813958153	0.034089902820442906	15	1500	2	0.15388879773673367	minor	EL CIEGO DE GONDAR	0.0	person	1209	8	1	16	33	other	M	3	0	0	0	0	1	0	0	0.35714285714285715	0.0	0.7857142857142857	bette044_Valle_Romance	42
#oliv	0.026131221719457063	0.0	0.44086021505376344	1061065.8030680036	0.019574734208880576	5	500	3	0.03404116483580373	minor	Oliveros	0.0	person	436	14	1	14	40	other	M	3	0	0	0	0	1	0	0	0.11904761904761904	0.0	0.9523809523809523	bette044_Valle_Romance	42
#unav	0.02700083316527219	0.0005792682926829268	0.5616438356164384	9829145.546382098	0.03368282723987122	12	1200	3	0.1036084360127147	minor	Una Voz	0.0005792682926829269	non-human	281	0	2	7	43	other	O	3	0	0	0	0	1	0	0	0.2857142857142857	1.3792102206736353e-05	1.0238095238095237	bette044_Valle_Romance	42
#mard	0.01941421544603444	0.0	0.5061728395061729	518813.23881816346	0.018079756364725568	4	400	3	0.02380329314689443	minor	Marinero	0.0	person	18	0	1	1	16	other	M	3	0	0	0	0	1	0	0	0.09523809523809523	0.0	0.38095238095238093	bette044_Valle_Romance	42
#arte	0.024931607447600836	0.0	0.5466666666666666	5252859.258632984	0.028223593861032552	10	1000	3	0.07574105737935086	minor	ARTEMISA	0.0	person	691	5	1	11	31	other	F	3	0	0	0	0	1	0	0	0.23809523809523808	0.0	0.7380952380952381	bette044_Valle_Romance	42
#seba	0.0055429864253394535	0.0	0.44086021505376344	1061065.8030680036	0.019574734208880593	5	500	3	0.03404116483580373	minor	SEBASTIÁN DE XOGAS	0.0	person	37	2	1	1	38	other	M	3	0	0	0	0	1	0	0	0.11904761904761904	0.0	0.9047619047619048	bette044_Valle_Romance	42
#andr	0.06528593248084527	0.017910077727150902	0.6949152542372882	36073552.71197573	0.07025767773397278	23	2300	2	0.1984877409737978	minor	ANDREÍÑA	0.017910077727150905	person	2777	25	3	54	10	other	F	3	0	0	0	0	1	0	0	0.5476190476190477	0.00042643042207502147	0.23809523809523808	bette044_Valle_Romance	42
#rami	0.02613122171945706	0.0	0.44086021505376344	1061065.8030680039	0.01957473420888057	5	500	3	0.03404116483580373	minor	RAMIRO DE BEALO	0.0	person	685	6	1	7	39	other	M	3	0	0	0	0	1	0	0	0.11904761904761904	0.0	0.9285714285714286	bette044_Valle_Romance	42
#pedr	0.02499160008682266	0.0	0.5616438356164384	8396778.620929984	0.02240935309128941	9	900	2	0.09576254436264879	secondary	DON PEDRITO	0.0	person	3221	34	3	53	2	antagonist	M	2	0	0	1	0	0	1	0	0.21428571428571427	0.0	0.047619047619047616	bette044_Valle_Romance	42
#paul	0.03394738989218701	0.0	0.6119402985074627	21683786.81395815	0.034089902820442976	15	1500	2	0.15388879773673367	minor	PAULA LA REINA	0.0	person	201	4	1	5	26	other	F	3	0	0	0	0	1	0	0	0.35714285714285715	0.0	0.6190476190476191	bette044_Valle_Romance	42
#otra	0.04156104795256565	0.0005792682926829268	0.5616438356164384	9829145.546382096	0.033682827239871274	12	1200	3	0.1036084360127147	minor	Otra Voz	0.0005792682926829269	non-human	598	0	2	12	44	other	O	3	0	0	0	0	1	0	0	0.2857142857142857	1.3792102206736353e-05	1.0476190476190477	bette044_Valle_Romance	42
#roja	0.0829188969699612	0.015467479674796752	0.640625	23961892.055301256	0.07213198575937577	18	1800	2	0.1617707027066619	minor	LA ROJA	0.01546747967479675	person	3357	19	4	51	8	other	F	3	0	0	0	0	1	0	0	0.42857142857142855	0.00036827332559039884	0.19047619047619047	bette044_Valle_Romance	42
#cape	0.05839076544036415	0.02238162244259806	0.7068965517241379	37700359.324525	0.07512285248430559	24	2400	2	0.2029139655564812	minor	DON MANUELITO	0.02238162244259806	person	3903	31	5	53	13	other	M	3	0	0	0	0	1	0	0	0.5714285714285714	0.0005328957724428109	0.30952380952380953	bette044_Valle_Romance	42
#rose	0.08359677150853508	0.04868924774412579	0.7192982456140351	40940779.16282931	0.09385021031270337	25	2500	2	0.21145450110962136	secondary	DON ROSENDO	0.048689247744125794	person	816	5	5	24	3	antagonist	M	2	0	0	1	0	0	1	0	0.5952380952380952	0.0011592678034315664	0.07142857142857142	bette044_Valle_Romance	42
#patr	0.07146569233795914	0.007317073170731707	0.5694444444444444	8441282.7146924	0.05897751278700381	13	1300	3	0.09601528482106203	minor	ABELARDO	0.007317073170731705	person	667	17	2	14	14	other	M	3	0	0	0	0	1	0	0	0.30952380952380953	0.00017421602787456446	0.3333333333333333	bette044_Valle_Romance	42
#farr	0.04477655133602068	0.0018331769856160102	0.640625	28498446.288635887	0.043317530964266465	18	1800	2	0.17642083174112852	secondary	DON FARRUQUIÑO	0.0018331769856160098	person	3213	33	5	60	6	other	M	2	0	0	0	0	0	0	0	0.42857142857142855	4.364707108609548e-05	0.14285714285714285	bette044_Valle_Romance	42
#male	0.08922385738507682	0.02683820244795854	0.7592592592592593	50411688.58563435	0.08472067826082699	28	2800	2	0.2346415831047263	minor	EL MANCO LEONÉS	0.02683820244795855	person	586	1	4	10	23	other	M	3	0	0	0	0	1	0	0	0.6666666666666666	0.000639004820189489	0.5476190476190477	bette044_Valle_Romance	42
