	Source	Target	Weight	Type
123	#maur	#gonz	5	Undirected
163	#rose	#gonz	5	Undirected
10	#caba	#pobr	5	Undirected
118	#maur	#rose	5	Undirected
15	#caba	#morc	4	Undirected
14	#caba	#domi	4	Undirected
220	#domi	#male	4	Undirected
185	#pobr	#male	4	Undirected
23	#caba	#male	4	Undirected
177	#pobr	#domi	4	Undirected
3	#caba	#cape	4	Undirected
53	#andr	#cape	3	Undirected
238	#morc	#mago	3	Undirected
43	#farr	#rose	3	Undirected
234	#morc	#male	3	Undirected
41	#farr	#maur	3	Undirected
47	#farr	#gonz	3	Undirected
224	#domi	#mago	3	Undirected
119	#maur	#pobr	3	Undirected
29	#caba	#mago	3	Undirected
213	#domi	#morc	3	Undirected
1	#caba	#andr	3	Undirected
159	#rose	#pobr	3	Undirected
189	#pobr	#mago	3	Undirected
178	#pobr	#morc	3	Undirected
179	#pobr	#gonz	3	Undirected
294	#male	#mago	3	Undirected
0	#caba	#farr	3	Undirected
16	#caba	#gonz	3	Undirected
4	#caba	#roja	3	Undirected
11	#caba	#maru	3	Undirected
6	#caba	#maur	3	Undirected
8	#caba	#gala	3	Undirected
9	#caba	#rose	3	Undirected
18	#caba	#patr	2	Undirected
128	#maur	#male	2	Undirected
228	#morc	#gonz	2	Undirected
80	#cape	#maur	2	Undirected
162	#rose	#morc	2	Undirected
161	#rose	#domi	2	Undirected
214	#domi	#gonz	2	Undirected
101	#roja	#gala	2	Undirected
64	#andr	#rebo	2	Undirected
21	#caba	#reco	2	Undirected
276	#otra	#unav	2	Undirected
246	#gonz	#male	2	Undirected
249	#gonz	#mago	2	Undirected
250	#gonz	#voz_	2	Undirected
150	#gala	#reco	2	Undirected
131	#maur	#mago	2	Undirected
132	#maur	#voz_	2	Undirected
105	#roja	#sabe	2	Undirected
51	#farr	#voz_	2	Undirected
88	#cape	#gonz	2	Undirected
25	#caba	#unav	2	Undirected
30	#caba	#voz_	2	Undirected
19	#caba	#rebo	2	Undirected
83	#cape	#rose	2	Undirected
121	#maur	#domi	2	Undirected
5	#caba	#fuso	2	Undirected
38	#farr	#pedr	2	Undirected
39	#farr	#cape	2	Undirected
190	#pobr	#voz_	2	Undirected
20	#caba	#otra	2	Undirected
122	#maur	#morc	2	Undirected
44	#farr	#pobr	2	Undirected
172	#rose	#voz_	2	Undirected
171	#rose	#mago	2	Undirected
107	#roja	#morc	2	Undirected
168	#rose	#male	2	Undirected
195	#maru	#patr	2	Undirected
90	#cape	#rebo	2	Undirected
222	#domi	#paul	1	Undirected
221	#domi	#unav	1	Undirected
309	#mago	#tull	1	Undirected
227	#domi	#tull	1	Undirected
223	#domi	#anso	1	Undirected
308	#mago	#adeg	1	Undirected
225	#domi	#voz_	1	Undirected
226	#domi	#adeg	1	Undirected
218	#domi	#otra	1	Undirected
229	#morc	#cieg	1	Undirected
230	#morc	#patr	1	Undirected
307	#mago	#voz_	1	Undirected
219	#domi	#reco	1	Undirected
302	#zaga	#flor	1	Undirected
217	#domi	#rebo	1	Undirected
216	#domi	#patr	1	Undirected
186	#pobr	#unav	1	Undirected
187	#pobr	#paul	1	Undirected
188	#pobr	#anso	1	Undirected
311	#flor	#rapa	1	Undirected
191	#pobr	#adeg	1	Undirected
192	#pobr	#tull	1	Undirected
193	#maru	#domi	1	Undirected
194	#maru	#morc	1	Undirected
196	#maru	#otra	1	Undirected
197	#maru	#male	1	Undirected
198	#maru	#unav	1	Undirected
310	#voz_	#adeg	1	Undirected
199	#maru	#anso	1	Undirected
200	#maru	#mago	1	Undirected
201	#maru	#tull	1	Undirected
202	#maru	#mart	1	Undirected
203	#maru	#mard	1	Undirected
204	#sabe	#morc	1	Undirected
205	#beni	#domi	1	Undirected
206	#beni	#morc	1	Undirected
231	#morc	#rebo	1	Undirected
208	#beni	#cieg	1	Undirected
209	#beni	#rebo	1	Undirected
210	#beni	#male	1	Undirected
211	#beni	#paul	1	Undirected
212	#beni	#mago	1	Undirected
215	#domi	#cieg	1	Undirected
207	#beni	#gonz	1	Undirected
241	#morc	#tull	1	Undirected
232	#morc	#otra	1	Undirected
288	#arte	#zaga	1	Undirected
273	#rebo	#flor	1	Undirected
274	#rebo	#rapa	1	Undirected
275	#otra	#male	1	Undirected
277	#otra	#anso	1	Undirected
278	#otra	#mago	1	Undirected
279	#otra	#tull	1	Undirected
280	#reco	#arte	1	Undirected
281	#reco	#male	1	Undirected
282	#reco	#zaga	1	Undirected
283	#reco	#mago	1	Undirected
284	#reco	#voz_	1	Undirected
285	#reco	#flor	1	Undirected
286	#reco	#adeg	1	Undirected
287	#reco	#rapa	1	Undirected
289	#arte	#flor	1	Undirected
271	#rebo	#paul	1	Undirected
290	#arte	#rapa	1	Undirected
306	#anso	#tull	1	Undirected
291	#male	#unav	1	Undirected
292	#male	#paul	1	Undirected
305	#anso	#mago	1	Undirected
293	#male	#anso	1	Undirected
304	#paul	#mago	1	Undirected
295	#male	#voz_	1	Undirected
296	#male	#adeg	1	Undirected
297	#male	#tull	1	Undirected
298	#rami	#seba	1	Undirected
299	#unav	#anso	1	Undirected
300	#unav	#mago	1	Undirected
301	#unav	#tull	1	Undirected
272	#rebo	#mago	1	Undirected
270	#rebo	#zaga	1	Undirected
233	#morc	#reco	1	Undirected
184	#pobr	#reco	1	Undirected
