	scene_1	scene_2	scene_3	scene_4	scene_5	scene_6	scene_7	scene_8	scene_9	scene_10	scene_11	scene_12	scene_13	scene_14	scene_15	scene_16	scene_17	scene_18
#caba	2	26	19	0	0	24	0	13	20	28	4	0	0	1	20	26	6	4
#farr	0	0	0	8	0	0	31	0	0	17	0	0	0	0	0	0	1	3
#andr	0	0	0	0	0	0	0	0	31	7	0	0	0	16	0	0	0	0
#pedr	0	0	0	6	0	0	32	15	0	0	0	0	0	0	0	0	0	0
#cape	0	0	0	8	0	0	0	0	8	27	2	0	0	8	0	0	0	0
#roja	0	19	0	0	0	0	0	0	0	0	0	0	23	0	2	0	7	0
#fuso	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	26	0	0
#maur	0	0	0	3	0	0	0	0	5	0	0	16	0	0	0	0	2	3
#monc	0	0	0	0	16	0	0	0	0	0	0	0	0	11	0	0	0	0
#gala	0	4	0	0	0	0	0	0	0	0	0	0	0	13	0	0	7	0
#rose	0	0	0	6	0	0	0	0	4	0	0	10	0	0	0	0	1	3
#pobr	0	0	0	0	0	5	0	6	6	0	0	0	0	0	0	0	6	1
#maru	0	5	15	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
#sabe	0	0	0	0	0	0	0	0	0	0	0	0	21	0	2	0	0	0
#beni	0	0	0	0	19	0	0	0	4	0	0	0	0	0	0	0	0	0
#domi	0	0	0	0	0	2	0	2	10	0	0	0	0	0	0	0	7	0
#morc	0	0	0	0	0	5	0	0	6	0	0	0	0	0	6	0	2	0
#gonz	0	0	0	2	0	0	0	0	4	0	0	9	0	0	0	0	1	1
#cieg	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0
#oliv	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0
#patr	0	0	7	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0
#rebo	0	0	0	0	0	0	0	0	7	0	0	0	0	6	0	0	0	0
#otra	9	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
#reco	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	4	0
#arte	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0
#male	0	0	0	0	0	1	0	1	4	0	0	0	0	0	0	0	4	0
#viud	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0
#rami	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0
#unav	3	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
#zaga	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0
#paul	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0
#anso	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0
#mago	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	1	0
#voz_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
#flor	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
#seba	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
#adeg	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
#tull	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
#rapa	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
#mart	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#mard	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#mato	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#mafo	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#peab	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#coi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#mari	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
