	Source	Target	Weight	Type
4	#cara	#pich	5	Undirected
0	#cara	#abad	4	Undirected
6	#cara	#fuso	4	Undirected
55	#sabe	#caba	4	Undirected
3	#cara	#caba	3	Undirected
67	#pich	#fuso	3	Undirected
27	#abad	#jero	3	Undirected
32	#abad	#viej	3	Undirected
47	#jero	#sac1	3	Undirected
30	#abad	#sac1	3	Undirected
2	#cara	#sabe	3	Undirected
8	#cara	#viej	3	Undirected
104	#viej	#peab	2	Undirected
58	#sabe	#fuso	2	Undirected
115	#peab	#seba	2	Undirected
33	#abad	#peab	2	Undirected
34	#abad	#seba	2	Undirected
45	#jero	#sabe	2	Undirected
50	#jero	#seba	2	Undirected
155	#rami	#mato	2	Undirected
118	#peab	#rami	2	Undirected
64	#caba	#fuso	2	Undirected
105	#viej	#seba	2	Undirected
29	#abad	#caba	2	Undirected
130	#maur	#farr	2	Undirected
127	#seba	#mato	2	Undirected
124	#seba	#rami	2	Undirected
121	#peab	#mato	2	Undirected
80	#sac1	#fuso	2	Undirected
57	#sabe	#sac1	2	Undirected
28	#abad	#sabe	2	Undirected
13	#cara	#farr	2	Undirected
11	#cara	#maur	2	Undirected
139	#maur	#rose	1	Undirected
132	#maur	#peni	1	Undirected
133	#maur	#pedr	1	Undirected
134	#maur	#coim	1	Undirected
135	#maur	#indi	1	Undirected
136	#maur	#cieg	1	Undirected
137	#maur	#pre1	1	Undirected
138	#maur	#pre2	1	Undirected
188	#cieg	#pre2	1	Undirected
189	#cieg	#rose	1	Undirected
140	#maur	#pre3	1	Undirected
141	#maur	#chal	1	Undirected
142	#gala	#conf	1	Undirected
143	#farr	#mara	1	Undirected
144	#farr	#peni	1	Undirected
145	#farr	#pedr	1	Undirected
146	#farr	#coim	1	Undirected
131	#maur	#mara	1	Undirected
129	#biga	#vozl	1	Undirected
148	#farr	#cieg	1	Undirected
128	#seba	#mafo	1	Undirected
113	#viej	#mafo	1	Undirected
114	#viej	#chal	1	Undirected
194	#pre2	#rose	1	Undirected
116	#peab	#maur	1	Undirected
193	#pre1	#pre3	1	Undirected
192	#pre1	#rose	1	Undirected
117	#peab	#farr	1	Undirected
119	#peab	#past	1	Undirected
