	Source	Target	Weight	Type
1	#casa	#juan	19	Undirected
15	#amar	#celc	14	Undirected
2	#casa	#vale	14	Undirected
26	#juan	#ever	13	Undirected
0	#casa	#amar	13	Undirected
5	#casa	#ever	12	Undirected
8	#casa	#cefe	12	Undirected
23	#juan	#vale	11	Undirected
58	#ever	#eulo	10	Undirected
33	#vale	#prod	10	Undirected
29	#juan	#cefe	9	Undirected
3	#casa	#prod	9	Undirected
6	#casa	#aten	9	Undirected
45	#prod	#puli	9	Undirected
30	#juan	#eulo	9	Undirected
13	#amar	#vale	9	Undirected
9	#casa	#eulo	9	Undirected
11	#casa	#flor	8	Undirected
38	#vale	#cefe	8	Undirected
7	#casa	#puli	7	Undirected
32	#juan	#flor	7	Undirected
24	#juan	#prod	7	Undirected
14	#amar	#prod	7	Undirected
31	#juan	#amil	7	Undirected
37	#vale	#puli	7	Undirected
40	#vale	#amil	7	Undirected
4	#casa	#celc	7	Undirected
34	#vale	#celc	6	Undirected
70	#eulo	#flor	6	Undirected
61	#aten	#cefe	6	Undirected
59	#ever	#flor	6	Undirected
36	#vale	#aten	6	Undirected
18	#amar	#puli	6	Undirected
25	#juan	#celc	6	Undirected
19	#amar	#cefe	6	Undirected
28	#juan	#puli	5	Undirected
21	#amar	#amil	5	Undirected
12	#amar	#juan	5	Undirected
17	#amar	#aten	5	Undirected
54	#celc	#amil	5	Undirected
10	#casa	#amil	4	Undirected
64	#puli	#cefe	4	Undirected
55	#ever	#aten	4	Undirected
27	#juan	#aten	4	Undirected
46	#prod	#cefe	4	Undirected
52	#celc	#cefe	4	Undirected
42	#prod	#celc	4	Undirected
35	#vale	#ever	4	Undirected
44	#prod	#aten	3	Undirected
68	#cefe	#amil	3	Undirected
60	#aten	#puli	3	Undirected
57	#ever	#cefe	3	Undirected
41	#vale	#flor	3	Undirected
16	#amar	#ever	3	Undirected
51	#celc	#puli	3	Undirected
43	#prod	#ever	3	Undirected
63	#aten	#flor	2	Undirected
20	#amar	#eulo	2	Undirected
69	#cefe	#flor	2	Undirected
49	#celc	#ever	2	Undirected
65	#puli	#amil	2	Undirected
71	#amil	#flor	2	Undirected
47	#prod	#amil	2	Undirected
39	#vale	#eulo	2	Undirected
62	#aten	#eulo	1	Undirected
50	#celc	#aten	1	Undirected
22	#amar	#flor	1	Undirected
66	#puli	#flor	1	Undirected
67	#cefe	#eulo	1	Undirected
56	#ever	#puli	1	Undirected
48	#prod	#flor	1	Undirected
53	#celc	#eulo	1	Undirected
