	scene_1	scene_2	scene_3	scene_4	scene_5	scene_6	scene_7	scene_8	scene_9	scene_10	scene_11	scene_12	scene_13	scene_14	scene_15	scene_16	scene_17	scene_18	scene_19	scene_20	scene_21	scene_22	scene_23	scene_24	scene_25	scene_26	scene_27	scene_28	scene_29	scene_30	scene_31	scene_32	scene_33	scene_34	scene_35	scene_36	scene_37	scene_38	scene_39	scene_40	scene_41	scene_42	scene_43	scene_44	scene_45	scene_46	scene_47	scene_48	scene_49	scene_50	scene_51	scene_52	scene_53	scene_54	scene_55	scene_56	scene_57	scene_58	scene_59	scene_60	scene_61	scene_62	scene_63	scene_64	scene_65	scene_66	scene_67	scene_68	scene_69	scene_70	scene_71	scene_72	scene_73
#casa	0	0	0	12	0	0	0	0	0	0	3	13	0	14	9	6	8	1	0	7	1	0	0	0	0	13	1	0	0	0	0	0	4	0	0	0	19	6	1	1	0	1	23	4	0	2	0	2	2	1	5	2	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	1	2	21	0	1
#amar	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	8	1	0	0	0	0	0	0	0	0	0	0	0	0	6	11	26	0	0	0	18	5	1	1	0	0	0	3	0	2	1	0	0	0	0	0	0	1	9	1	3	1	0	0	1	17	1	1	0	0	0	0	0	0	23	0	2
#juan	1	0	0	27	3	0	1	4	13	1	5	1	0	6	4	0	1	1	0	6	1	5	1	0	1	12	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	9	0	0	0	0	0	0	2	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	1	6	1	2
#vale	0	0	0	0	0	0	0	6	14	0	16	2	1	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	11	11	0	1	0	0	0	0	0	1	0	6	3	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	1	10	0	1
#prod	0	0	0	0	0	0	0	0	0	0	0	0	1	12	0	1	0	0	0	0	0	5	1	0	0	0	0	0	0	0	0	0	14	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	1	2	0	0	0	3	6	13	0	1
#celc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	8	2	2	0	0	0	0	0	0	0	0	0	0	0	6	12	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	9	0	0	3	0	0	2	8	1	0	0	0	0	0	0	0	4	0	1
#ever	0	1	0	19	3	1	0	0	0	0	0	0	0	0	3	0	1	0	0	11	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	2	2	4	2	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	1	0
#aten	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	1	0	0	0	0	0	0	0	0	0	4	2	0	0	0	8	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	12	0	0
#puli	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	4	0	1	1	0	0	0	1	2	7	0	0
#cefe	0	0	0	0	0	0	0	0	0	0	12	1	0	3	0	3	6	1	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	6	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	5	0	0
#eulo	0	0	1	15	2	0	1	0	0	0	0	0	0	0	2	0	0	0	0	4	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	1	2	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#amil	0	0	0	0	0	0	0	3	1	0	8	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	2	0	1	0	0	0	0	0	0	0	0	0	0	0	2
#flor	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	5	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0
#frai	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#cast	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#caye	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
