	Source	Target	Weight	Type
0	#ange	#eufe	13	Undirected
2	#ange	#feli	7	Undirected
7	#ange	#mart	6	Undirected
1	#ange	#joaq	6	Undirected
13	#eufe	#euse	6	Undirected
6	#ange	#ramo	5	Undirected
16	#eufe	#ramo	4	Undirected
21	#joaq	#nico	4	Undirected
4	#ange	#nico	4	Undirected
3	#ange	#euse	4	Undirected
12	#eufe	#feli	3	Undirected
31	#feli	#hime	3	Undirected
19	#joaq	#feli	3	Undirected
8	#ange	#pepe	2	Undirected
20	#joaq	#euse	2	Undirected
36	#nico	#teod	2	Undirected
32	#euse	#nico	2	Undirected
30	#feli	#hima	2	Undirected
27	#feli	#nico	2	Undirected
22	#joaq	#teod	2	Undirected
42	#hima	#hime	2	Undirected
11	#eufe	#joaq	2	Undirected
10	#ange	#hime	2	Undirected
14	#eufe	#nico	2	Undirected
5	#ange	#teod	2	Undirected
17	#eufe	#mart	2	Undirected
34	#euse	#ramo	1	Undirected
41	#mart	#pepe	1	Undirected
40	#teod	#pepe	1	Undirected
39	#nico	#hime	1	Undirected
38	#nico	#pepe	1	Undirected
37	#nico	#ramo	1	Undirected
35	#euse	#pepe	1	Undirected
18	#eufe	#pepe	1	Undirected
33	#euse	#teod	1	Undirected
29	#feli	#mart	1	Undirected
28	#feli	#ramo	1	Undirected
15	#eufe	#teod	1	Undirected
26	#feli	#euse	1	Undirected
9	#ange	#hima	1	Undirected
24	#joaq	#pepe	1	Undirected
23	#joaq	#ramo	1	Undirected
25	#joaq	#hime	1	Undirected
