	approximate_current_flow_betweenness_centrality	betweenness	closeness_centrality	communicability_centrality_exp	current_flow_betweenness_centrality	degree	degree-vs	eccentricity	eigenvector_centrality	importance	label	load_centrality	nature	pers_mes_characters	pers_mes_rss	pers_mes_scenes	pers_mes_sps	position	role	sex	importance-nr	is_protagonist	is_lover	is_antagonist	is_primary	is_minor	antagonist	lover	degree-rel	betweenness-rel	position-rel	work	total_characters
#pepe	0.14464282396003705	0.05560090702947846	0.8333333333333334	1413.644287364849	0.1591149061443711	12	1200	2	0.3278477430069346	primary	Pepe Rey	0.05535147392290249	person	25795	54	21	291	5	antagonist	M	1	0	0	1	1	0	1	0	0.75	0.0034750566893424037	0.3125	bette004_Galdos_Perfecta	16
#jaci	0.1196650198503943	0.01026077097505669	0.7142857142857143	987.5950398663258	0.09484238203462002	9	900	2	0.27389241569580985	secondary	Jacintito	0.010566893424036283	person	2664	21	8	38	8	other	M	2	0	0	0	0	0	0	0	0.5625	0.0006412981859410432	0.5	bette004_Galdos_Perfecta	16
#este	0.05604751631354259	0.0	0.6	271.57043264268805	0.059066358928223345	5	500	2	0.1426186592880929	minor	Esteban Romero	0.0	person	935	7	1	10	15	other	M	3	0	0	0	0	1	0	0	0.3125	0.0	0.9375	bette004_Galdos_Perfecta	16
#libr	0.07593369229974299	0.0	0.6	475.7711038140606	0.05918316404679333	6	600	3	0.18968795769045133	secondary	Librada	0.0	person	513	24	5	11	4	other	F	2	0	0	0	0	0	0	0	0.375	0.0	0.25	bette004_Galdos_Perfecta	16
#paso	0.0687459290119554	0.0	0.6	271.570432642688	0.05906635892822322	5	500	2	0.1426186592880929	minor	Pasolargo	0.0	person	976	8	1	13	14	other	M	3	0	0	0	0	1	0	0	0.3125	0.0	0.875	bette004_Galdos_Perfecta	16
#cris	0.11613315542279551	0.029705215419501132	0.75	1062.676960851809	0.13028101169928827	10	1000	2	0.2841054904456214	secondary	Cristóbal Ramos (Caballuco)	0.029705215419501132	person	5290	43	2	30	7	other	M	2	0	0	0	0	0	0	0	0.625	0.0018565759637188207	0.4375	bette004_Galdos_Perfecta	16
#varg	0.15794634850383668	0.025476190476190482	0.625	337.08049348568846	0.1169621375595477	6	600	2	0.15926600016522352	minor	Vargas	0.026258503401360548	person	2527	9	5	32	11	other	M	3	0	0	0	0	1	0	0	0.375	0.0015922619047619051	0.6875	bette004_Galdos_Perfecta	16
#reme	0.28175198331900564	0.1724829931972789	0.8823529411764706	1338.2810440842186	0.2452588744327608	13	1300	2	0.31883876140717543	secondary	María Remedios	0.17170068027210886	person	10625	19	16	114	3	other	F	2	0	0	0	0	0	0	0	0.8125	0.01078018707482993	0.1875	bette004_Galdos_Perfecta	16
#cabo	0.008724283802208962	0.0	0.5	35.67422728420234	0.021546098353719408	2	200	3	0.050413374876040466	minor	Cabo Cartero.	0.0	person	84	1	1	1	16	other	M	3	0	0	0	0	1	0	0	0.125	0.0	1.0	bette004_Galdos_Perfecta	16
#perf	0.21403526887091223	0.1302040816326531	0.9375	1657.4755593652164	0.2083867150594322	14	1400	2	0.3550552958384247	primary	Doña Perfecta	0.12995464852607713	person	27491	53	22	279	1	protagonist	F	1	1	0	0	1	0	0	0	0.875	0.008137755102040818	0.0625	bette004_Galdos_Perfecta	16
#juan	0.1568160118144157	0.04414965986394557	0.7894736842105263	1214.846899697282	0.147217828868384	11	1100	2	0.3038169534388922	secondary	Don Juan Tafetán	0.043900226757369605	person	6054	25	7	56	10	other	M	2	0	0	0	0	0	0	0	0.6875	0.002759353741496598	0.625	bette004_Galdos_Perfecta	16
#caye	0.08521291056459811	0.006689342403628118	0.6521739130434783	762.1105261484454	0.0855683351080339	8	800	3	0.24041045224215185	minor	Don Cayetano	0.006689342403628118	person	2729	12	7	42	9	other	M	3	0	0	0	0	1	0	0	0.5	0.00041808390022675737	0.5625	bette004_Galdos_Perfecta	16
#pinz	0.05607426760533043	0.0	0.6	316.432571619057	0.060720311869277274	5	500	2	0.15445726694675183	minor	Pinzón	0.0	person	1953	7	4	21	12	other	M	3	0	0	0	0	1	0	0	0.3125	0.0	0.75	bette004_Galdos_Perfecta	16
#inoc	0.09774044432121873	0.006394557823129253	0.7142857142857143	1030.2228648215646	0.09149967588601214	9	900	2	0.2798297354631441	secondary	Don Inocencio	0.006462585034013603	person	7036	35	8	72	6	other	M	2	0	0	0	0	0	0	0	0.5625	0.0003996598639455783	0.375	bette004_Galdos_Perfecta	16
#rosa	0.1029481717767905	0.01536281179138322	0.75	1167.8320554523627	0.10729460297232005	10	1000	2	0.29792320526385224	primary	Rosarito	0.015668934240362812	person	11002	21	12	122	2	antagonist	F	1	0	0	1	1	0	1	0	0.625	0.0009601757369614512	0.125	bette004_Galdos_Perfecta	16
#licu	0.14657933163616207	0.027482993197278913	0.7142857142857143	836.794101679986	0.12150583505822278	9	900	2	0.2519319548741363	secondary	El tío Licurgo	0.027551020408163266	person	2270	20	3	29	13	other	M	2	0	0	0	0	0	0	0	0.5625	0.001717687074829932	0.8125	bette004_Galdos_Perfecta	16
