	approximate_current_flow_betweenness_centrality	betweenness	closeness_centrality	communicability_centrality_exp	current_flow_betweenness_centrality	degree	degree-vs	eccentricity	eigenvector_centrality	importance	label	load_centrality	nature	pers_mes_characters	pers_mes_rss	pers_mes_scenes	pers_mes_sps	position	role	sex	importance-nr	is_protagonist	is_lover	is_antagonist	is_primary	is_minor	antagonist	lover	degree-rel	betweenness-rel	position-rel	work	total_characters
#evar	0.11340053842655654	0.017320774463631606	0.7777777777777778	836.443162996504	0.11511168639296131	10	1000	2	0.3237398003760157	secondary	Evarista	0.017320774463631606	person	14688	63	26	185	2	other	F	2	0	0	0	0	0	0	0	0.6666666666666666	0.0011547182975754403	0.13333333333333333	bette006_Galdos_Electra	15
#marq	0.11122552702899323	0.05028780743066458	0.8235294117647058	899.8725573772815	0.15848673642708788	11	1100	2	0.33582525894149984	secondary	El Marqués de Ronda	0.050287807430664584	person	17618	105	29	198	5	other	M	2	0	0	0	0	0	0	0	0.7333333333333333	0.0033525204953776385	0.3333333333333333	bette006_Galdos_Electra	15
#gil_	0.024781156936280222	0.0	0.56	63.192621733686394	0.045339161972763796	3	300	2	0.08702497270102812	minor	Gil	0.0	person	533	9	2	9	9	other	M	3	0	0	0	0	1	0	0	0.2	0.0	0.6	bette006_Galdos_Electra	15
#balb	0.10181499412733344	0.0	0.6666666666666666	489.64099870805234	0.07528567649374684	7	700	2	0.24744900104065534	minor	Balbina	0.0	person	1605	7	3	17	10	other	F	3	0	0	0	0	1	0	0	0.4666666666666667	0.0	0.6666666666666666	bette006_Galdos_Electra	15
#oper	0.01552443988016322	0.0	0.5384615384615384	44.942626542619436	0.01723565423767175	2	200	2	0.0735943711660132	minor	Un operario	0.0	person	348	3	2	5	14	other	M	3	0	0	0	0	1	0	0	0.13333333333333333	0.0	0.9333333333333333	bette006_Galdos_Electra	15
#jose	0.08114441630422344	0.0	0.6086956521739131	371.74013514901685	0.06341483713301277	6	600	3	0.21548813643166548	minor	José	0.0	person	1538	20	5	24	12	other	M	3	0	0	0	0	1	0	0	0.4	0.0	0.8	bette006_Galdos_Electra	15
#pant	0.09831530235843902	0.017320774463631606	0.7777777777777778	836.4431629965039	0.11511168639296174	10	1000	2	0.3237398003760157	primary	Don Salvador Pantoja	0.017320774463631606	person	25123	86	24	208	4	antagonist	M	1	0	0	1	1	0	1	0	0.6666666666666666	0.0011547182975754403	0.26666666666666666	bette006_Galdos_Electra	15
#eleu	1.1102230246251563e-16	0.0	0.5	12.425150303222532	2.342448579428902e-16	1	100	3	0.03718260124537734	secondary	La sombra de Eleuteria	0.0	non-human	0	1	0	0	15	other	F	2	0	0	0	0	0	0	0	0.06666666666666667	0.0	1.0	bette006_Galdos_Electra	15
#maxi	0.18871053327313775	0.1468864468864469	0.875	854.7501488357434	0.25393885775027053	12	1200	2	0.32712874529926445	primary	Máximo	0.1468864468864469	person	25321	123	24	270	3	lover	M	1	0	1	0	1	0	0	1	0.8	0.009792429792429792	0.2	bette006_Galdos_Electra	15
#doro	0.08632756142606098	0.0	0.6363636363636364	383.9208984002834	0.06819110819473681	6	600	2	0.2190783602878636	secondary	Sor Dorotea	0.0	person	2750	10	5	29	13	other	F	2	0	0	0	0	0	0	0	0.4	0.0	0.8666666666666667	bette006_Galdos_Electra	15
#urba	0.0903529963052166	0.017320774463631606	0.7777777777777778	836.4431629965038	0.11511168639296189	10	1000	2	0.32373980037601574	secondary	Don Urbano García Yuste	0.017320774463631606	person	6851	55	24	107	7	other	M	2	0	0	0	0	0	0	0	0.6666666666666666	0.0011547182975754403	0.4666666666666667	bette006_Galdos_Electra	15
#elec	0.38619714203620237	0.2858189429618001	0.9333333333333333	891.4745979881898	0.3646020127664135	13	1300	2	0.3340541457991089	primary	Electra	0.2858189429618001	person	38069	176	36	383	1	protagonist	F	1	1	0	0	1	0	0	0	0.8666666666666667	0.019054596197453342	0.06666666666666667	bette006_Galdos_Electra	15
#mari	0.08886052292231611	0.003663003663003663	0.5833333333333334	118.94020578623069	0.07242201993082219	4	400	2	0.12066086166038527	minor	Mariano	0.0036630036630036626	person	360	12	4	11	8	other	M	3	0	0	0	0	1	0	0	0.26666666666666666	0.0002442002442002442	0.5333333333333333	bette006_Galdos_Electra	15
#cues	0.08384282974808253	0.009262166405023548	0.7368421052631579	727.1740818144928	0.10136483052509701	9	900	2	0.3017968945671629	secondary	Don Leonardo Cuesta	0.009262166405023548	person	0	60	0	0	6	other	M	2	0	0	0	0	0	0	0	0.6	0.0006174777603349032	0.4	bette006_Galdos_Electra	15
#patr	0.08478532663998861	0.0015698587127158557	0.7	627.0270595493276	0.08654221451009007	8	800	2	0.2802137162937894	minor	Patros	0.001569858712715855	person	2100	29	7	35	11	other	F	3	0	0	0	0	1	0	0	0.5333333333333333	0.00010465724751439038	0.7333333333333333	bette006_Galdos_Electra	15
