	approximate_current_flow_betweenness_centrality	betweenness	closeness_centrality	communicability_centrality_exp	current_flow_betweenness_centrality	degree	degree-vs	eccentricity	eigenvector_centrality	importance	label	load_centrality	nature	pers_mes_characters	pers_mes_rss	pers_mes_scenes	pers_mes_sps	position	role	sex	importance-nr	is_protagonist	is_lover	is_antagonist	is_primary	is_minor	antagonist	lover	degree-rel	betweenness-rel	position-rel	work	total_characters
#sol3	0.05863591756624148	0.0	0.6538461538461539	539.1188254663452	0.07415077578299879	8	800	2	0.2885773930520858	minor	Soltera 3ª	0.0	person	1761	3	3	25	9	other	F	3	0	0	0	0	1	0	0	0.4444444444444444	0.0	0.5	bette007_Lorca_Rosita	18
#much	0.050008177952240745	0.0	0.5483870967741935	101.07760130972447	0.028370278435221018	3	300	2	0.12410478460923478	minor	Muchacho	0.0	person	786	2	1	14	16	other	M	3	0	0	0	0	1	0	0	0.16666666666666666	0.0	0.8888888888888888	bette007_Lorca_Rosita	18
#man3	0.058508341511285596	0.0	0.5666666666666667	80.84387120951466	0.05724582603731719	4	400	2	0.10856194910888323	minor	Manola 3ª	0.0	person	258	0	1	8	6	other	F	3	0	0	0	0	1	0	0	0.2222222222222222	0.0	0.3333333333333333	bette007_Lorca_Rosita	18
#man2	0.0585083415112856	0.0	0.5666666666666667	80.84387120951469	0.05724582603731707	4	400	2	0.10856194910888323	minor	Manola 2ª	0.0	person	162	0	1	10	5	other	F	3	0	0	0	0	1	0	0	0.2222222222222222	0.0	0.2777777777777778	bette007_Lorca_Rosita	18
#tio	0.08768400392541705	0.0024509803921568627	0.5666666666666667	121.01510240930378	0.06048477618067181	4	400	2	0.13548402534249254	minor	Tío	0.0024509803921568623	person	4735	8	9	51	13	other	M	3	0	0	0	0	1	0	0	0.2222222222222222	0.00013616557734204792	0.7222222222222222	bette007_Lorca_Rosita	18
#man1	0.028508341511285583	0.0	0.5666666666666667	80.8438712095147	0.05724582603731718	4	400	2	0.10856194910888323	minor	Manola 1ª	0.0	person	344	1	1	13	4	other	F	3	0	0	0	0	1	0	0	0.2222222222222222	0.0	0.2222222222222222	bette007_Lorca_Rosita	18
#madr	0.07530258423290812	0.0	0.6538461538461539	539.1188254663452	0.07415077578299885	8	800	2	0.2885773930520858	minor	Madre de las Solteras	0.0	person	3165	2	2	30	10	other	F	3	0	0	0	0	1	0	0	0.4444444444444444	0.0	0.5555555555555556	bette007_Lorca_Rosita	18
#ayo1	0.06696925089957481	0.0	0.6538461538461539	539.1188254663452	0.07415077578299885	8	800	2	0.2885773930520858	minor	Ayola 1ª	0.0	person	1281	0	1	22	11	other	F	3	0	0	0	0	1	0	0	0.4444444444444444	0.0	0.6111111111111112	bette007_Lorca_Rosita	18
#rosi	0.1811171082760877	0.13112745098039216	0.8095238095238095	785.5099103039959	0.27412944896637076	13	1300	2	0.34846580904610985	primary	Rosita	0.13112745098039214	person	12560	53	13	120	1	protagonist	F	1	1	0	0	1	0	0	0	0.7222222222222222	0.007284858387799565	0.05555555555555555	bette007_Lorca_Rosita	18
#ayo2	0.07530258423290814	0.0	0.6538461538461539	539.1188254663452	0.07415077578299888	8	800	2	0.2885773930520858	minor	Ayola 2ª	0.0	person	818	2	1	16	12	other	F	3	0	0	0	0	1	0	0	0.4444444444444444	0.0	0.6666666666666666	bette007_Lorca_Rosita	18
#obre	0.07436416421328099	0.0	0.5483870967741935	61.26240882589178	0.041056928168715943	3	300	2	0.09524014038890508	minor	Dos obreros	0.0	person	29	0	2	2	17	other	M	3	0	0	0	0	1	0	0	0.16666666666666666	0.0	0.9444444444444444	bette007_Lorca_Rosita	18
#sol2	0.07530258423290812	0.0	0.6538461538461539	539.1188254663454	0.07415077578299885	8	800	2	0.2885773930520858	minor	Soltera 2ª	0.0	person	395	3	2	10	8	other	F	3	0	0	0	0	1	0	0	0.4444444444444444	0.0	0.4444444444444444	bette007_Lorca_Rosita	18
#voz	0.04749754661432774	0.0	0.5483870967741935	66.86964242584699	0.03627162346783658	3	300	2	0.09982750064635552	minor	Una voz	0.0	person	103	0	2	3	18	other	M	3	0	0	0	0	1	0	0	0.16666666666666666	0.0	1.0	bette007_Lorca_Rosita	18
#mart	0.018114164213281	0.0	0.5483870967741935	61.2624088258918	0.041056928168715943	3	300	2	0.09524014038890508	minor	Don Martín	0.0	person	3350	7	3	26	15	other	M	3	0	0	0	0	1	0	0	0.16666666666666666	0.0	0.8333333333333334	bette007_Lorca_Rosita	18
#sobr	0.015615799803729144	0.0	0.53125	47.62513896091849	0.012675024213152716	2	200	2	0.08438379942892403	primary	Sobrino	0.0	person	601	2	1	11	0	other	M	1	0	0	0	1	0	0	0	0.1111111111111111	0.0	0.0	bette007_Lorca_Rosita	18
#tia	0.32901128557409215	0.17769607843137256	0.85	808.4312010079321	0.3138375361593771	14	1400	2	0.3534804724700018	minor	Tía	0.17769607843137253	person	12257	12	23	204	3	other	F	3	0	0	0	0	1	0	0	0.7777777777777778	0.009872004357298476	0.16666666666666666	bette007_Lorca_Rosita	18
#sol1	0.05863591756624149	0.0	0.6538461538461539	539.1188254663454	0.07415077578299889	8	800	2	0.2885773930520858	minor	Soltera 1ª	0.0	person	408	1	2	14	7	other	F	3	0	0	0	0	1	0	0	0.4444444444444444	0.0	0.3888888888888889	bette007_Lorca_Rosita	18
#ama	0.40121851488387295	0.36519607843137253	1.0	968.0531628170795	0.409443089470005	17	1700	1	0.3868063230881472	minor	Ama	0.36519607843137253	person	16465	24	23	142	2	other	F	3	0	0	0	0	1	0	0	0.9444444444444444	0.02028867102396514	0.1111111111111111	bette007_Lorca_Rosita	18
