	approximate_current_flow_betweenness_centrality	betweenness	closeness_centrality	communicability_centrality_exp	current_flow_betweenness_centrality	degree	degree-vs	eccentricity	eigenvector_centrality	importance	label	load_centrality	nature	pers_mes_characters	pers_mes_rss	pers_mes_scenes	pers_mes_sps	position	role	sex	importance-nr	is_protagonist	is_lover	is_antagonist	is_primary	is_minor	antagonist	lover	degree-rel	betweenness-rel	position-rel	work	total_characters
#mari	0.15056640350301342	0.0565934065934066	0.9333333333333333	4355.590485335355	0.14720412506359315	13	1300	2	0.3084264523799429	minor	María	0.056593406593406594	person	2846	0	3	52	4	other	F	3	0	0	0	0	1	0	0	0.8666666666666667	0.0037728937728937735	0.26666666666666666	bette008_Lorca_Yerma	15
#coro	0.07465692307722736	0.0	0.7777777777777778	3353.477472634132	0.07666421086823079	10	1000	2	0.27059934618577924	minor	Coro de mujeres	0.0	person	72	0	1	2	12	other	F	3	0	0	0	0	1	0	0	0.6666666666666666	0.0	0.8	bette008_Lorca_Yerma	15
#hemb	0.06067090909121325	0.0	0.7777777777777778	3353.477472634132	0.07666421086823093	10	1000	2	0.27059934618577924	minor	Hembra	0.0	person	21	0	1	4	13	other	F	3	0	0	0	0	1	0	0	0.6666666666666666	0.0	0.8666666666666667	bette008_Lorca_Yerma	15
#mach	0.07465692307722728	0.0	0.7777777777777778	3353.477472634132	0.07666421086823079	10	1000	2	0.27059934618577924	minor	Macho	0.0	person	107	0	1	5	16	other	M	3	0	0	0	0	1	0	0	0.6666666666666666	0.0	1.0666666666666667	bette008_Lorca_Yerma	15
#homb	0.07465692307722727	0.0	0.7777777777777778	3353.477472634132	0.0766642108682308	10	1000	2	0.27059934618577924	minor	Hombre	0.0	person	249	0	1	10	14	other	M	3	0	0	0	0	1	0	0	0.6666666666666666	0.0	0.9333333333333333	bette008_Lorca_Yerma	15
#víct	0.029693819500654948	0.008241758241758242	0.6666666666666666	1327.4556121343323	0.08471512917363556	7	700	2	0.17003199294820565	secondary	Víctor	0.008241758241758242	person	1514	0	3	45	5	other	M	2	0	0	0	0	0	0	0	0.4666666666666667	0.0005494505494505495	0.3333333333333333	bette008_Lorca_Yerma	15
#much	0.12370472393044137	0.026373626373626374	0.875	4109.378002183062	0.11731847274515053	12	1200	2	0.299586163544313	minor	Muchacha	0.02637362637362637	person	2125	0	3	29	7	other	F	3	0	0	0	0	1	0	0	0.8	0.0017582417582417582	0.4666666666666667	bette008_Lorca_Yerma	15
#nin	0.06766391608422032	0.0	0.7777777777777778	3353.477472634132	0.0766642108682307	10	1000	2	0.27059934618577924	minor	Niño	0.0	person	91	0	1	4	15	other	M	3	0	0	0	0	1	0	0	0.6666666666666666	0.0	1.0	bette008_Lorca_Yerma	15
#yerm	0.1491852516616199	0.09230769230769231	1.0	4609.00533929994	0.1738165376299882	14	1400	1	0.31726674121557275	primary	Yerma	0.0923076923076923	person	20266	0	5	244	3	protagonist	F	1	1	0	0	1	0	0	0	0.9333333333333333	0.006153846153846154	0.2	bette008_Lorca_Yerma	15
#viej	0.14305028387578347	0.0565934065934066	0.9333333333333333	4355.590485335356	0.14720412506359307	13	1300	2	0.3084264523799428	secondary	Vieja	0.0565934065934066	person	5714	0	3	47	6	other	F	2	0	0	0	0	0	0	0	0.8666666666666667	0.0037728937728937735	0.4	bette008_Lorca_Yerma	15
#dolo	0.03616861798336008	0.0	0.5833333333333334	495.22255575019165	0.038415724928782036	4	400	2	0.1037116512390071	secondary	Dolores	0.0	person	1329	0	1	22	10	other	F	2	0	0	0	0	0	0	0	0.26666666666666666	0.0	0.6666666666666666	bette008_Lorca_Yerma	15
#cant	0.05467612625790965	0.0	0.5833333333333334	495.2225557501914	0.038415724928781966	4	400	2	0.1037116512390071	minor	Canto de voces	0.0	non-human	0	0	1	1	1	other	F	3	0	0	0	0	1	0	0	0.26666666666666666	0.0	0.06666666666666667	bette008_Lorca_Yerma	15
#cuna	0.07349328928046249	0.008241758241758242	0.6666666666666666	1327.4556121343321	0.08471512917363569	7	700	2	0.17003199294820565	minor	Cuñada	0.008241758241758242	person	119	0	2	4	9	other	F	3	0	0	0	0	1	0	0	0.4666666666666667	0.0005494505494505495	0.6	bette008_Lorca_Yerma	15
#muje	0.07465692307722734	0.0	0.7777777777777778	3353.477472634132	0.07666421086823103	10	1000	2	0.27059934618577924	minor	Mujer	0.0	person	133	0	1	6	11	other	F	3	0	0	0	0	1	0	0	0.6666666666666666	0.0	0.7333333333333333	bette008_Lorca_Yerma	15
#juan	0.16054753349862594	0.09230769230769231	1.0	4609.005339299941	0.17381653762998828	14	1400	1	0.31726674121557275	primary	Juan	0.0923076923076923	person	6631	0	5	88	2	lover	M	1	0	1	0	1	0	0	1	0.9333333333333333	0.006153846153846154	0.13333333333333333	bette008_Lorca_Yerma	15
