	approximate_current_flow_betweenness_centrality	betweenness	closeness_centrality	communicability_centrality_exp	current_flow_betweenness_centrality	degree	degree-vs	eccentricity	eigenvector_centrality	importance	label	load_centrality	nature	pers_mes_characters	pers_mes_rss	pers_mes_scenes	pers_mes_sps	position	role	sex	importance-nr	is_protagonist	is_lover	is_antagonist	is_primary	is_minor	antagonist	lover	degree-rel	betweenness-rel	position-rel	work	total_characters
#quin	0.06207268065295774	0.0011495135688684075	0.5849056603773585	3490.1783941820136	0.059021316111450686	9	900	2	0.20285814257004867	minor	Quintín pintado	0.0011495135688684077	person	430	0	2	12	30	other	M	3	0	0	0	0	1	0	0	0.28125	3.5922299027137733e-05	0.9375	bette013_Valle_DivinasPalabras	32
#luce	0.15148097644457217	0.0488436593275303	0.6078431372549019	3912.990196776855	0.14224340808914682	13	1300	3	0.21478378355863162	primary	Lucero	0.04828213005632361	person	6735	27	5	119	1	antagonist	M	1	0	0	1	1	0	1	0	0.40625	0.0015263643539853218	0.03125	bette013_Valle_DivinasPalabras	32
#tras	0.0	0.0	0.45588235294117646	86.71709115549733	0.0	1	100	3	0.03175897779666109	secondary	El trasgo cabrío	0.0	non-human	631	7	1	18	34	other	M	2	0	0	0	0	0	0	0	0.03125	0.0	1.0625	bette013_Valle_DivinasPalabras	32
#sapo	0.042711800929520316	0.0	0.5254237288135594	1124.71195021329	0.03364697444994741	5	500	3	0.11509557285487144	minor	Un sapo anónimo que canta en la noche	0.0	animal	11	0	1	1	35	other	M	3	0	0	0	0	1	0	0	0.15625	0.0	1.09375	bette013_Valle_DivinasPalabras	32
#beni	0.022462212035708317	0.0	0.5166666666666667	907.720766753618	0.03404748707779792	5	500	3	0.10318143099844637	minor	Benita la costurera	0.0	person	529	0	1	14	29	other	F	3	0	0	0	0	1	0	0	0.15625	0.0	0.90625	bette013_Valle_DivinasPalabras	32
#sold	0.037076869036521104	0.0	0.5254237288135594	1427.6450510910427	0.03683317776103437	6	600	3	0.1295223036814723	minor	Un soldado con el canuto de la licencia	0.0	person	353	0	1	7	25	other	F	3	0	0	0	0	1	0	0	0.1875	0.0	0.78125	bette013_Valle_DivinasPalabras	32
#peda	0.0468422140262938	0.0027777777777777775	0.5535714285714286	1412.69276402157	0.04972608176138327	6	600	2	0.12902348471064903	secondary	Un alcalde pedáneo	0.003118279569892473	person	1907	6	2	25	13	other	M	2	0	0	0	0	0	0	0	0.1875	8.680555555555555e-05	0.40625	bette013_Valle_DivinasPalabras	32
#trop	0.02437290837151963	0.0	0.5166666666666667	969.6299754634668	0.02305635929645916	4	400	3	0.1069141134586623	minor	Tropas de rapaces	0.0	person	242	3	1	2	27	other	M	3	0	0	0	0	1	0	0	0.125	0.0	0.84375	bette013_Valle_DivinasPalabras	32
#pedr	0.1474156820144221	0.09772998805256869	0.6888888888888889	6106.545469615643	0.18548180841216502	17	1700	2	0.2683759412205487	primary	Pedro Gailo	0.09737455197132613	person	9501	36	9	132	5	protagonist	M	1	1	0	0	1	0	0	0	0.53125	0.0030540621266427715	0.15625	bette013_Valle_DivinasPalabras	32
#sere	0.08875419897701692	0.0722247823860727	0.6078431372549019	3702.433608154762	0.11634988173959471	11	1100	2	0.2088208279833338	minor	Serenín de Bretal	0.07021761392729135	person	835	2	3	12	21	other	M	3	0	0	0	0	1	0	0	0.34375	0.002257024449564772	0.65625	bette013_Valle_DivinasPalabras	32
