	approximate_current_flow_betweenness_centrality	betweenness	closeness_centrality	communicability_centrality_exp	current_flow_betweenness_centrality	degree	degree-vs	eccentricity	eigenvector_centrality	importance	label	load_centrality	nature	pers_mes_characters	pers_mes_rss	pers_mes_scenes	pers_mes_sps	position	role	sex	importance-nr	is_protagonist	is_lover	is_antagonist	is_primary	is_minor	antagonist	lover	degree-rel	betweenness-rel	position-rel	work	total_characters
#tabe	0.030455721117872772	0.0	0.54	121169.89231085457	0.030288401300639957	11	1100	3	0.1458351288055262	minor	Un tabernero	0.0	person	287	0	1	4	57	other	M	3	0	0	0	0	1	0	0	0.2	0.0	1.0363636363636364	bette014_Valle_Luces	55
#lati	0.4299879584249025	0.35607300921766327	0.8709677419354839	732173.4426915938	0.3755302314111923	46	4600	2	0.35866653367349804	primary	Don Latino de Hispalis	0.35647732188612696	person	11825	79	12	181	4	antagonist	M	1	0	0	1	1	0	1	0	0.8363636363636363	0.006474054713048423	0.07272727272727272	bette014_Valle_Luces	55
#borr	0.03756818696223605	0.002236198462613557	0.5294117647058824	42114.13922982409	0.03998523872631167	9	900	3	0.08591896362225263	minor	Un borracho	0.002236198462613557	person	366	0	2	13	13	other	M	3	0	0	0	0	1	0	0	0.16363636363636364	4.065815386570103e-05	0.23636363636363636	bette014_Valle_Luces	55
#peri	0.027898837884040028	0.0	0.4909090909090909	17651.872260488573	0.02360460427791751	6	600	3	0.05560415021738118	minor	La periodista	0.0	person	120	1	1	1	54	other	F	3	0	0	0	0	1	0	0	0.10909090909090909	0.0	0.9818181818181818	bette014_Valle_Luces	55
#madr	0.03526005375239409	0.0	0.54	121169.8923108546	0.030288401300639995	11	1100	3	0.1458351288055262	minor	La madre del niño muerto	0.0	person	356	0	1	9	38	other	F	3	0	0	0	0	1	0	0	0.2	0.0	0.6909090909090909	bette014_Valle_Luces	55
#luna	0.004065803481505761	0.0	0.5	13119.718928034878	0.012525333360449451	3	300	3	0.047999091537221344	minor	La lunares	0.0	person	1906	4	1	35	36	other	F	3	0	0	0	0	1	0	0	0.05454545454545454	0.0	0.6545454545454545	bette014_Valle_Luces	55
#cons	0.027986547105852574	0.0	0.4864864864864865	25990.6203659163	0.016456190409040682	5	500	3	0.06754553599086748	minor	El conserje de la redacción	0.0	person	199	2	1	1	30	other	M	3	0	0	0	0	1	0	0	0.09090909090909091	0.0	0.5454545454545454	bette014_Valle_Luces	55
#basi	0.021115469861696465	0.0	0.5	55355.2061472432	0.025370848492162684	8	800	3	0.0985747011462613	secondary	Basilio Soulinake	0.0	person	2124	3	1	10	47	other	M	2	0	0	0	0	0	0	0	0.14545454545454545	0.0	0.8545454545454545	bette014_Valle_Luces	55
#empe	0.030455721117872748	0.0	0.54	121169.89231085453	0.030288401300640005	11	1100	3	0.1458351288055262	minor	El empeñista	0.0	person	321	0	1	7	39	other	M	3	0	0	0	0	1	0	0	0.2	0.0	0.7090909090909091	bette014_Valle_Luces	55
#sera	0.04048861062764378	0.0	0.5142857142857142	44550.71079443351	0.021651992860439773	6	600	3	0.0884672537126885	secondary	Serafín el bonito	0.0	person	866	2	1	22	27	other	M	2	0	0	0	0	0	0	0	0.10909090909090909	0.0	0.4909090909090909	bette014_Valle_Luces	55
