	approximate_current_flow_betweenness_centrality	betweenness	closeness_centrality	communicability_centrality_exp	current_flow_betweenness_centrality	degree	degree-vs	eccentricity	eigenvector_centrality	importance	label	load_centrality	nature	pers_mes_characters	pers_mes_rss	pers_mes_scenes	pers_mes_sps	position	role	sex	importance-nr	is_protagonist	is_lover	is_antagonist	is_primary	is_minor	antagonist	lover	degree-rel	betweenness-rel	position-rel	work	total_characters
#bria	0.2388399431280398	0.06060606060606061	0.6111111111111112	19.907685359861105	0.1958044078376623	5	500	3	0.2747147400669543	secondary	Doña Brianda	0.06287878787878788	person	8829	28	5	38	7	other	F	2	0	0	0	0	0	0	0	0.4166666666666667	0.005050505050505051	0.5833333333333334	bette028_Valera_Atahualpa	12
#iren	0.08279672371618108	0.02727272727272727	0.6111111111111112	24.574128827640052	0.1627041670965835	5	500	3	0.3153777441829632	secondary	Doña Irene	0.02727272727272727	person	11572	21	7	52	8	other	F	2	0	0	0	0	0	0	0	0.4166666666666667	0.0022727272727272726	0.6666666666666666	bette028_Valera_Atahualpa	12
#escu	0.08134001483260059	0.0	0.5238095238095238	11.989742602135497	0.06445863801563492	3	300	3	0.21102009872075037	minor	Escudero	0.0	person	73	3	1	1	9	other	M	3	0	0	0	0	1	0	0	0.25	0.0	0.75	bette028_Valera_Atahualpa	12
#cipr	0.040438749964147716	0.0	0.55	11.360385501945947	0.07796144492326124	3	300	3	0.2030579571470245	minor	Cipriano	0.0	person	576	14	3	9	6	other	M	3	0	0	0	0	1	0	0	0.25	0.0	0.5	bette028_Valera_Atahualpa	12
#padr	0.24094010825339973	0.18939393939393934	0.7857142857142857	46.197616661212486	0.31138292209681256	8	800	2	0.44338654288220286	secondary	El Padre Antonio	0.1882575757575757	person	9586	49	7	66	5	other	M	2	0	0	0	0	0	0	0	0.6666666666666666	0.015782828282828277	0.4166666666666667	bette028_Valera_Atahualpa	12
#cuel	0.21909406409158524	0.14242424242424243	0.6875	29.388198378857055	0.2553734280404689	6	600	2	0.3480204074268052	primary	Francisco de Cuéllar	0.14015151515151514	person	11276	61	8	47	3	lover	M	1	0	1	0	1	0	0	1	0.5	0.011868686868686869	0.25	bette028_Valera_Atahualpa	12
#fern	0.11821566273452513	0.18939393939393936	0.6470588235294118	20.49879744635938	0.27362527457259433	5	500	2	0.2844371826684844	primary	Don Fernando	0.18977272727272726	person	6512	49	7	29	10	antagonist	M	1	0	0	1	1	0	1	0	0.4166666666666667	0.01578282828282828	0.8333333333333334	bette028_Valera_Atahualpa	12
#juan	0.033472508471381696	0.0	0.5	6.2432839194882215	0.040431836527011	2	200	3	0.14314516251733514	minor	Juanilla	0.0	person	2747	19	2	7	1	other	F	3	0	0	0	0	1	0	0	0.16666666666666666	0.0	0.08333333333333333	bette028_Valera_Atahualpa	12
#garc	0.027637150337830905	0.0	0.4583333333333333	4.999155805635273	0.04307116035114007	2	200	3	0.1142413634455494	minor	Garcés	0.0	person	608	6	2	5	12	other	M	3	0	0	0	0	1	0	0	0.16666666666666666	0.0	1.0	bette028_Valera_Atahualpa	12
#rive	0.3045459052598368	0.12575757575757576	0.6875	36.120793774765446	0.28124912697369114	7	700	3	0.3887726559299651	primary	Bartolomé Rivera	0.12462121212121212	person	16757	25	7	67	4	antagonist	M	1	0	0	1	1	0	1	0	0.5833333333333334	0.01047979797979798	0.3333333333333333	bette028_Valera_Atahualpa	12
#pere	1.7763568394002505e-17	0.0	0.4074074074074074	2.0986897127893367	0.0	1	100	3	0.05218063414916846	minor	Pérez	0.0	person	333	6	1	5	11	other	M	3	0	0	0	0	1	0	0	0.08333333333333333	0.0	0.9166666666666666	bette028_Valera_Atahualpa	12
#laur	0.2525085533297549	0.13787878787878788	0.7333333333333333	36.799078015817784	0.2753844761302037	7	700	2	0.39151463511237555	primary	Laura	0.13977272727272727	person	9743	95	11	45	2	protagonist	F	1	1	0	0	1	0	0	0	0.5833333333333334	0.01148989898989899	0.16666666666666666	bette028_Valera_Atahualpa	12
