	approximate_current_flow_betweenness_centrality	betweenness	closeness_centrality	communicability_centrality_exp	current_flow_betweenness_centrality	degree	degree-vs	eccentricity	eigenvector_centrality	importance	label	load_centrality	nature	pers_mes_characters	pers_mes_rss	pers_mes_scenes	pers_mes_sps	position	role	sex	importance-nr	is_protagonist	is_lover	is_antagonist	is_primary	is_minor	antagonist	lover	degree-rel	betweenness-rel	position-rel	work	total_characters
#rela	0.046578216689540305	0.0027022977022977024	0.6756756756756757	134799.7207459697	0.055783581653477014	13	1300	2	0.20717327903282276	minor	Rafaela	0.0027236652236652236	person	661	9	8	14	7	other	F	3	0	0	0	0	1	0	0	0.5	0.00010393452701145009	0.2692307692307692	bette030_Munoz_Pergaminos	26
#cosm	0.06921604528677376	0.0029282828282828285	0.5952380952380952	28296.52970516943	0.0532404400226523	8	800	2	0.09486760663035369	minor	Don Cosme	0.0033539562289562294	person	3181	5	7	39	20	other	M	3	0	0	0	0	1	0	0	0.3076923076923077	0.00011262626262626263	0.7692307692307693	bette030_Munoz_Pergaminos	26
#mano	0.010973571259656903	0.0	0.5102040816326531	8322.04997234863	0.011364471298399025	3	300	3	0.05147008146722559	minor	Manolita	0.0	person	779	1	3	10	9	other	F	3	0	0	0	0	1	0	0	0.11538461538461539	0.0	0.34615384615384615	bette030_Munoz_Pergaminos	26
#emil	0.04696679847741882	0.0	0.5319148936170213	14172.97279216958	0.03736003124600579	6	600	3	0.06711608961559787	minor	Emilita	0.0	person	61	2	1	1	11	other	F	3	0	0	0	0	1	0	0	0.23076923076923078	0.0	0.4230769230769231	bette030_Munoz_Pergaminos	26
#domi	0.06112390520722887	0.008	0.6410256410256411	82396.0505606698	0.06798249985305581	11	1100	2	0.16196743243257733	minor	Domingo	0.007999999999999998	person	1861	3	12	23	21	other	M	3	0	0	0	0	1	0	0	0.4230769230769231	0.0003076923076923077	0.8076923076923077	bette030_Munoz_Pergaminos	26
#pepi	0.047811019459553836	0.0011252525252525253	0.5813953488372093	22568.567130659874	0.044596803936378535	7	700	2	0.084719123406991	minor	Pepito	0.0015509259259259265	person	241	5	4	7	26	other	M	3	0	0	0	0	1	0	0	0.2692307692307692	4.327894327894328e-05	1.0	bette030_Munoz_Pergaminos	26
#rlon	0.08999239296624989	0.026016294816294822	0.7352941176470589	164457.3476890105	0.09311249513443721	16	1600	2	0.22882940069885957	minor	Rafaelón	0.026490860990860995	person	2793	10	20	43	19	other	M	3	0	0	0	0	1	0	0	0.6153846153846154	0.001000626723703647	0.7307692307692307	bette030_Munoz_Pergaminos	26
#chic	0.02992692784316492	0.0	0.5813953488372093	67946.44623308214	0.03791827961993219	9	900	3	0.1470801259832034	minor	Chicharita	0.0	person	2207	1	1	21	5	other	F	3	0	0	0	0	1	0	0	0.34615384615384615	0.0	0.19230769230769232	bette030_Munoz_Pergaminos	26
#bern	0.08256575736443662	0.010851359751359752	0.6097560975609756	29723.92964598978	0.07631346385328973	9	900	2	0.09722587004228433	minor	Bernarda	0.012636363636363637	person	1972	4	8	34	6	other	F	3	0	0	0	0	1	0	0	0.34615384615384615	0.00041735999043691354	0.23076923076923078	bette030_Munoz_Pergaminos	26
#urra	0.08821085040407624	0.028301156251156246	0.8064516129032258	226313.99207630043	0.09532228535915561	19	1900	2	0.26844482945247805	secondary	Urraca	0.027905002405002394	person	4632	16	27	104	3	other	F	2	0	0	0	0	0	0	0	0.7307692307692307	0.0010885060096598555	0.11538461538461539	bette030_Munoz_Pergaminos	26
