	approximate_current_flow_betweenness_centrality	betweenness	closeness_centrality	communicability_centrality_exp	current_flow_betweenness_centrality	degree	degree-vs	eccentricity	eigenvector_centrality	importance	label	load_centrality	nature	pers_mes_characters	pers_mes_rss	pers_mes_scenes	pers_mes_sps	position	role	sex	importance-nr	is_protagonist	is_lover	is_antagonist	is_primary	is_minor	antagonist	lover	degree-rel	betweenness-rel	position-rel	work	total_characters
#luis	0.10058841335340371	0.015011337868480726	0.7894736842105263	3058.5880147700345	0.1026673732961928	11	1100	2	0.2823631513285595	secondary	Luis	0.015011337868480726	person	7949	37	17	95	8	other	M	2	0	0	0	0	0	0	0	0.6875	0.0009382086167800454	0.5	bette031_Munoz_Refugio	16
#todo	0.04761904761904743	0.0	0.5555555555555556	183.12878890710937	0.04107142857142845	3	300	2	0.06858307864627412	minor	Todos	0.0	person	14	0	1	1	17	other	O	3	0	0	0	0	1	0	0	0.1875	0.0	1.0625	bette031_Munoz_Refugio	16
#maru	0.09127041608091438	0.0126984126984127	0.7894736842105263	3126.3630555072364	0.09914782229765508	11	1100	2	0.2854840090375461	secondary	Maruja	0.012698412698412705	person	8535	39	13	80	2	other	F	2	0	0	0	0	0	0	0	0.6875	0.0007936507936507938	0.125	bette031_Munoz_Refugio	16
#afri	0.11388740864758251	0.023582766439909295	0.8333333333333334	3492.6101981002425	0.11305458756470474	12	1200	2	0.30176369180082724	primary	África	0.023582766439909305	person	15177	54	44	208	1	lover	F	1	0	1	0	1	0	0	1	0.75	0.001473922902494331	0.0625	bette031_Munoz_Refugio	16
#cons	0.0859306737320169	0.0126984126984127	0.7894736842105263	3126.3630555072364	0.09914782229765515	11	1100	2	0.2854840090375461	secondary	Consuelo	0.012698412698412705	person	5289	32	12	67	3	other	F	2	0	0	0	0	0	0	0	0.6875	0.0007936507936507938	0.1875	bette031_Munoz_Refugio	16
#timo	0.24043921183599662	0.15310657596371882	1.0	4117.321736696751	0.23226585208993128	15	1500	1	0.32763735826127716	minor	Timoteo	0.15310657596371882	person	9744	36	38	111	11	other	M	3	0	0	0	0	1	0	0	0.9375	0.009569160997732426	0.6875	bette031_Munoz_Refugio	16
#niev	0.0720315695017381	0.00888888888888889	0.75	2716.069558779313	0.08947323636689632	10	1000	2	0.26608346856527837	minor	Nieves	0.00888888888888889	person	5414	19	16	71	4	other	F	3	0	0	0	0	1	0	0	0.625	0.0005555555555555557	0.25	bette031_Munoz_Refugio	16
#wist	0.0847761988696445	0.001360544217687075	0.625	1006.1712533748207	0.059037248445969935	6	600	2	0.16178847193984666	minor	Wistremundo	0.0013605442176870743	person	2408	8	7	36	12	other	M	3	0	0	0	0	1	0	0	0.375	8.503401360544218e-05	0.75	bette031_Munoz_Refugio	16
#hora	0.1332884024763446	0.03882086167800453	0.8823529411764706	3824.0569931785935	0.12941862338058746	13	1300	2	0.3157659921941836	primary	Horacio	0.038820861678004547	person	27638	61	46	228	7	protagonist	M	1	1	0	0	1	0	0	0	0.8125	0.0024263038548752833	0.4375	bette031_Munoz_Refugio	16
#vict	0.08566559494703055	0.0	0.6521739130434783	1430.3671733006609	0.06320444241960263	7	700	2	0.19297506272968243	minor	Victoriano	0.0	person	2086	11	10	39	13	other	M	3	0	0	0	0	1	0	0	0.4375	0.0	0.8125	bette031_Munoz_Refugio	16
#eulo	0.04952789860844786	0.0031746031746031746	0.6521739130434783	1358.9568933586575	0.06932919532401491	7	700	2	0.18810219771392353	minor	Eulogio	0.0031746031746031763	person	3123	7	8	44	14	other	M	3	0	0	0	0	1	0	0	0.4375	0.0001984126984126984	0.875	bette031_Munoz_Refugio	16
#jorg	0.047619047619047596	0.0	0.5555555555555556	183.1287889071094	0.04107142857142874	3	300	2	0.06858307864627412	minor	Jorge	0.0	person	294	0	1	7	15	other	M	3	0	0	0	0	1	0	0	0.1875	0.0	0.9375	bette031_Munoz_Refugio	16
#paco	0.26509843959545526	0.15310657596371882	1.0	4117.321736696751	0.23226585208993128	15	1500	1	0.32763735826127716	minor	Paco	0.15310657596371882	person	9762	36	38	112	10	other	M	3	0	0	0	0	1	0	0	0.9375	0.009569160997732426	0.625	bette031_Munoz_Refugio	16
#conde	0.05709416637560205	0.0	0.6521739130434783	1430.367173300661	0.06320444241960263	7	700	2	0.1929750627296824	minor	Condesa	0.0	person	6174	18	13	61	6	other	F	3	0	0	0	0	1	0	0	0.4375	0.0	0.375	bette031_Munoz_Refugio	16
#beni	0.11185124081652682	0.006122448979591838	0.75	2762.7041029064835	0.0859181901060756	10	1000	2	0.268360850935203	minor	Benita	0.006122448979591839	person	5087	13	22	47	5	other	F	3	0	0	0	0	1	0	0	0.625	0.0003826530612244899	0.3125	bette031_Munoz_Refugio	16
#ramo	0.08745633830957651	0.0	0.7142857142857143	2437.864481519477	0.0718457780660384	9	900	2	0.25208116817192183	secondary	Ramón	0.0	person	11374	45	16	132	9	other	M	2	0	0	0	0	0	0	0	0.5625	0.0	0.5625	bette031_Munoz_Refugio	16
