	approximate_current_flow_betweenness_centrality	betweenness	closeness_centrality	communicability_centrality_exp	current_flow_betweenness_centrality	degree	degree-vs	eccentricity	eigenvector_centrality	importance	label	load_centrality	nature	pers_mes_characters	pers_mes_rss	pers_mes_scenes	pers_mes_sps	position	role	sex	importance-nr	is_protagonist	is_lover	is_antagonist	is_primary	is_minor	antagonist	lover	degree-rel	betweenness-rel	position-rel	work	total_characters
#zapo	0.22857142857142876	0.32727272727272727	0.8461538461538461	428.93671659999137	0.3933333333333327	9	900	2	0.2719852777774911	primary	Zapatero	0.32727272727272727	person	13852	36	14	128	11	lover	M	1	0	1	0	1	0	0	1	0.75	0.02727272727272727	0.9166666666666666	bette040_Lorca_Zapatera	12
#veca	0.10742857142857147	0.015584415584415584	0.8461538461538461	615.1937002846286	0.11189033189033185	9	900	2	0.3263725789314663	minor	Vecina Amarilla	0.015584415584415581	person	306	0	2	11	5	other	F	3	0	0	0	0	1	0	0	0.75	0.0012987012987012987	0.4166666666666667	bette040_Lorca_Zapatera	12
#vecr	0.09028571428571432	0.015584415584415584	0.8461538461538461	615.1937002846286	0.11189033189033194	9	900	2	0.3263725789314663	minor	Vecina Roja	0.015584415584415581	person	1570	1	5	32	2	other	F	3	0	0	0	0	1	0	0	0.75	0.0012987012987012987	0.16666666666666666	bette040_Lorca_Zapatera	12
#beas	0.1066666666666667	0.0	0.5	9.733103259705118	0.06060606060606065	2	200	3	0.03550341738349782	minor	Beata Segunda	0.0	person	67	0	1	2	8	other	F	3	0	0	0	0	1	0	0	0.16666666666666666	0.0	0.6666666666666666	bette040_Lorca_Zapatera	12
#alca	0.09828571428571432	0.015584415584415584	0.8461538461538461	615.1937002846283	0.11189033189033189	9	900	2	0.3263725789314663	minor	Alcalde	0.015584415584415581	person	4587	11	6	48	13	other	M	3	0	0	0	0	1	0	0	0.75	0.0012987012987012987	1.0833333333333333	bette040_Lorca_Zapatera	12
#zapa	0.07314285714285716	0.015584415584415584	0.8461538461538461	615.1937002846281	0.11189033189033194	9	900	2	0.3263725789314663	primary	Zapatera	0.015584415584415581	person	22787	70	21	198	1	protagonist	F	1	1	0	0	1	0	0	0	0.75	0.0012987012987012987	0.08333333333333333	bette040_Lorca_Zapatera	12
#vecm	0.1005714285714286	0.015584415584415584	0.8461538461538461	615.1937002846283	0.11189033189033194	9	900	2	0.3263725789314663	minor	Vecina Morada	0.015584415584415581	person	73	0	3	3	3	other	F	3	0	0	0	0	1	0	0	0.75	0.0012987012987012987	0.25	bette040_Lorca_Zapatera	12
#vecn	0.08114285714285717	0.015584415584415584	0.8461538461538461	615.1937002846283	0.11189033189033191	9	900	2	0.3263725789314663	minor	Vecina Negra	0.015584415584415581	person	254	0	3	5	6	other	F	3	0	0	0	0	1	0	0	0.75	0.0012987012987012987	0.5	bette040_Lorca_Zapatera	12
#sacr	0.09320634920634926	0.0	0.6875	514.0223316361368	0.09111111111111117	8	800	3	0.2982193835348846	minor	Sacristana	0.0	person	29	1	1	1	9	other	F	3	0	0	0	0	1	0	0	0.6666666666666666	0.0	0.75	bette040_Lorca_Zapatera	12
#elni	0.1005714285714286	0.015584415584415584	0.8461538461538461	615.1937002846281	0.11189033189033197	9	900	2	0.3263725789314663	minor	El Niño	0.015584415584415581	person	5185	0	8	66	12	other	M	3	0	0	0	0	1	0	0	0.75	0.0012987012987012987	1.0	bette040_Lorca_Zapatera	12
#vecv	0.08431746031746033	0.0	0.6875	514.0223316361368	0.09111111111111113	8	800	3	0.2982193835348846	minor	Vecina Verde	0.0	person	25	0	1	2	4	other	F	3	0	0	0	0	1	0	0	0.6666666666666666	0.0	0.3333333333333333	bette040_Lorca_Zapatera	12
#beap	1.221245327087672e-17	0.0	0.5	9.733103259705123	0.06060606060606071	2	200	3	0.03550341738349782	minor	Beata Primera	0.0	person	43	0	1	2	7	other	F	3	0	0	0	0	1	0	0	0.16666666666666666	0.0	0.5833333333333334	bette040_Lorca_Zapatera	12
