	approximate_current_flow_betweenness_centrality	betweenness	closeness_centrality	communicability_centrality_exp	current_flow_betweenness_centrality	degree	degree-vs	eccentricity	eigenvector_centrality	importance	label	load_centrality	nature	pers_mes_characters	pers_mes_rss	pers_mes_scenes	pers_mes_sps	position	role	sex	importance-nr	is_protagonist	is_lover	is_antagonist	is_primary	is_minor	antagonist	lover	degree-rel	betweenness-rel	position-rel	work	total_characters
#len2	0.026481559551496288	0.0	0.5897435897435898	21934.10138377066	0.043818344174302706	7	700	2	0.08641381855337074	minor	Leñador 2	0.0	person	573	0	1	16	13	other	M	3	0	0	0	0	1	0	0	0.2916666666666667	0.0	0.5416666666666666	bette041_Lorca_Bodas	24
#muc3	0.05505586048373592	0.0	0.696969696969697	133477.32972173556	0.05387041566169497	13	1300	2	0.21329927509622712	minor	Muchacha 3	0.0	person	146	0	1	4	7	other	F	3	0	0	0	0	1	0	0	0.5416666666666666	0.0	0.2916666666666667	bette041_Lorca_Bodas	24
#much	0.06041925824191891	0.0021880293619424055	0.6571428571428571	74979.69650378168	0.05589623339755884	11	1100	2	0.15982874212704315	minor	Muchachas	0.0021880293619424046	person	583	0	2	8	0	other	F	3	0	0	0	0	1	0	0	0.4583333333333333	9.116789008093356e-05	0.0	bette041_Lorca_Bodas	24
#veci	0.06612312058288906	0.0031055900621118006	0.6571428571428571	74383.43048312182	0.05679732052723352	11	1100	2	0.1591933438559234	minor	Vecina	0.0031055900621118015	person	1648	2	2	32	6	other	F	3	0	0	0	0	1	0	0	0.4583333333333333	0.00012939958592132503	0.25	bette041_Lorca_Bodas	24
#len1	0.04352701409695082	0.0	0.5897435897435898	21934.101383770663	0.043818344174303005	7	700	2	0.08641381855337074	minor	Leñador 1	0.0	person	696	0	1	18	13	other	M	3	0	0	0	0	1	0	0	0.2916666666666667	0.0	0.5416666666666666	bette041_Lorca_Bodas	24
#mujs	0.05402256672871141	0.0	0.6388888888888888	60686.14093105125	0.048233449217490974	10	1000	2	0.14377225360611626	minor	Mujeres	0.0	person	0	0	1	1	0	other	F	3	0	0	0	0	1	0	0	0.4166666666666667	0.0	0.0	bette041_Lorca_Bodas	24
#moz2	0.05992599035386581	0.0	0.696969696969697	133477.32972173556	0.05387041566169497	13	1300	2	0.2132992750962271	minor	Mozo 2	0.0	person	67	0	2	3	14	other	M	3	0	0	0	0	1	0	0	0.5416666666666666	0.0	0.5833333333333334	bette041_Lorca_Bodas	24
#voce	0.05992599035386578	0.0	0.696969696969697	133477.32972173556	0.05387041566169498	13	1300	2	0.2132992750962271	minor	Voces	0.0	person	104	0	1	7	0	other	O	3	0	0	0	0	1	0	0	0.5416666666666666	0.0	0.0	bette041_Lorca_Bodas	24
#padr	0.05505586048373599	0.0	0.696969696969697	133477.3297217356	0.053870415661694995	13	1300	2	0.2132992750962271	secondary	Padre de la novia	0.0	person	3368	3	3	50	10	other	M	2	0	0	0	0	0	0	0	0.5416666666666666	0.0	0.4166666666666667	bette041_Lorca_Bodas	24
#madr	0.09447781840190726	0.03572840203274985	0.8518518518518519	214766.13932643473	0.10884595066778963	19	1900	2	0.2705726096193515	secondary	Madre	0.03572840203274985	person	12316	6	5	140	1	other	F	2	0	0	0	0	0	0	0	0.7916666666666666	0.0014886834180312437	0.041666666666666664	bette041_Lorca_Bodas	24
#muer	0.03542752540639739	0.0	0.6388888888888888	60686.14093105125	0.04823344921749089	10	1000	2	0.14377225360611626	minor	Muerte (como Mendiga)	0.0	non-human	627	1	1	6	12	other	F	3	0	0	0	0	1	0	0	0.4166666666666667	0.0	0.5	bette041_Lorca_Bodas	24
#nina	0.05402256672871143	0.0	0.6388888888888888	60686.14093105126	0.04823344921749095	10	1000	2	0.14377225360611626	minor	Niña	0.0	person	28	0	1	1	0	other	F	3	0	0	0	0	1	0	0	0.4166666666666667	0.0	0.0	bette041_Lorca_Bodas	24
#muc1	0.0920885264216998	0.03572840203274985	0.8518518518518519	214766.13932643482	0.10884595066778968	19	1900	2	0.2705726096193515	minor	Muchacha 1	0.03572840203274985	person	706	0	3	26	7	other	F	3	0	0	0	0	1	0	0	0.7916666666666666	0.0014886834180312437	0.2916666666666667	bette041_Lorca_Bodas	24
#novo	0.07571391292158475	0.052536231884057975	0.8214285714285714	176202.05538501815	0.12744127539643405	18	1800	2	0.2450674520977626	primary	Novio	0.05253623188405799	person	4402	19	5	119	9	protagonist	M	1	1	0	0	1	0	0	0	0.75	0.002189009661835749	0.375	bette041_Lorca_Bodas	24
#conv	0.05992599035386584	0.0	0.696969696969697	133477.3297217356	0.053870415661694954	13	1300	2	0.21329927509622712	minor	Convidado	0.0	person	0	0	1	3	0	other	M	3	0	0	0	0	1	0	0	0.5416666666666666	0.0	0.0	bette041_Lorca_Bodas	24
#sueg	0.047810547555732004	0.0021880293619424055	0.6571428571428571	74979.69650378168	0.05589623339755881	11	1100	2	0.15982874212704315	secondary	Suegra	0.0021880293619424046	person	1089	2	2	33	3	other	F	2	0	0	0	0	0	0	0	0.4583333333333333	9.116789008093356e-05	0.125	bette041_Lorca_Bodas	24
#muc2	0.10027902690029004	0.03572840203274985	0.8518518518518519	214766.13932643473	0.10884595066778963	19	1900	2	0.2705726096193515	minor	Muchacha 2	0.03572840203274985	person	322	0	3	17	7	other	F	3	0	0	0	0	1	0	0	0.7916666666666666	0.0014886834180312437	0.2916666666666667	bette041_Lorca_Bodas	24
#moz1	0.08803372443238489	0.03952569169960474	0.7931034482758621	162101.9114292654	0.11823803106341066	17	1700	2	0.23505003174560804	minor	Mozo 1	0.03952569169960474	person	317	2	3	14	14	other	M	3	0	0	0	0	1	0	0	0.7083333333333334	0.001646903820816864	0.5833333333333334	bette041_Lorca_Bodas	24
#muje	0.11137959427356256	0.03572840203274985	0.8518518518518519	214766.1393264347	0.1088459506677896	19	1900	2	0.2705726096193515	secondary	Mujer de Leonardo	0.03572840203274985	person	2725	13	4	61	4	other	F	2	0	0	0	0	0	0	0	0.7916666666666666	0.0014886834180312437	0.16666666666666666	bette041_Lorca_Bodas	24
#cria	0.045315600743476216	0.0	0.696969696969697	133477.32972173562	0.053870415661694926	13	1300	2	0.21329927509622712	secondary	Criada	0.0	person	5460	6	3	86	5	other	F	2	0	0	0	0	0	0	0	0.5416666666666666	0.0	0.20833333333333334	bette041_Lorca_Bodas	24
#nova	0.1477698449072385	0.14640033879164316	1.0	250678.02540522462	0.17492272470613032	23	2300	1	0.2923233662687324	primary	Novia	0.14640033879164316	person	5827	30	5	114	2	lover	F	1	0	1	0	1	0	0	1	0.9583333333333334	0.006100014116318465	0.08333333333333333	bette041_Lorca_Bodas	24
#luna	0.04352701409695084	0.0	0.5897435897435898	21934.101383770667	0.0438183441743027	7	700	2	0.08641381855337074	minor	Luna	0.0	person	368	1	1	5	11	other	F	3	0	0	0	0	1	0	0	0.2916666666666667	0.0	0.4583333333333333	bette041_Lorca_Bodas	24
#leon	0.10051884160097506	0.06568793525315263	0.8518518518518519	191011.9637698509	0.13686922461988574	19	1900	2	0.255164836862285	primary	Leonardo	0.06568793525315263	person	3549	17	4	71	8	antagonist	M	1	0	0	1	1	0	1	0	0.7916666666666666	0.0027369973022146926	0.3333333333333333	bette041_Lorca_Bodas	24
#len3	0.04352701409695083	0.0	0.5897435897435898	21934.10138377067	0.043818344174302734	7	700	2	0.08641381855337074	minor	Leñador 3	0.0	person	429	0	1	14	13	other	M	3	0	0	0	0	1	0	0	0.2916666666666667	0.0	0.5416666666666666	bette041_Lorca_Bodas	24
