	approximate_current_flow_betweenness_centrality	betweenness	closeness_centrality	communicability_centrality_exp	current_flow_betweenness_centrality	degree	degree-vs	eccentricity	eigenvector_centrality	importance	label	load_centrality	nature	pers_mes_characters	pers_mes_rss	pers_mes_scenes	pers_mes_sps	position	role	sex	importance-nr	is_protagonist	is_lover	is_antagonist	is_primary	is_minor	antagonist	lover	degree-rel	betweenness-rel	position-rel	work	total_characters
#angu	0.09284654548805502	0.019246031746031744	0.9411764705882353	55802.90921986048	0.08956022358145017	15	1500	2	0.27130496330038406	secondary	Angustias	0.019246031746031737	person	2720	1	16	69	3	other	F	2	0	0	0	0	0	0	0	0.8823529411764706	0.0011321195144724555	0.17647058823529413	bette042_Lorca_Bernarda	17
#amel	0.042711486626580954	0.009523809523809521	0.8888888888888888	51921.17381297956	0.07848590089156152	14	1400	2	0.2616983874665323	minor	Amelia	0.00952380952380952	person	2409	0	14	70	5	other	F	3	0	0	0	0	1	0	0	0.8235294117647058	0.0005602240896358542	0.29411764705882354	bette042_Lorca_Bernarda	17
#jose	0.03990928882438274	0.0	0.64	14790.248368323231	0.044124183599418935	7	700	2	0.13966505795386028	minor	María Josefa	0.0	person	2255	0	5	17	2	other	F	3	0	0	0	0	1	0	0	0.4117647058823529	0.0	0.11764705882352941	bette042_Lorca_Bernarda	17
#prud	0.040892799548459896	0.0	0.6153846153846154	14769.261377948518	0.040162373004353956	7	700	3	0.13956584699287938	minor	Prudencia	0.0	person	1110	0	1	22	10	other	F	3	0	0	0	0	1	0	0	0.4117647058823529	0.0	0.5882352941176471	bette042_Lorca_Bernarda	17
#muje	0.071289596148087	0.0	0.8421052631578947	48182.01046607095	0.06617823018176781	13	1300	2	0.2520986370954619	minor	Mujeres de luto	0.0	person	177	0	1	8	17	other	F	3	0	0	0	0	1	0	0	0.7647058823529411	0.0	1.0	bette042_Lorca_Bernarda	17
#magd	0.07664432004054646	0.019246031746031744	0.9411764705882353	55802.90921986048	0.0895602235814497	15	1500	2	0.271304963300384	minor	Magdalena	0.019246031746031737	person	3753	2	15	62	4	other	F	3	0	0	0	0	1	0	0	0.8823529411764706	0.0011321195144724555	0.23529411764705882	bette042_Lorca_Bernarda	17
#muj1	0.07128959614808685	0.0	0.8421052631578947	48182.01046607096	0.06617823018176837	13	1300	2	0.2520986370954619	minor	Mujer 1ª	0.0	person	160	0	1	5	12	other	F	3	0	0	0	0	1	0	0	0.7647058823529411	0.0	0.7058823529411765	bette042_Lorca_Bernarda	17
#bern	0.08744580367221907	0.019246031746031744	0.9411764705882353	55802.90921986046	0.08956022358144983	15	1500	2	0.271304963300384	primary	Bernarda	0.019246031746031737	person	13587	49	19	194	1	protagonist	F	1	1	0	0	1	0	0	0	0.8823529411764706	0.0011321195144724555	0.058823529411764705	bette042_Lorca_Bernarda	17
#mend	2.348738487651442e-16	0.0	0.5	287.55797530049955	4.699944137579829e-16	1	100	3	0.01942900826333412	minor	Mendiga	0.0	person	189	0	1	5	11	other	F	3	0	0	0	0	1	0	0	0.058823529411764705	0.0	0.6470588235294118	bette042_Lorca_Bernarda	17
#adel	0.08678784527841135	0.019246031746031744	0.9411764705882353	55802.90921986048	0.08956022358145024	15	1500	2	0.27130496330038406	primary	Adela	0.019246031746031737	person	7099	0	22	102	7	antagonist	F	1	0	0	1	1	0	1	0	0.8823529411764706	0.0011321195144724555	0.4117647058823529	bette042_Lorca_Bernarda	17
#much	0.06049594535443608	0.0	0.8421052631578947	48182.01046607095	0.06617823018176809	13	1300	2	0.2520986370954619	minor	Muchacha	0.0	person	150	0	1	4	16	other	F	3	0	0	0	0	1	0	0	0.7647058823529411	0.0	0.9411764705882353	bette042_Lorca_Bernarda	17
#muj4	0.0658927707512612	0.0	0.8421052631578947	48182.010466070955	0.06617823018176824	13	1300	2	0.2520986370954619	minor	Mujer 4ª	0.0	person	54	0	1	1	15	other	F	3	0	0	0	0	1	0	0	0.7647058823529411	0.0	0.8823529411764706	bette042_Lorca_Bernarda	17
#muj2	0.06589277075126168	0.0	0.8421052631578947	48182.010466070955	0.06617823018176797	13	1300	2	0.2520986370954619	minor	Mujer 2ª	0.0	person	127	0	1	3	13	other	F	3	0	0	0	0	1	0	0	0.7647058823529411	0.0	0.7647058823529411	bette042_Lorca_Bernarda	17
#ponc	0.09284654548805506	0.019246031746031744	0.9411764705882353	55802.90921986048	0.08956022358145048	15	1500	2	0.27130496330038406	primary	La Poncia	0.019246031746031737	person	13911	1	22	162	8	antagonist	F	1	0	0	1	1	0	1	0	0.8823529411764706	0.0011321195144724555	0.47058823529411764	bette042_Lorca_Bernarda	17
#cria	0.35032417006472577	0.1333333333333333	0.9411764705882353	52455.78098140729	0.19464231719537856	15	1500	2	0.2630415897806889	minor	Criada	0.1333333333333333	person	3424	5	13	49	9	other	F	3	0	0	0	0	1	0	0	0.8823529411764706	0.007843137254901959	0.5294117647058824	bette042_Lorca_Bernarda	17
#mart	0.08744580367221894	0.019246031746031744	0.9411764705882353	55802.90921986048	0.08956022358145033	15	1500	2	0.27130496330038406	secondary	Martirio	0.019246031746031737	person	6275	0	24	128	6	other	F	2	0	0	0	0	0	0	0	0.8823529411764706	0.0011321195144724555	0.35294117647058826	bette042_Lorca_Bernarda	17
#muj3	0.07668642154491262	0.0	0.8421052631578947	48182.010466070926	0.06617823018176852	13	1300	2	0.2520986370954619	minor	Mujer 3ª	0.0	person	108	0	1	3	14	other	F	3	0	0	0	0	1	0	0	0.7647058823529411	0.0	0.8235294117647058	bette042_Lorca_Bernarda	17
