	approximate_current_flow_betweenness_centrality	betweenness	closeness_centrality	communicability_centrality_exp	current_flow_betweenness_centrality	degree	degree-vs	eccentricity	eigenvector_centrality	importance	label	load_centrality	nature	pers_mes_characters	pers_mes_rss	pers_mes_scenes	pers_mes_sps	position	role	sex	importance-nr	is_protagonist	is_lover	is_antagonist	is_primary	is_minor	antagonist	lover	degree-rel	betweenness-rel	position-rel	work	total_characters
#ladr	0.051108720328856945	0.0005427408412483039	0.40853658536585363	2146.203475250025	0.03878529729299723	9	900	4	0.0900629404252053	secondary	Un ladrón	0.0005427408412483038	person	140	2	2	7	16	other	M	2	0	0	0	0	0	0	0	0.1323529411764706	7.98148295953388e-06	0.23529411764705882	bette043_Valle_Aguila	68
#pich	0.0051534742049989075	0.0	0.3284313725490196	65.44734063821751	0.003363905784293283	2	200	5	0.015742641013881675	minor	La Pichona	0.0	person	2481	31	2	39	62	other	F	3	0	0	0	0	1	0	0	0.029411764705882353	0.0	0.9117647058823529	bette043_Valle_Aguila	68
#voce	0.02777736921115588	0.0	0.4036144578313253	1674.8664167018833	0.029490254476584734	7	700	4	0.08024040107035316	minor	voces de los ladrones	0.0	person	171	0	1	4	19	other	M	3	0	0	0	0	1	0	0	0.10294117647058823	0.0	0.27941176470588236	bette043_Valle_Aguila	68
#sueg	9.214477291922597e-17	0.0	0.3850574712643678	205.0625786926758	0.01944821347806425	5	500	4	0.026082091291229792	minor	La suegra	0.0	person	2187	1	2	15	60	other	F	3	0	0	0	0	1	0	0	0.07352941176470588	0.0	0.8823529411764706	bette043_Valle_Aguila	68
#pedr	0.1386569188402858	0.10928618092797193	0.4785714285714286	1856.1348974091195	0.14764359655180012	10	1000	3	0.08724091626239432	secondary	Pedro Rey	0.11085670134177594	person	2179	14	3	23	21	other	M	2	0	0	0	0	0	0	0	0.14705882352941177	0.001607149719528999	0.3088235294117647	bette043_Valle_Aguila	68
#veci	0.034870098308035315	0.0	0.40119760479041916	1102.5292648129114	0.025706565120375675	6	600	4	0.0645406760248464	minor	Un vecino	0.0	person	19	1	1	1	15	other	M	3	0	0	0	0	1	0	0	0.08823529411764706	0.0	0.22058823529411764	bette043_Valle_Aguila	68
#escr	0.04122577283566783	0.0	0.432258064516129	1743.313009470688	0.034361299387138416	5	500	4	0.0956835293025194	minor	El Escribano	0.0	person	1395	17	1	24	44	other	M	3	0	0	0	0	1	0	0	0.07352941176470588	0.0	0.6470588235294118	bette043_Valle_Aguila	68
#cape	0.23335908193422836	0.10167775839417631	0.5	14417.920606885004	0.22752724556762666	20	2000	4	0.2732348336671199	minor	El Capellán	0.10471443288607467	person	1003	10	3	17	38	other	M	3	0	0	0	0	1	0	0	0.29411764705882354	0.001495261152855534	0.5588235294117647	bette043_Valle_Aguila	68
#capi	0.0614861476167852	0.004619758351101634	0.43506493506493504	2864.3014121713886	0.05283039596861614	10	1000	4	0.10650924782247319	minor	El Capitán de los ladrones	0.005945022362932811	person	993	6	3	18	14	other	M	3	0	0	0	0	1	0	0	0.14705882352941177	6.793762281031814e-05	0.20588235294117646	bette043_Valle_Aguila	68
#manu	0.029377329606846612	0.0	0.41358024691358025	8304.14255652652	0.02739415662227766	11	1100	4	0.20048085324558942	minor	Manuel Tovío	0.0	person	306	1	1	3	30	other	M	3	0	0	0	0	1	0	0	0.16176470588235295	0.0	0.4411764705882353	bette043_Valle_Aguila	68
#farr	0.07205258890654183	0.03210947427365338	0.44666666666666666	1529.3565516904	0.10542765817114308	12	1200	4	0.08200172142623986	secondary	Don Farruquiño	0.03463050907080757	person	4407	15	5	67	46	other	M	2	0	0	0	0	0	0	0	0.17647058823529413	0.00047219815108313787	0.6764705882352942	bette043_Valle_Aguila	68
#rose	0.030367415426914863	0.0	0.3641304347826087	436.91547050900283	0.03131516421065717	5	500	5	0.04578920251498335	minor	Don Rosendo	0.0	person	283	1	1	12	47	other	M	3	0	0	0	0	1	0	0	0.07352941176470588	0.0	0.6911764705882353	bette043_Valle_Aguila	68
#biei	0.019149871334202193	0.0	0.3701657458563536	229.6843016277619	0.01933162022241912	4	400	4	0.0317197411850413	minor	Bieito	0.0	person	230	1	1	2	41	other	M	3	0	0	0	0	1	0	0	0.058823529411764705	0.0	0.6029411764705882	bette043_Valle_Aguila	68
#mend	0.029377329606846646	0.0	0.41358024691358025	8304.142556526522	0.027394156622277576	11	1100	4	0.20048085324558942	minor	El Mendicante	0.0	person	98	0	1	1	36	other	M	3	0	0	0	0	1	0	0	0.16176470588235295	0.0	0.5294117647058824	bette043_Valle_Aguila	68
#rosa	0.05284320514614571	0.002638323533845921	0.3941176470588235	366.2808668307645	0.041143553460435654	5	500	4	0.040040707340752914	minor	Rosalva	0.0026383235338459207	person	738	6	2	15	40	other	F	3	0	0	0	0	1	0	0	0.07352941176470588	3.8798875497734134e-05	0.5882352941176471	bette043_Valle_Aguila	68
#caba	0.21703184999141972	0.1043491058416432	0.5630252100840336	10350.549040417493	0.20071039939127916	21	2100	3	0.22009301855218114	primary	El Caballero don Juan Manuel Montenegro	0.10246494798733605	person	12796	90	12	197	1	protagonist	M	1	1	0	0	1	0	0	0	0.3088235294117647	0.0015345456741418118	0.014705882352941176	bette043_Valle_Aguila	68
#mona	0.033823079277624894	0.0	0.2791666666666667	55.51001406008977	0.017289585132190425	5	500	5	0.005760949969604536	minor	un monago	0.0	person	27	0	1	1	5	other	M	3	0	0	0	0	1	0	0	0.07352941176470588	0.0	0.07352941176470588	bette043_Valle_Aguila	68
#viso	0.02313195639621918	0.009648726066636526	0.4161490683229814	1674.4086894070977	0.03997266193557454	8	800	4	0.09052614223348694	secondary	Andrea la Visoja	0.009648726066636526	person	450	2	2	8	64	other	F	2	0	0	0	0	0	0	0	0.11764705882352941	0.00014189303039171362	0.9411764705882353	bette043_Valle_Aguila	68
#crib	0.029377329606846775	0.0	0.41358024691358025	8304.142556526522	0.02739415662227769	11	1100	4	0.20048085324558942	minor	Una Cribera	0.0	person	87	0	1	1	34	other	F	3	0	0	0	0	1	0	0	0.16176470588235295	0.0	0.5	bette043_Valle_Aguila	68
#abue	0.019079685746352472	0.0	0.3850574712643678	205.0625786926758	0.019448213478064295	5	500	4	0.026082091291229792	minor	El abuelo	0.0	person	1428	3	1	7	56	other	M	3	0	0	0	0	1	0	0	0.07352941176470588	0.0	0.8235294117647058	bette043_Valle_Aguila	68
#moza	0.08805558933236828	0.05608322026232474	0.37640449438202245	320.12481525789036	0.08159612977936241	10	1000	4	0.026331351153554203	minor	Una moza	0.05608322026232474	person	171	0	2	3	4	other	F	3	0	0	0	0	1	0	0	0.14705882352941177	0.0008247532391518344	0.058823529411764705	bette043_Valle_Aguila	68
#manc	0.09010665444167126	0.012849174043203892	0.4589041095890411	1958.694262732009	0.07565146772382426	8	800	3	0.09723469071569435	minor	La Manchada	0.013844916829991458	person	1081	0	3	14	39	other	F	3	0	0	0	0	1	0	0	0.11764705882352941	0.00018895844181182194	0.5735294117647058	bette043_Valle_Aguila	68
#barq	0.004239930165856156	0.0	0.29777777777777775	117.31588237210511	0.006583245389215595	3	300	5	0.022367807105668585	minor	El barquero	0.0	person	18	5	1	1	65	other	M	3	0	0	0	0	1	0	0	0.04411764705882353	0.0	0.9558823529411765	bette043_Valle_Aguila	68
#mar1	0.02937732960684673	0.0	0.41358024691358025	8304.142556526524	0.027394156622278083	11	1100	4	0.20048085324558942	minor	Un Marinero	0.0	person	22	0	1	1	27	other	M	3	0	0	0	0	1	0	0	0.16176470588235295	0.0	0.39705882352941174	bette043_Valle_Aguila	68
#chan	0.02850937910980682	0.0	0.40119760479041916	683.6652118241152	0.032740271254888056	7	700	4	0.049559287853173394	minor	El chantre	0.0	person	77	1	1	2	54	other	M	3	0	0	0	0	1	0	0	0.10294117647058823	0.0	0.7941176470588235	bette043_Valle_Aguila	68
#vie1	0.08805558933236812	0.05608322026232474	0.37640449438202245	320.12481525789013	0.08159612977936252	10	1000	4	0.026331351153554203	minor	Una vieja	0.05608322026232474	person	547	0	2	5	3	other	F	3	0	0	0	0	1	0	0	0.14705882352941177	0.0008247532391518344	0.04411764705882353	bette043_Valle_Aguila	68
#fray	0.0242832364044487	0.0	0.2791666666666667	55.51001406008976	0.017289585132190463	5	500	5	0.005760949969604536	minor	Fray Jerónimo	0.0	person	911	4	1	2	2	other	M	3	0	0	0	0	1	0	0	0.07352941176470588	0.0	0.029411764705882353	bette043_Valle_Aguila	68
#cura	0.03837406995387893	0.0	0.36813186813186816	228.9720169138243	0.03674952455283896	6	600	4	0.024577807485379702	minor	La Curandera	0.0	person	1937	1	1	10	24	other	F	3	0	0	0	0	1	0	0	0.08823529411764706	0.0	0.35294117647058826	bette043_Valle_Aguila	68
#rosi	0.01887695322966242	0.0	0.41358024691358025	1080.5075991722347	0.028779838559025578	5	500	4	0.06755664355936643	minor	Doña Rosita	0.0	person	1131	0	1	10	8	other	F	3	0	0	0	0	1	0	0	0.07352941176470588	0.0	0.11764705882352941	bette043_Valle_Aguila	68
#andr	0.019149871334202175	0.0	0.3701657458563536	229.68430162776184	0.019331620222419157	4	400	4	0.0317197411850413	minor	Andreíña	0.0	person	517	2	1	7	42	other	F	3	0	0	0	0	1	0	0	0.058823529411764705	0.0	0.6176470588235294	bette043_Valle_Aguila	68
#lana	0.0198374867336705	0.0	0.41358024691358025	8304.142556526518	0.02739415662227778	11	1100	4	0.20048085324558942	minor	Un Lañador	0.0	person	34	0	1	1	33	other	M	3	0	0	0	0	1	0	0	0.16176470588235295	0.0	0.4852941176470588	bette043_Valle_Aguila	68
#vie2	0.024283236404448738	0.0	0.2791666666666667	55.510014060089716	0.017289585132190508	5	500	5	0.005760949969604536	minor	otra vieja	0.0	person	44	0	1	1	10	other	F	3	0	0	0	0	1	0	0	0.07352941176470588	0.0	0.14705882352941177	bette043_Valle_Aguila	68
#fons	0.029377329606846594	0.0	0.41358024691358025	8304.142556526518	0.02739415662227772	11	1100	4	0.20048085324558942	minor	Manuel Fonseca	0.0	person	191	1	1	2	32	other	M	3	0	0	0	0	1	0	0	0.16176470588235295	0.0	0.47058823529411764	bette043_Valle_Aguila	68
#rapa	0.01907968574635257	0.0	0.3850574712643678	205.06257869267574	0.01944821347806438	5	500	4	0.026082091291229792	minor	El Rapaz	0.0	person	258	5	1	5	57	other	M	3	0	0	0	0	1	0	0	0.07352941176470588	0.0	0.8382352941176471	bette043_Valle_Aguila	68
#otro	0.026693090131027084	0.0	0.40119760479041916	1102.529264812911	0.025706565120375682	6	600	4	0.0645406760248464	secondary	Otro ladrón	0.0	person	71	0	1	2	17	other	M	2	0	0	0	0	0	0	0	0.08823529411764706	0.0	0.25	bette043_Valle_Aguila	68
#mar2	0.029377329606846584	0.0	0.41358024691358025	8304.142556526524	0.027394156622277756	11	1100	4	0.20048085324558942	minor	Otro marinero	0.0	person	42	0	1	1	29	other	M	3	0	0	0	0	1	0	0	0.16176470588235295	0.0	0.4264705882352941	bette043_Valle_Aguila	68
#gine	0.030367415426914846	0.0	0.3641304347826087	436.91547050900294	0.0313151642106571	5	500	5	0.04578920251498335	minor	El señor Ginero	0.0	person	604	3	1	5	49	other	M	3	0	0	0	0	1	0	0	0.07352941176470588	0.0	0.7205882352941176	bette043_Valle_Aguila	68
