	approximate_current_flow_betweenness_centrality	betweenness	closeness_centrality	communicability_centrality_exp	current_flow_betweenness_centrality	degree	degree-vs	eccentricity	eigenvector_centrality	importance	label	load_centrality	nature	pers_mes_characters	pers_mes_rss	pers_mes_scenes	pers_mes_sps	position	role	sex	importance-nr	is_protagonist	is_lover	is_antagonist	is_primary	is_minor	antagonist	lover	degree-rel	betweenness-rel	position-rel	work	total_characters
#viud	0.008547591485089419	0.0	0.4939759036144578	183879.06295366166	0.008897691565978314	2	200	3	0.01417109583108854	minor	Una Viuda	0.0	person	1646	2	1	7	42	other	F	3	0	0	0	0	1	0	0	0.047619047619047616	0.0	1.0	bette044_Valle_Romance	42
#mago	0.0785925877531062	0.023128852854462614	0.7454545454545455	48527707.568790965	0.08073514320176614	27	2700	2	0.23021535852204295	minor	EL MANCO DE GONDAR	0.023128852854462603	person	189	1	3	4	24	other	M	3	0	0	0	0	1	0	0	0.6428571428571429	0.0005506869727253004	0.5714285714285714	bette044_Valle_Romance	42
#seba	0.013461538461538533	0.0	0.44086021505376344	1061065.8030680045	0.01957473420888057	5	500	3	0.034041164835803724	minor	SEBASTIÁN DE XOGAS	0.0	person	37	2	1	1	38	other	M	3	0	0	0	0	1	0	0	0.11904761904761904	0.0	0.9047619047619048	bette044_Valle_Romance	42
#tull	0.031435429338966335	0.0	0.5540540540540541	8058790.53892783	0.030484110224578902	11	1100	3	0.09381483017481779	minor	EL TULLIDO DE CELTIGOS	0.0	person	22	1	1	1	25	other	M	3	0	0	0	0	1	0	0	0.2619047619047619	0.0	0.5952380952380952	bette044_Valle_Romance	42
#much	0.06056744765109246	0.009091396408469577	0.6949152542372882	41107905.41833683	0.05821440172525425	23	2300	2	0.2118858779957372	minor	Muchas voces	0.009091396408469576	non-human	834	0	5	9	45	other	O	3	0	0	0	0	1	0	0	0.5476190476190477	0.00021646181924927566	1.0714285714285714	bette044_Valle_Romance	42
#male	0.08398519354003442	0.026838202447958544	0.7592592592592593	50411688.58563438	0.08472067826082691	28	2800	2	0.23464158310472633	minor	EL MANCO LEONÉS	0.026838202447958544	person	586	1	4	10	23	other	M	3	0	0	0	0	1	0	0	0.6666666666666666	0.0006390048201894891	0.5476190476190477	bette044_Valle_Romance	42
#zaga	0.022153484509172074	0.0	0.5466666666666666	5252859.258632989	0.028223593861032438	10	1000	3	0.07574105737935088	minor	EL ZAGAL DE LAS VACAS	0.0	person	212	0	1	6	9	other	M	3	0	0	0	0	1	0	0	0.23809523809523808	0.0	0.21428571428571427	bette044_Valle_Romance	42
#rami	0.0443438914027149	0.0	0.44086021505376344	1061065.8030680048	0.01957473420888055	5	500	3	0.034041164835803724	minor	RAMIRO DE BEALO	0.0	person	685	6	1	7	39	other	M	3	0	0	0	0	1	0	0	0.11904761904761904	0.0	0.9285714285714286	bette044_Valle_Romance	42
#cape	0.06194745568214981	0.02238162244259805	0.7068965517241379	37700359.32452501	0.07512285248430552	24	2400	2	0.2029139655564812	minor	DON MANUELITO	0.022381622442598056	person	3903	31	5	53	13	other	M	3	0	0	0	0	1	0	0	0.5714285714285714	0.0005328957724428107	0.30952380952380953	bette044_Valle_Romance	42
#domi	0.07300836399390456	0.026838202447958544	0.7592592592592593	50411688.58563439	0.08472067826082683	28	2800	2	0.23464158310472633	minor	DOMINGA DE GÓMEZ	0.026838202447958544	person	1303	1	4	21	22	other	F	3	0	0	0	0	1	0	0	0.6666666666666666	0.0006390048201894891	0.5238095238095238	bette044_Valle_Romance	42
#mard	0.009447662157077671	0.0	0.5061728395061729	518813.23881816404	0.018079756364725613	4	400	3	0.02380329314689443	minor	Marinero	0.0	person	18	0	1	1	16	other	M	3	0	0	0	0	1	0	0	0.09523809523809523	0.0	0.38095238095238093	bette044_Valle_Romance	42
