	approximate_current_flow_betweenness_centrality	betweenness	closeness_centrality	communicability_centrality_exp	current_flow_betweenness_centrality	degree	degree-vs	eccentricity	eigenvector_centrality	importance	label	load_centrality	nature	pers_mes_characters	pers_mes_rss	pers_mes_scenes	pers_mes_sps	position	role	sex	importance-nr	is_protagonist	is_lover	is_antagonist	is_primary	is_minor	antagonist	lover	degree-rel	betweenness-rel	position-rel	work	total_characters
#past	0.012305398798422067	0.0	0.4166666666666667	2308.6085338427356	0.02880381170306763	6	600	3	0.036774825632154624	minor	Pastor	0.0	person	415	2	1	6	25	other	M	3	0	0	0	0	1	0	0	0.14634146341463414	0.0	0.6097560975609756	bette045_Valle_Cara	41
#pre1	0.038873047240842604	0.0	0.5555555555555556	73081.1968862709	0.03992038246869735	13	1300	3	0.21758272517211968	minor	Un pregón	0.0	person	99	0	1	2	0	other	M	3	0	0	0	0	1	0	0	0.3170731707317073	0.0	0.0	bette045_Valle_Cara	41
#pich	0.13435271571222243	0.024444444444444446	0.5882352941176471	89465.88298562338	0.10873595801252837	17	1700	3	0.2409444274282315	minor	Pichona la Bisbisera	0.02460470085470085	person	5987	27	5	92	26	other	F	3	0	0	0	0	1	0	0	0.4146341463414634	0.0005962059620596206	0.6341463414634146	bette045_Valle_Cara	41
#pedr	0.0477073501927926	0.0	0.5555555555555556	73081.1968862709	0.0399203824686974	13	1300	3	0.21758272517211968	minor	Don Pedrito	0.0	person	177	1	1	4	3	other	M	3	0	0	0	0	1	0	0	0.3170731707317073	0.0	0.07317073170731707	bette045_Valle_Cara	41
#abad	0.22520944825401995	0.1385199397133786	0.7017543859649122	55980.20209344312	0.2147140917789364	23	2300	2	0.18902037927502502	secondary	El Abad de Lantañón	0.13725050875050873	person	6386	59	8	142	9	antagonist	M	2	0	0	1	0	0	1	0	0.5609756097560976	0.0033785351149604533	0.21951219512195122	bette045_Valle_Cara	41
#pre2	0.04329019871681761	0.0	0.5555555555555556	73081.1968862709	0.03992038246869737	13	1300	3	0.21758272517211968	minor	Otro pregón	0.0	person	83	0	1	2	0	other	M	3	0	0	0	0	1	0	0	0.3170731707317073	0.0	0.0	bette045_Valle_Cara	41
#coim	0.047707350192792604	0.0	0.5555555555555556	73081.1968862709	0.03992038246869732	13	1300	3	0.21758272517211968	minor	La Coima de otro mesón	0.0	person	87	1	1	4	28	other	F	3	0	0	0	0	1	0	0	0.3170731707317073	0.0	0.6829268292682927	bette045_Valle_Cara	41
#jero	0.06743767725340398	0.02018475993589116	0.5882352941176471	16954.00548971118	0.09058170873140824	12	1200	2	0.1028241402560575	minor	Doña Jeromita	0.021707417582417586	person	5459	12	4	120	10	other	F	3	0	0	0	0	1	0	0	0.2926829268292683	0.0004923112179485648	0.24390243902439024	bette045_Valle_Cara	41
#voza	0.0431971056795733	0.0	0.5063291139240507	5051.651088521991	0.0318269139071856	6	600	3	0.0566919183857941	minor	Otras viejas	0.0	person	156	0	1	2	35	other	F	3	0	0	0	0	1	0	0	0.14634146341463414	0.0	0.8536585365853658	bette045_Valle_Cara	41
#peab	0.07202419292868162	0.03662464985994398	0.5714285714285714	24560.87419087001	0.10004486792921102	13	1300	3	0.12501612246747498	minor	Pedro Abuín	0.034760683760683746	person	1322	2	3	22	19	other	M	3	0	0	0	0	1	0	0	0.3170731707317073	0.000893284142925463	0.4634146341463415	bette045_Valle_Cara	41
#mara	0.02562159281291759	0.0	0.5555555555555556	73081.19688627092	0.039920382468697335	13	1300	3	0.21758272517211968	minor	Un maragato	0.0	person	321	1	1	7	29	other	M	3	0	0	0	0	1	0	0	0.3170731707317073	0.0	0.7073170731707317	bette045_Valle_Cara	41
