	approximate_current_flow_betweenness_centrality	betweenness	closeness_centrality	communicability_centrality_exp	current_flow_betweenness_centrality	degree	degree-vs	eccentricity	eigenvector_centrality	importance	label	load_centrality	nature	pers_mes_characters	pers_mes_rss	pers_mes_scenes	pers_mes_sps	position	role	sex	importance-nr	is_protagonist	is_lover	is_antagonist	is_primary	is_minor	antagonist	lover	degree-rel	betweenness-rel	position-rel	work	total_characters
#pepe	0.1187929882320509	0.019696969696969695	0.7333333333333333	190.2980437773867	0.12191736649597293	7	700	2	0.2777401215675516	minor	José	0.019696969696969692	person	953	14	2	16	7	other	M	3	0	0	0	0	1	0	0	0.5833333333333334	0.0016414141414141414	0.5833333333333334	bette056_Unamuno_Esfinge	12
#hima	0.04398021444116266	0.0	0.5789473684210527	34.139671393205454	0.0488734125729323	3	300	2	0.11390980313230041	minor	El Hijo mayor de Felipe	0.0	person	261	0	2	7	11	other	M	3	0	0	0	0	1	0	0	0.25	0.0	0.9166666666666666	bette056_Unamuno_Esfinge	12
#ange	0.2666351659725775	0.15939393939393937	1.0	351.52140050960867	0.24355584953859413	11	1100	1	0.37859621297987756	primary	Ángel	0.1593939393939394	person	43914	131	26	324	1	protagonist	M	1	1	0	0	1	0	0	0	0.9166666666666666	0.01328282828282828	0.08333333333333333	bette056_Unamuno_Esfinge	12
#feli	0.2576972593378646	0.09090909090909091	0.8461538461538461	248.50345333896712	0.20733457831951285	9	900	2	0.31767750789615223	secondary	Felipe	0.09090909090909087	person	5156	29	8	74	4	other	M	2	0	0	0	0	0	0	0	0.75	0.007575757575757576	0.3333333333333333	bette056_Unamuno_Esfinge	12
#eufe	0.12490776707117708	0.0396969696969697	0.8461538461538461	290.117498216114	0.15613731222792207	9	900	2	0.34377665764587145	primary	Eufemia	0.03969696969696969	person	10120	68	16	141	2	lover	F	1	0	1	0	1	0	0	1	0.75	0.0033080808080808086	0.16666666666666666	bette056_Unamuno_Esfinge	12
#teod	0.0874658727308096	0.0	0.6875	165.07755206291537	0.085331917145196	6	600	2	0.2585576710088938	minor	Teodoro	0.0	person	2440	7	2	29	8	other	M	3	0	0	0	0	1	0	0	0.5	0.0	0.6666666666666666	bette056_Unamuno_Esfinge	12
#joaq	0.1466581657135696	0.03969696969696969	0.8461538461538461	294.4837566432139	0.1557594443333362	9	900	2	0.3464745293903762	secondary	Joaquín	0.03969696969696969	person	5560	20	6	88	3	other	M	2	0	0	0	0	0	0	0	0.75	0.0033080808080808073	0.25	bette056_Unamuno_Esfinge	12
#nico	0.14469390446129468	0.03969696969696969	0.8461538461538461	294.4837566432139	0.15575944433333608	9	900	2	0.3464745293903762	minor	Nicolás	0.03969696969696969	person	1887	12	4	34	9	other	M	3	0	0	0	0	1	0	0	0.75	0.0033080808080808073	0.75	bette056_Unamuno_Esfinge	12
#ramo	0.08846078673122505	0.0	0.6875	171.24866917076181	0.08362520793253349	6	600	2	0.2636755020034884	minor	La Tía Ramona	0.0	person	2044	7	5	27	6	other	F	3	0	0	0	0	1	0	0	0.5	0.0	0.5	bette056_Unamuno_Esfinge	12
#euse	0.1151649771669824	0.013939393939393937	0.7857142857142857	258.7426415787601	0.1223110885725974	8	800	2	0.3245942070872137	secondary	Eusebio	0.013939393939393937	person	3445	28	6	47	5	antagonist	M	2	0	0	1	0	0	1	0	0.6666666666666666	0.0011616161616161615	0.4166666666666667	bette056_Unamuno_Esfinge	12
#mart	0.06456031516337754	0.00303030303030303	0.6111111111111112	71.4268132433578	0.0644485577092557	4	400	2	0.16887142562836	minor	Martina	0.0030303030303030316	person	823	0	6	23	10	other	F	3	0	0	0	0	1	0	0	0.3333333333333333	0.00025252525252525247	0.8333333333333334	bette056_Unamuno_Esfinge	12
#hime	0.15128936404448232	0.01212121212121212	0.6470588235294118	93.10560551032975	0.10625121285854978	5	500	2	0.19262269720567377	minor	El Hijo menor de Felipe	0.012121212121212118	person	313	0	3	7	12	other	M	3	0	0	0	0	1	0	0	0.4166666666666667	0.0010101010101010099	1.0	bette056_Unamuno_Esfinge	12
#prod	0.09373725233100243	0.003632478632478632	0.9285714285714286	14185.255386033403	0.07851903705269085	12	1200	2	0.2654333977824056	secondary	Prodosia	0.003632478632478634	person	7470	39	15	74	2	other	F	2	0	0	0	0	0	0	0	0.8571428571428571	0.00025946275946275946	0.14285714285714285	bette053_Munoz_Ortiz	14
#flor	0.09510064588189597	0.006730769230769231	0.9285714285714286	13884.723768383597	0.08122206319321698	12	1200	2	0.2626068139027793	minor	Flora	0.0067307692307692355	person	1412	17	12	18	7	other	F	3	0	0	0	0	1	0	0	0.8571428571428571	0.0004807692307692308	0.5	bette053_Munoz_Ortiz	14
#vale	0.09251954642579648	0.007799145299145298	1.0	16065.655466215314	0.08406517360844279	13	1300	1	0.28248198516648204	minor	Valentina	0.007799145299145303	person	5945	30	22	103	3	other	F	3	0	0	0	0	1	0	0	0.9285714285714286	0.0005570818070818071	0.21428571428571427	bette053_Munoz_Ortiz	14
