	Source	Target	Weight	Type
408	scene_23	scene_24	5.0	Undirected
418	scene_23	scene_34	5.0	Undirected
153	scene_7	scene_14	5.0	Undirected
173	scene_7	scene_34	5.0	Undirected
428	scene_24	scene_34	5.0	Undirected
162	scene_7	scene_23	5.0	Undirected
163	scene_7	scene_24	5.0	Undirected
303	scene_14	scene_34	4.0	Undirected
34	scene_2	scene_23	4.0	Undirected
292	scene_14	scene_23	4.0	Undirected
148	scene_7	scene_9	4.0	Undirected
293	scene_14	scene_24	4.0	Undirected
156	scene_7	scene_17	4.0	Undirected
42	scene_2	scene_34	4.0	Undirected
35	scene_2	scene_24	4.0	Undirected
20	scene_2	scene_7	4.0	Undirected
92	scene_5	scene_7	4.0	Undirected
193	scene_9	scene_17	4.0	Undirected
110	scene_5	scene_25	3.0	Undirected
286	scene_14	scene_17	3.0	Undirected
119	scene_5	scene_34	3.0	Undirected
289	scene_14	scene_20	3.0	Undirected
290	scene_14	scene_21	3.0	Undirected
291	scene_14	scene_22	3.0	Undirected
332	scene_17	scene_25	3.0	Undirected
83	scene_4	scene_25	3.0	Undirected
331	scene_17	scene_24	3.0	Undirected
330	scene_17	scene_23	3.0	Undirected
99	scene_5	scene_14	3.0	Undirected
102	scene_5	scene_17	3.0	Undirected
109	scene_5	scene_24	3.0	Undirected
320	scene_16	scene_24	3.0	Undirected
108	scene_5	scene_23	3.0	Undirected
297	scene_14	scene_28	3.0	Undirected
319	scene_16	scene_23	3.0	Undirected
298	scene_14	scene_29	3.0	Undirected
299	scene_14	scene_30	3.0	Undirected
315	scene_16	scene_17	3.0	Undirected
190	scene_9	scene_14	3.0	Undirected
302	scene_14	scene_33	3.0	Undirected
324	scene_16	scene_34	3.0	Undirected
94	scene_5	scene_9	3.0	Undirected
262	scene_12	scene_34	3.0	Undirected
219	scene_10	scene_24	3.0	Undirected
192	scene_9	scene_16	3.0	Undirected
199	scene_9	scene_23	3.0	Undirected
200	scene_9	scene_24	3.0	Undirected
201	scene_9	scene_25	3.0	Undirected
208	scene_9	scene_34	3.0	Undirected
213	scene_10	scene_16	3.0	Undirected
172	scene_7	scene_33	3.0	Undirected
214	scene_10	scene_17	3.0	Undirected
218	scene_10	scene_23	3.0	Undirected
169	scene_7	scene_30	3.0	Undirected
168	scene_7	scene_29	3.0	Undirected
167	scene_7	scene_28	3.0	Undirected
164	scene_7	scene_25	3.0	Undirected
252	scene_12	scene_24	3.0	Undirected
161	scene_7	scene_22	3.0	Undirected
160	scene_7	scene_21	3.0	Undirected
159	scene_7	scene_20	3.0	Undirected
223	scene_10	scene_34	3.0	Undirected
155	scene_7	scene_16	3.0	Undirected
151	scene_7	scene_12	3.0	Undirected
149	scene_7	scene_10	3.0	Undirected
242	scene_12	scene_14	3.0	Undirected
75	scene_4	scene_17	3.0	Undirected
249	scene_12	scene_21	3.0	Undirected
250	scene_12	scene_22	3.0	Undirected
251	scene_12	scene_23	3.0	Undirected
339	scene_17	scene_34	3.0	Undirected
187	scene_9	scene_10	3.0	Undirected
384	scene_21	scene_23	3.0	Undirected
26	scene_2	scene_14	3.0	Undirected
376	scene_20	scene_28	3.0	Undirected
450	scene_28	scene_30	3.0	Undirected
29	scene_2	scene_17	3.0	Undirected
28	scene_2	scene_16	3.0	Undirected
378	scene_20	scene_30	3.0	Undirected
381	scene_20	scene_33	3.0	Undirected
383	scene_21	scene_22	3.0	Undirected
64	scene_4	scene_5	3.0	Undirected
397	scene_22	scene_24	3.0	Undirected
385	scene_21	scene_24	3.0	Undirected
396	scene_22	scene_23	3.0	Undirected
395	scene_21	scene_34	3.0	Undirected
21	scene_2	scene_9	3.0	Undirected
22	scene_2	scene_10	3.0	Undirected
453	scene_28	scene_33	3.0	Undirected
10	scene_1	scene_16	3.0	Undirected
66	scene_4	scene_7	3.0	Undirected
460	scene_30	scene_33	3.0	Undirected
68	scene_4	scene_9	3.0	Undirected
407	scene_22	scene_34	3.0	Undirected
422	scene_24	scene_28	2.0	Undirected
236	scene_11	scene_30	2.0	Undirected
244	scene_12	scene_16	2.0	Undirected
417	scene_23	scene_33	2.0	Undirected
241	scene_12	scene_13	2.0	Undirected
240	scene_11	scene_34	2.0	Undirected
239	scene_11	scene_33	2.0	Undirected
423	scene_24	scene_29	2.0	Undirected
232	scene_11	scene_24	2.0	Undirected
424	scene_24	scene_30	2.0	Undirected
226	scene_11	scene_14	2.0	Undirected
231	scene_11	scene_23	2.0	Undirected
228	scene_11	scene_20	2.0	Undirected
229	scene_11	scene_21	2.0	Undirected
230	scene_11	scene_22	2.0	Undirected
419	scene_24	scene_25	2.0	Undirected
224	scene_11	scene_12	2.0	Undirected
362	scene_19	scene_28	2.0	Undirected
427	scene_24	scene_33	2.0	Undirected
429	scene_25	scene_26	2.0	Undirected
191	scene_9	scene_15	2.0	Undirected
466	scene_32	scene_34	2.0	Undirected
461	scene_30	scene_34	2.0	Undirected
194	scene_9	scene_18	2.0	Undirected
457	scene_29	scene_34	2.0	Undirected
456	scene_29	scene_33	2.0	Undirected
202	scene_9	scene_26	2.0	Undirected
205	scene_9	scene_29	2.0	Undirected
455	scene_29	scene_30	2.0	Undirected
211	scene_10	scene_14	2.0	Undirected
212	scene_10	scene_15	2.0	Undirected
454	scene_28	scene_34	2.0	Undirected
449	scene_28	scene_29	2.0	Undirected
447	scene_27	scene_33	2.0	Undirected
444	scene_27	scene_30	2.0	Undirected
442	scene_27	scene_28	2.0	Undirected
438	scene_26	scene_29	2.0	Undirected
220	scene_10	scene_25	2.0	Undirected
435	scene_25	scene_34	2.0	Undirected
414	scene_23	scene_30	2.0	Undirected
432	scene_25	scene_29	2.0	Undirected
248	scene_12	scene_20	2.0	Undirected
261	scene_12	scene_33	2.0	Undirected
413	scene_23	scene_29	2.0	Undirected
371	scene_20	scene_23	2.0	Undirected
304	scene_15	scene_16	2.0	Undirected
305	scene_15	scene_17	2.0	Undirected
309	scene_15	scene_23	2.0	Undirected
310	scene_15	scene_24	2.0	Undirected
311	scene_15	scene_25	2.0	Undirected
377	scene_20	scene_29	2.0	Undirected
314	scene_15	scene_34	2.0	Undirected
375	scene_20	scene_27	2.0	Undirected
372	scene_20	scene_24	2.0	Undirected
321	scene_16	scene_25	2.0	Undirected
325	scene_17	scene_18	2.0	Undirected
389	scene_21	scene_28	2.0	Undirected
370	scene_20	scene_22	2.0	Undirected
369	scene_20	scene_21	2.0	Undirected
333	scene_17	scene_26	2.0	Undirected
336	scene_17	scene_29	2.0	Undirected
367	scene_19	scene_33	2.0	Undirected
346	scene_18	scene_25	2.0	Undirected
347	scene_18	scene_26	2.0	Undirected
350	scene_18	scene_29	2.0	Undirected
364	scene_19	scene_30	2.0	Undirected
354	scene_19	scene_20	2.0	Undirected
382	scene_20	scene_34	2.0	Undirected
296	scene_14	scene_27	2.0	Undirected
412	scene_23	scene_28	2.0	Undirected
283	scene_13	scene_34	2.0	Undirected
409	scene_23	scene_25	2.0	Undirected
256	scene_12	scene_28	2.0	Undirected
257	scene_12	scene_29	2.0	Undirected
258	scene_12	scene_30	2.0	Undirected
361	scene_19	scene_27	2.0	Undirected
263	scene_13	scene_14	2.0	Undirected
270	scene_13	scene_21	2.0	Undirected
271	scene_13	scene_22	2.0	Undirected
272	scene_13	scene_23	2.0	Undirected
273	scene_13	scene_24	2.0	Undirected
285	scene_14	scene_16	2.0	Undirected
390	scene_21	scene_29	2.0	Undirected
406	scene_22	scene_33	2.0	Undirected
287	scene_14	scene_18	2.0	Undirected
403	scene_22	scene_30	2.0	Undirected
288	scene_14	scene_19	2.0	Undirected
402	scene_22	scene_29	2.0	Undirected
401	scene_22	scene_28	2.0	Undirected
294	scene_14	scene_25	2.0	Undirected
295	scene_14	scene_26	2.0	Undirected
394	scene_21	scene_33	2.0	Undirected
391	scene_21	scene_30	2.0	Undirected
0	scene_1	scene_2	2.0	Undirected
234	scene_11	scene_28	2.0	Undirected
467	scene_33	scene_34	2.0	Undirected
18	scene_2	scene_5	2.0	Undirected
101	scene_5	scene_16	2.0	Undirected
100	scene_5	scene_15	2.0	Undirected
39	scene_2	scene_29	2.0	Undirected
98	scene_5	scene_13	2.0	Undirected
58	scene_3	scene_23	2.0	Undirected
