	Source	Target	Weight	Type
9	#just	#conc	14.0	Undirected
3	#mati	#fern	13.0	Undirected
0	#mati	#just	11.0	Undirected
10	#just	#fern	10.0	Undirected
20	#conc	#lore	10.0	Undirected
11	#just	#lore	10.0	Undirected
8	#just	#enri	10.0	Undirected
1	#mati	#enri	9.0	Undirected
16	#enri	#fern	7.0	Undirected
24	#fern	#lore	6.0	Undirected
15	#enri	#conc	6.0	Undirected
19	#conc	#fern	5.0	Undirected
4	#mati	#lore	5.0	Undirected
2	#mati	#conc	5.0	Undirected
17	#enri	#lore	4.0	Undirected
30	#lore	#cria	2.0	Undirected
14	#just	#cria	2.0	Undirected
6	#mati	#dolo	2.0	Undirected
18	#enri	#juli	2.0	Undirected
23	#conc	#cria	2.0	Undirected
25	#fern	#juli	1.0	Undirected
29	#lore	#dolo	1.0	Undirected
28	#lore	#juli	1.0	Undirected
27	#fern	#cria	1.0	Undirected
26	#fern	#dolo	1.0	Undirected
7	#mati	#cria	1.0	Undirected
22	#conc	#dolo	1.0	Undirected
12	#just	#juli	1.0	Undirected
5	#mati	#juli	1.0	Undirected
13	#just	#dolo	1.0	Undirected
21	#conc	#juli	1.0	Undirected
