	scene_1	scene_2	scene_3	scene_4	scene_5	scene_6	scene_7	scene_8	scene_9	scene_10	scene_11	scene_12	scene_13	scene_14	scene_15	scene_16	scene_17	scene_18	scene_19	scene_20	scene_21	scene_22	scene_23	scene_24	scene_25	scene_26	scene_27	scene_28	scene_29	scene_30	scene_31	scene_32	scene_33	scene_34
#mati	0	0	0	0	8	40	8	0	0	0	31	2	33	4	0	0	0	0	25	3	19	6	19	32	0	0	26	10	0	4	1	22	12	1
#just	0	1	20	14	1	41	1	0	3	24	0	7	34	3	22	7	5	7	0	0	1	10	18	4	11	37	0	0	7	0	0	0	0	2
#enri	0	0	0	24	8	0	7	32	8	0	0	0	0	3	0	0	5	7	26	4	0	0	0	0	4	38	27	7	4	10	0	0	8	0
#conc	30	7	19	19	4	0	7	0	11	24	0	0	0	0	23	9	7	0	0	0	0	0	1	11	16	0	0	0	0	0	0	0	0	4
#fern	0	6	0	0	0	0	9	0	0	0	30	6	0	1	0	0	0	0	0	5	21	13	3	26	0	0	0	15	7	15	0	0	11	5
#lore	28	1	0	0	0	0	1	0	3	26	0	0	0	1	0	10	5	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1
#juli	0	0	0	0	0	0	1	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#dolo	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	1
#cria	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#sras	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#stas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
