	Source	Target	Weight	Type
217	scene_13	scene_14	7.0	Undirected
62	scene_3	scene_15	4.0	Undirected
26	scene_2	scene_3	4.0	Undirected
38	scene_2	scene_15	4.0	Undirected
204	scene_12	scene_15	4.0	Undirected
35	scene_2	scene_12	4.0	Undirected
59	scene_3	scene_12	4.0	Undirected
0	scene_1	scene_2	3.0	Undirected
74	scene_3	scene_27	3.0	Undirected
72	scene_3	scene_25	3.0	Undirected
71	scene_3	scene_24	3.0	Undirected
255	scene_15	scene_27	3.0	Undirected
64	scene_3	scene_17	3.0	Undirected
60	scene_3	scene_13	3.0	Undirected
61	scene_3	scene_14	3.0	Undirected
245	scene_15	scene_17	3.0	Undirected
57	scene_3	scene_10	3.0	Undirected
50	scene_2	scene_27	3.0	Undirected
48	scene_2	scene_25	3.0	Undirected
47	scene_2	scene_24	3.0	Undirected
273	scene_17	scene_24	3.0	Undirected
252	scene_15	scene_24	3.0	Undirected
241	scene_14	scene_25	3.0	Undirected
243	scene_14	scene_27	3.0	Undirected
276	scene_17	scene_27	3.0	Undirected
1	scene_1	scene_3	3.0	Undirected
171	scene_10	scene_12	3.0	Undirected
174	scene_10	scene_15	3.0	Undirected
202	scene_12	scene_13	3.0	Undirected
203	scene_12	scene_14	3.0	Undirected
206	scene_12	scene_17	3.0	Undirected
213	scene_12	scene_24	3.0	Undirected
214	scene_12	scene_25	3.0	Undirected
216	scene_12	scene_27	3.0	Undirected
218	scene_13	scene_15	3.0	Undirected
220	scene_13	scene_17	3.0	Undirected
227	scene_13	scene_24	3.0	Undirected
228	scene_13	scene_25	3.0	Undirected
230	scene_13	scene_27	3.0	Undirected
231	scene_14	scene_15	3.0	Undirected
233	scene_14	scene_17	3.0	Undirected
240	scene_14	scene_24	3.0	Undirected
274	scene_17	scene_25	3.0	Undirected
253	scene_15	scene_25	3.0	Undirected
287	scene_19	scene_21	3.0	Undirected
286	scene_19	scene_20	3.0	Undirected
294	scene_20	scene_21	3.0	Undirected
13	scene_1	scene_15	3.0	Undirected
33	scene_2	scene_10	3.0	Undirected
8	scene_1	scene_10	3.0	Undirected
36	scene_2	scene_13	3.0	Undirected
315	scene_24	scene_25	3.0	Undirected
295	scene_20	scene_22	3.0	Undirected
10	scene_1	scene_12	3.0	Undirected
317	scene_24	scene_27	3.0	Undirected
37	scene_2	scene_14	3.0	Undirected
319	scene_25	scene_27	3.0	Undirected
40	scene_2	scene_17	3.0	Undirected
210	scene_12	scene_21	2.0	Undirected
212	scene_12	scene_23	2.0	Undirected
311	scene_22	scene_27	2.0	Undirected
209	scene_12	scene_20	2.0	Undirected
208	scene_12	scene_19	2.0	Undirected
211	scene_12	scene_22	2.0	Undirected
219	scene_13	scene_16	2.0	Undirected
309	scene_22	scene_25	2.0	Undirected
308	scene_22	scene_24	2.0	Undirected
306	scene_21	scene_27	2.0	Undirected
221	scene_13	scene_18	2.0	Undirected
222	scene_13	scene_19	2.0	Undirected
223	scene_13	scene_20	2.0	Undirected
224	scene_13	scene_21	2.0	Undirected
225	scene_13	scene_22	2.0	Undirected
226	scene_13	scene_23	2.0	Undirected
207	scene_12	scene_18	2.0	Undirected
277	scene_18	scene_19	2.0	Undirected
205	scene_12	scene_16	2.0	Undirected
179	scene_10	scene_20	2.0	Undirected
153	scene_7	scene_27	2.0	Undirected
157	scene_8	scene_12	2.0	Undirected
170	scene_10	scene_11	2.0	Undirected
172	scene_10	scene_13	2.0	Undirected
173	scene_10	scene_14	2.0	Undirected
175	scene_10	scene_16	2.0	Undirected
176	scene_10	scene_17	2.0	Undirected
177	scene_10	scene_18	2.0	Undirected
178	scene_10	scene_19	2.0	Undirected
180	scene_10	scene_21	2.0	Undirected
312	scene_23	scene_24	2.0	Undirected
181	scene_10	scene_22	2.0	Undirected
183	scene_10	scene_24	2.0	Undirected
184	scene_10	scene_25	2.0	Undirected
186	scene_10	scene_27	2.0	Undirected
187	scene_11	scene_12	2.0	Undirected
190	scene_11	scene_15	2.0	Undirected
303	scene_21	scene_24	2.0	Undirected
314	scene_23	scene_27	2.0	Undirected
313	scene_23	scene_25	2.0	Undirected
304	scene_21	scene_25	2.0	Undirected
232	scene_14	scene_16	2.0	Undirected
229	scene_13	scene_26	2.0	Undirected
280	scene_18	scene_22	2.0	Undirected
256	scene_16	scene_17	2.0	Undirected
257	scene_16	scene_18	2.0	Undirected
258	scene_16	scene_19	2.0	Undirected
259	scene_16	scene_20	2.0	Undirected
260	scene_16	scene_21	2.0	Undirected
285	scene_18	scene_27	2.0	Undirected
261	scene_16	scene_22	2.0	Undirected
283	scene_18	scene_25	2.0	Undirected
282	scene_18	scene_24	2.0	Undirected
263	scene_16	scene_24	2.0	Undirected
301	scene_21	scene_22	2.0	Undirected
264	scene_16	scene_25	2.0	Undirected
266	scene_16	scene_27	2.0	Undirected
267	scene_17	scene_18	2.0	Undirected
268	scene_17	scene_19	2.0	Undirected
269	scene_17	scene_20	2.0	Undirected
270	scene_17	scene_21	2.0	Undirected
271	scene_17	scene_22	2.0	Undirected
279	scene_18	scene_21	2.0	Undirected
272	scene_17	scene_23	2.0	Undirected
288	scene_19	scene_22	2.0	Undirected
