	Source	Target	Weight	Type
0	#tia	#ama	21.0	Undirected
14	#ama	#rosi	11.0	Undirected
1	#tia	#rosi	11.0	Undirected
2	#tia	#tio	7.0	Undirected
15	#ama	#tio	6.0	Undirected
30	#rosi	#tio	5.0	Undirected
4	#tia	#mart	3.0	Undirected
17	#ama	#mart	3.0	Undirected
18	#ama	#sol3	3.0	Undirected
45	#madr	#sol1	2.0	Undirected
46	#madr	#sol2	2.0	Undirected
3	#tia	#madr	2.0	Undirected
29	#ama	#obre	2.0	Undirected
50	#sol3	#sol1	2.0	Undirected
51	#sol3	#sol2	2.0	Undirected
25	#ama	#sol2	2.0	Undirected
42	#madr	#sol3	2.0	Undirected
35	#rosi	#sol1	2.0	Undirected
21	#ama	#sol1	2.0	Undirected
31	#rosi	#madr	2.0	Undirected
32	#rosi	#sol3	2.0	Undirected
16	#ama	#madr	2.0	Undirected
5	#tia	#sol3	2.0	Undirected
13	#tia	#obre	2.0	Undirected
57	#sol1	#sol2	2.0	Undirected
11	#tia	#sol2	2.0	Undirected
38	#rosi	#sol2	2.0	Undirected
8	#tia	#sol1	2.0	Undirected
47	#mart	#obre	1.0	Undirected
48	#sol3	#ayo1	1.0	Undirected
44	#madr	#ayo2	1.0	Undirected
6	#tia	#ayo1	1.0	Undirected
53	#ayo1	#sol1	1.0	Undirected
49	#sol3	#ayo2	1.0	Undirected
52	#ayo1	#ayo2	1.0	Undirected
54	#ayo1	#sol2	1.0	Undirected
55	#ayo2	#sol1	1.0	Undirected
56	#ayo2	#sol2	1.0	Undirected
58	#man1	#man2	1.0	Undirected
59	#man1	#man3	1.0	Undirected
43	#madr	#ayo1	1.0	Undirected
33	#rosi	#ayo1	1.0	Undirected
41	#tio	#voz	1.0	Undirected
24	#ama	#sobr	1.0	Undirected
9	#tia	#much	1.0	Undirected
10	#tia	#sobr	1.0	Undirected
12	#tia	#voz	1.0	Undirected
19	#ama	#ayo1	1.0	Undirected
20	#ama	#ayo2	1.0	Undirected
22	#ama	#much	1.0	Undirected
23	#ama	#man1	1.0	Undirected
26	#ama	#man2	1.0	Undirected
40	#rosi	#man3	1.0	Undirected
27	#ama	#man3	1.0	Undirected
28	#ama	#voz	1.0	Undirected
7	#tia	#ayo2	1.0	Undirected
34	#rosi	#ayo2	1.0	Undirected
36	#rosi	#much	1.0	Undirected
37	#rosi	#man1	1.0	Undirected
39	#rosi	#man2	1.0	Undirected
60	#man2	#man3	1.0	Undirected
