	Source	Target	Weight	Type
0	#yerm	#juan	5.0	Undirected
1	#yerm	#mari	3.0	Undirected
16	#juan	#víct	3.0	Undirected
15	#juan	#viej	3.0	Undirected
14	#juan	#mari	3.0	Undirected
17	#juan	#much	3.0	Undirected
4	#yerm	#much	3.0	Undirected
3	#yerm	#víct	3.0	Undirected
2	#yerm	#viej	3.0	Undirected
29	#mari	#much	2.0	Undirected
39	#viej	#much	2.0	Undirected
48	#víct	#much	2.0	Undirected
28	#mari	#víct	2.0	Undirected
22	#juan	#cuna	2.0	Undirected
9	#yerm	#cuna	2.0	Undirected
53	#much	#mach	1.0	Undirected
55	#much	#hemb	1.0	Undirected
54	#much	#cuna	1.0	Undirected
51	#much	#homb	1.0	Undirected
52	#much	#muje	1.0	Undirected
57	#much	#coro	1.0	Undirected
50	#víct	#cant	1.0	Undirected
49	#víct	#cuna	1.0	Undirected
47	#viej	#coro	1.0	Undirected
46	#viej	#nin	1.0	Undirected
56	#much	#nin	1.0	Undirected
61	#homb	#hemb	1.0	Undirected
58	#dolo	#cuna	1.0	Undirected
59	#homb	#muje	1.0	Undirected
60	#homb	#mach	1.0	Undirected
44	#viej	#cuna	1.0	Undirected
62	#homb	#nin	1.0	Undirected
63	#homb	#coro	1.0	Undirected
64	#muje	#mach	1.0	Undirected
65	#muje	#hemb	1.0	Undirected
66	#muje	#nin	1.0	Undirected
67	#muje	#coro	1.0	Undirected
68	#mach	#hemb	1.0	Undirected
69	#mach	#nin	1.0	Undirected
70	#mach	#coro	1.0	Undirected
71	#hemb	#nin	1.0	Undirected
72	#hemb	#coro	1.0	Undirected
45	#viej	#hemb	1.0	Undirected
37	#mari	#cant	1.0	Undirected
43	#viej	#mach	1.0	Undirected
42	#viej	#muje	1.0	Undirected
5	#yerm	#dolo	1.0	Undirected
6	#yerm	#homb	1.0	Undirected
7	#yerm	#muje	1.0	Undirected
8	#yerm	#mach	1.0	Undirected
10	#yerm	#hemb	1.0	Undirected
11	#yerm	#nin	1.0	Undirected
12	#yerm	#coro	1.0	Undirected
13	#yerm	#cant	1.0	Undirected
18	#juan	#dolo	1.0	Undirected
19	#juan	#homb	1.0	Undirected
20	#juan	#muje	1.0	Undirected
21	#juan	#mach	1.0	Undirected
23	#juan	#hemb	1.0	Undirected
24	#juan	#nin	1.0	Undirected
25	#juan	#coro	1.0	Undirected
26	#juan	#cant	1.0	Undirected
27	#mari	#viej	1.0	Undirected
30	#mari	#homb	1.0	Undirected
31	#mari	#muje	1.0	Undirected
32	#mari	#mach	1.0	Undirected
33	#mari	#cuna	1.0	Undirected
34	#mari	#hemb	1.0	Undirected
35	#mari	#nin	1.0	Undirected
36	#mari	#coro	1.0	Undirected
38	#viej	#víct	1.0	Undirected
40	#viej	#dolo	1.0	Undirected
41	#viej	#homb	1.0	Undirected
73	#nin	#coro	1.0	Undirected
