	Source	Target	Weight	Type
64	scene_7	scene_8	5.0	Undirected
132	scene_19	scene_20	4.0	Undirected
131	scene_18	scene_20	3.0	Undirected
127	scene_16	scene_20	3.0	Undirected
125	scene_16	scene_18	3.0	Undirected
67	scene_7	scene_12	3.0	Undirected
117	scene_14	scene_16	3.0	Undirected
56	scene_5	scene_12	3.0	Undirected
36	scene_4	scene_5	3.0	Undirected
77	scene_8	scene_12	3.0	Undirected
59	scene_5	scene_16	3.0	Undirected
14	scene_2	scene_8	3.0	Undirected
63	scene_5	scene_20	2.0	Undirected
73	scene_7	scene_19	2.0	Undirected
71	scene_7	scene_17	2.0	Undirected
70	scene_7	scene_16	2.0	Undirected
58	scene_5	scene_14	2.0	Undirected
61	scene_5	scene_18	2.0	Undirected
60	scene_5	scene_17	2.0	Undirected
53	scene_5	scene_9	2.0	Undirected
52	scene_5	scene_8	2.0	Undirected
51	scene_5	scene_7	2.0	Undirected
49	scene_4	scene_19	2.0	Undirected
76	scene_8	scene_10	2.0	Undirected
82	scene_8	scene_18	2.0	Undirected
80	scene_8	scene_16	2.0	Undirected
81	scene_8	scene_17	2.0	Undirected
124	scene_16	scene_17	2.0	Undirected
122	scene_15	scene_19	2.0	Undirected
121	scene_14	scene_20	2.0	Undirected
119	scene_14	scene_18	2.0	Undirected
111	scene_12	scene_19	2.0	Undirected
109	scene_12	scene_17	2.0	Undirected
108	scene_12	scene_16	2.0	Undirected
105	scene_11	scene_20	2.0	Undirected
104	scene_11	scene_18	2.0	Undirected
103	scene_11	scene_16	2.0	Undirected
102	scene_11	scene_14	2.0	Undirected
90	scene_9	scene_16	2.0	Undirected
89	scene_9	scene_14	2.0	Undirected
83	scene_8	scene_19	2.0	Undirected
44	scene_4	scene_14	2.0	Undirected
46	scene_4	scene_16	2.0	Undirected
0	scene_1	scene_2	2.0	Undirected
23	scene_3	scene_5	2.0	Undirected
13	scene_2	scene_7	2.0	Undirected
19	scene_2	scene_18	2.0	Undirected
25	scene_3	scene_8	2.0	Undirected
39	scene_4	scene_9	2.0	Undirected
31	scene_3	scene_16	2.0	Undirected
9	scene_1	scene_18	2.0	Undirected
32	scene_3	scene_17	2.0	Undirected
16	scene_2	scene_12	2.0	Undirected
28	scene_3	scene_12	2.0	Undirected
24	scene_3	scene_7	2.0	Undirected
11	scene_2	scene_3	1.0	Undirected
12	scene_2	scene_5	1.0	Undirected
107	scene_12	scene_14	1.0	Undirected
106	scene_12	scene_13	1.0	Undirected
43	scene_4	scene_13	1.0	Undirected
15	scene_2	scene_10	1.0	Undirected
17	scene_2	scene_16	1.0	Undirected
101	scene_10	scene_19	1.0	Undirected
100	scene_10	scene_18	1.0	Undirected
99	scene_10	scene_17	1.0	Undirected
98	scene_10	scene_16	1.0	Undirected
97	scene_10	scene_14	1.0	Undirected
96	scene_10	scene_13	1.0	Undirected
95	scene_10	scene_12	1.0	Undirected
110	scene_12	scene_18	1.0	Undirected
112	scene_12	scene_20	1.0	Undirected
10	scene_1	scene_20	1.0	Undirected
123	scene_15	scene_20	1.0	Undirected
2	scene_1	scene_5	1.0	Undirected
130	scene_17	scene_20	1.0	Undirected
129	scene_17	scene_19	1.0	Undirected
128	scene_17	scene_18	1.0	Undirected
3	scene_1	scene_8	1.0	Undirected
126	scene_16	scene_19	1.0	Undirected
4	scene_1	scene_9	1.0	Undirected
5	scene_1	scene_10	1.0	Undirected
6	scene_1	scene_11	1.0	Undirected
93	scene_9	scene_19	1.0	Undirected
7	scene_1	scene_14	1.0	Undirected
120	scene_14	scene_19	1.0	Undirected
8	scene_1	scene_16	1.0	Undirected
118	scene_14	scene_17	1.0	Undirected
116	scene_13	scene_19	1.0	Undirected
115	scene_13	scene_17	1.0	Undirected
114	scene_13	scene_16	1.0	Undirected
113	scene_13	scene_14	1.0	Undirected
94	scene_9	scene_20	1.0	Undirected
88	scene_9	scene_13	1.0	Undirected
92	scene_9	scene_18	1.0	Undirected
91	scene_9	scene_17	1.0	Undirected
65	scene_7	scene_9	1.0	Undirected
30	scene_3	scene_14	1.0	Undirected
62	scene_5	scene_19	1.0	Undirected
33	scene_3	scene_18	1.0	Undirected
34	scene_3	scene_19	1.0	Undirected
35	scene_3	scene_20	1.0	Undirected
57	scene_5	scene_13	1.0	Undirected
37	scene_4	scene_7	1.0	Undirected
55	scene_5	scene_11	1.0	Undirected
54	scene_5	scene_10	1.0	Undirected
38	scene_4	scene_8	1.0	Undirected
40	scene_4	scene_10	1.0	Undirected
50	scene_4	scene_20	1.0	Undirected
41	scene_4	scene_11	1.0	Undirected
48	scene_4	scene_18	1.0	Undirected
47	scene_4	scene_17	1.0	Undirected
42	scene_4	scene_12	1.0	Undirected
1	scene_1	scene_4	1.0	Undirected
29	scene_3	scene_13	1.0	Undirected
68	scene_7	scene_13	1.0	Undirected
21	scene_2	scene_20	1.0	Undirected
18	scene_2	scene_17	1.0	Undirected
45	scene_4	scene_15	1.0	Undirected
87	scene_9	scene_12	1.0	Undirected
86	scene_9	scene_11	1.0	Undirected
85	scene_9	scene_10	1.0	Undirected
84	scene_8	scene_20	1.0	Undirected
20	scene_2	scene_19	1.0	Undirected
22	scene_3	scene_4	1.0	Undirected
69	scene_7	scene_14	1.0	Undirected
79	scene_8	scene_14	1.0	Undirected
78	scene_8	scene_13	1.0	Undirected
75	scene_8	scene_9	1.0	Undirected
74	scene_7	scene_20	1.0	Undirected
26	scene_3	scene_9	1.0	Undirected
72	scene_7	scene_18	1.0	Undirected
27	scene_3	scene_10	1.0	Undirected
66	scene_7	scene_10	1.0	Undirected
