	Source	Target	Weight	Type
0	#max	#lati	9.0	Undirected
116	#dori	#clar	3.0	Undirected
69	#lati	#clar	3.0	Undirected
68	#lati	#pere	3.0	Undirected
65	#lati	#guar	3.0	Undirected
57	#lati	#port	3.0	Undirected
242	#pere	#clar	3.0	Undirected
21	#max	#guar	3.0	Undirected
45	#lati	#pisa	3.0	Undirected
46	#lati	#dori	3.0	Undirected
115	#dori	#pere	3.0	Undirected
23	#max	#otro	2.0	Undirected
59	#lati	#grup	2.0	Undirected
38	#max	#voz	2.0	Undirected
60	#lati	#borr	2.0	Undirected
125	#coll	#clau	2.0	Undirected
48	#lati	#coll	2.0	Undirected
67	#lati	#otro	2.0	Undirected
188	#sere	#guar	2.0	Undirected
51	#lati	#clau	2.0	Undirected
53	#lati	#pica	2.0	Undirected
58	#lati	#sere	2.0	Undirected
54	#lati	#chic	2.0	Undirected
156	#chic	#borr	2.0	Undirected
16	#max	#sere	2.0	Undirected
219	#guar	#otro	2.0	Undirected
1	#max	#pisa	2.0	Undirected
92	#pisa	#chic	2.0	Undirected
91	#pisa	#pica	2.0	Undirected
15	#max	#port	2.0	Undirected
95	#pisa	#borr	2.0	Undirected
17	#max	#grup	2.0	Undirected
203	#grup	#otro	2.0	Undirected
202	#grup	#guar	2.0	Undirected
150	#pica	#chic	2.0	Undirected
151	#pica	#borr	2.0	Undirected
190	#sere	#otro	1.0	Undirected
206	#grup	#capi	1.0	Undirected
208	#grup	#veno	1.0	Undirected
207	#grup	#guin	1.0	Undirected
191	#sere	#pere	1.0	Undirected
200	#sere	#trap	1.0	Undirected
204	#grup	#pere	1.0	Undirected
205	#grup	#clar	1.0	Undirected
199	#sere	#veja	1.0	Undirected
192	#sere	#clar	1.0	Undirected
193	#sere	#empe	1.0	Undirected
194	#sere	#capi	1.0	Undirected
195	#sere	#tabe	1.0	Undirected
196	#sere	#reti	1.0	Undirected
201	#sepu	#osep	1.0	Undirected
198	#sere	#veno	1.0	Undirected
197	#sere	#alba	1.0	Undirected
186	#port	#trap	1.0	Undirected
189	#sere	#madr	1.0	Undirected
171	#zara	#gato	1.0	Undirected
157	#chic	#poll	1.0	Undirected
158	#chic	#rey	1.0	Undirected
159	#chic	#voz	1.0	Undirected
160	#chic	#peri	1.0	Undirected
161	#dieg	#ujie	1.0	Undirected
162	#gay	#zara	1.0	Undirected
163	#gay	#chica	1.0	Undirected
164	#gay	#can	1.0	Undirected
165	#gay	#loro	1.0	Undirected
166	#gay	#gato	1.0	Undirected
167	#gay	#pelo	1.0	Undirected
168	#zara	#chica	1.0	Undirected
169	#zara	#can	1.0	Undirected
170	#zara	#loro	1.0	Undirected
172	#zara	#pelo	1.0	Undirected
187	#sere	#grup	1.0	Undirected
173	#port	#sere	1.0	Undirected
174	#port	#basi	1.0	Undirected
175	#port	#guar	1.0	Undirected
176	#port	#madr	1.0	Undirected
177	#port	#pere	1.0	Undirected
178	#port	#clar	1.0	Undirected
179	#port	#veci	1.0	Undirected
180	#port	#empe	1.0	Undirected
181	#port	#tabe	1.0	Undirected
182	#port	#reti	1.0	Undirected
183	#port	#alba	1.0	Undirected
184	#port	#coch	1.0	Undirected
185	#port	#veja	1.0	Undirected
210	#borr	#rey	1.0	Undirected
209	#borr	#poll	1.0	Undirected
222	#guar	#empe	1.0	Undirected
211	#borr	#voz	1.0	Undirected
246	#pere	#cons	1.0	Undirected
248	#clar	#coch	1.0	Undirected
249	#clar	#veno	1.0	Undirected
250	#clar	#cons	1.0	Undirected
251	#empe	#tabe	1.0	Undirected
252	#empe	#reti	1.0	Undirected
253	#empe	#alba	1.0	Undirected
254	#empe	#veja	1.0	Undirected
255	#empe	#trap	1.0	Undirected
256	#capi	#veno	1.0	Undirected
257	#tabe	#reti	1.0	Undirected
258	#tabe	#alba	1.0	Undirected
259	#tabe	#veja	1.0	Undirected
260	#tabe	#trap	1.0	Undirected
261	#reti	#alba	1.0	Undirected
262	#reti	#veja	1.0	Undirected
263	#reti	#trap	1.0	Undirected
264	#alba	#veja	1.0	Undirected
265	#alba	#trap	1.0	Undirected
266	#chica	#can	1.0	Undirected
267	#chica	#loro	1.0	Undirected
268	#chica	#gato	1.0	Undirected
269	#chica	#pelo	1.0	Undirected
270	#can	#loro	1.0	Undirected
271	#can	#gato	1.0	Undirected
272	#can	#pelo	1.0	Undirected
273	#llav	#voz	1.0	Undirected
274	#veja	#trap	1.0	Undirected
275	#loro	#gato	1.0	Undirected
276	#loro	#pelo	1.0	Undirected
247	#clar	#capi	1.0	Undirected
245	#pere	#veno	1.0	Undirected
212	#borr	#peri	1.0	Undirected
244	#pere	#coch	1.0	Undirected
213	#poll	#peri	1.0	Undirected
214	#rey	#voz	1.0	Undirected
215	#basi	#pere	1.0	Undirected
216	#basi	#clar	1.0	Undirected
217	#basi	#coch	1.0	Undirected
218	#guar	#madr	1.0	Undirected
220	#guar	#pere	1.0	Undirected
221	#guar	#clar	1.0	Undirected
154	#pica	#voz	1.0	Undirected
223	#guar	#capi	1.0	Undirected
224	#guar	#tabe	1.0	Undirected
225	#guar	#reti	1.0	Undirected
226	#guar	#alba	1.0	Undirected
227	#guar	#guin	1.0	Undirected
228	#guar	#veno	1.0	Undirected
229	#guar	#veja	1.0	Undirected
230	#guar	#trap	1.0	Undirected
231	#madr	#empe	1.0	Undirected
232	#madr	#tabe	1.0	Undirected
233	#madr	#reti	1.0	Undirected
234	#madr	#alba	1.0	Undirected
235	#madr	#veja	1.0	Undirected
236	#madr	#trap	1.0	Undirected
237	#otro	#pere	1.0	Undirected
238	#otro	#clar	1.0	Undirected
239	#otro	#capi	1.0	Undirected
240	#otro	#guin	1.0	Undirected
241	#otro	#veno	1.0	Undirected
243	#pere	#capi	1.0	Undirected
155	#pica	#peri	1.0	Undirected
139	#clau	#pere	1.0	Undirected
153	#pica	#rey	1.0	Undirected
62	#lati	#viej	1.0	Undirected
39	#max	#veno	1.0	Undirected
40	#max	#veja	1.0	Undirected
41	#max	#loro	1.0	Undirected
42	#max	#gato	1.0	Undirected
43	#max	#pelo	1.0	Undirected
44	#max	#trap	1.0	Undirected
47	#lati	#rube	1.0	Undirected
