	Source	Target	Weight	Type
17	scene_3	scene_7	5.0	Undirected
8	scene_2	scene_3	4.0	Undirected
10	scene_2	scene_7	4.0	Undirected
47	scene_9	scene_10	3.0	Undirected
42	scene_7	scene_10	3.0	Undirected
41	scene_7	scene_9	3.0	Undirected
38	scene_6	scene_10	2.0	Undirected
37	scene_6	scene_9	2.0	Undirected
30	scene_5	scene_7	2.0	Undirected
32	scene_5	scene_9	2.0	Undirected
33	scene_5	scene_10	2.0	Undirected
35	scene_6	scene_7	2.0	Undirected
20	scene_3	scene_10	2.0	Undirected
19	scene_3	scene_9	2.0	Undirected
18	scene_3	scene_8	2.0	Undirected
29	scene_5	scene_6	2.0	Undirected
40	scene_7	scene_8	2.0	Undirected
44	scene_8	scene_9	2.0	Undirected
45	scene_8	scene_10	2.0	Undirected
36	scene_6	scene_8	1.0	Undirected
28	scene_4	scene_11	1.0	Undirected
39	scene_6	scene_11	1.0	Undirected
43	scene_7	scene_11	1.0	Undirected
34	scene_5	scene_11	1.0	Undirected
46	scene_8	scene_11	1.0	Undirected
31	scene_5	scene_8	1.0	Undirected
48	scene_9	scene_11	1.0	Undirected
0	scene_1	scene_2	1.0	Undirected
25	scene_4	scene_8	1.0	Undirected
27	scene_4	scene_10	1.0	Undirected
12	scene_2	scene_9	1.0	Undirected
2	scene_1	scene_4	1.0	Undirected
3	scene_1	scene_5	1.0	Undirected
4	scene_1	scene_6	1.0	Undirected
5	scene_1	scene_7	1.0	Undirected
6	scene_1	scene_9	1.0	Undirected
7	scene_1	scene_10	1.0	Undirected
9	scene_2	scene_4	1.0	Undirected
11	scene_2	scene_8	1.0	Undirected
13	scene_2	scene_10	1.0	Undirected
26	scene_4	scene_9	1.0	Undirected
14	scene_3	scene_4	1.0	Undirected
15	scene_3	scene_5	1.0	Undirected
16	scene_3	scene_6	1.0	Undirected
21	scene_3	scene_11	1.0	Undirected
22	scene_4	scene_5	1.0	Undirected
23	scene_4	scene_6	1.0	Undirected
24	scene_4	scene_7	1.0	Undirected
1	scene_1	scene_3	1.0	Undirected
49	scene_10	scene_11	1.0	Undirected
