	Source	Target	Weight	Type
0	#tere	#fern	5.0	Undirected
1	#tere	#roqu	5.0	Undirected
26	#min1	#min3	3.0	Undirected
25	#min1	#min2	3.0	Undirected
17	#roqu	#min3	3.0	Undirected
16	#roqu	#min2	3.0	Undirected
15	#roqu	#min1	3.0	Undirected
27	#min2	#min3	3.0	Undirected
7	#fern	#roqu	3.0	Undirected
6	#tere	#min3	2.0	Undirected
5	#tere	#min2	2.0	Undirected
4	#tere	#min1	2.0	Undirected
8	#fern	#rita	1.0	Undirected
20	#rita	#min2	1.0	Undirected
2	#tere	#rita	1.0	Undirected
3	#tere	#palm	1.0	Undirected
24	#palm	#min3	1.0	Undirected
23	#palm	#min2	1.0	Undirected
22	#palm	#min1	1.0	Undirected
21	#rita	#min3	1.0	Undirected
18	#rita	#palm	1.0	Undirected
19	#rita	#min1	1.0	Undirected
9	#fern	#palm	1.0	Undirected
13	#roqu	#rita	1.0	Undirected
12	#fern	#min3	1.0	Undirected
11	#fern	#min2	1.0	Undirected
10	#fern	#min1	1.0	Undirected
14	#roqu	#palm	1.0	Undirected
