	Source	Target	Weight	Type
17	#cuel	#laur	4.0	Undirected
15	#iren	#fern	3.0	Undirected
14	#iren	#laur	3.0	Undirected
21	#laur	#fern	3.0	Undirected
7	#padr	#iren	3.0	Undirected
10	#padr	#bria	2.0	Undirected
20	#cuel	#garc	2.0	Undirected
12	#padr	#cipr	2.0	Undirected
11	#padr	#fern	2.0	Undirected
22	#laur	#juan	2.0	Undirected
19	#cuel	#fern	2.0	Undirected
24	#bria	#cipr	2.0	Undirected
5	#rive	#cipr	2.0	Undirected
3	#rive	#laur	2.0	Undirected
2	#rive	#cuel	2.0	Undirected
23	#laur	#escu	1.0	Undirected
25	#bria	#garc	1.0	Undirected
0	#rive	#padr	1.0	Undirected
13	#padr	#escu	1.0	Undirected
18	#cuel	#bria	1.0	Undirected
16	#iren	#escu	1.0	Undirected
1	#rive	#iren	1.0	Undirected
9	#padr	#laur	1.0	Undirected
8	#padr	#cuel	1.0	Undirected
6	#rive	#juan	1.0	Undirected
4	#rive	#bria	1.0	Undirected
26	#fern	#pere	1.0	Undirected
