	scene_1	scene_2	scene_3	scene_4	scene_5	scene_6	scene_7	scene_8	scene_9	scene_10	scene_11	scene_12	scene_13	scene_14	scene_15	scene_16	scene_17	scene_18	scene_19	scene_20	scene_21	scene_22	scene_23	scene_24	scene_25	scene_26
#rive	0	0	3	3	1	21	0	14	0	0	0	0	15	0	0	0	0	0	0	10	0	0	0	0	0	0
#padr	0	0	0	0	0	20	7	0	15	0	0	1	0	16	2	0	0	0	0	0	0	0	0	0	0	5
#iren	0	0	0	0	0	0	0	0	0	0	10	2	15	17	3	4	1	0	0	0	0	0	0	0	0	0
#cuel	0	9	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	10	10	0	0	0	4	2	3
#laur	6	8	1	2	0	0	0	0	0	0	10	1	0	0	0	0	7	0	0	0	0	4	1	3	2	0
#bria	0	0	0	0	0	0	1	12	15	1	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0
#fern	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	3	7	0	0	0	5	4	0	0	3	3
#cipr	0	0	0	0	0	1	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#juan	6	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#pere	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0
#garc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0
#escu	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
