	approximate_current_flow_betweenness_centrality	betweenness	closeness_centrality	communicability_centrality_exp	current_flow_betweenness_centrality	degree	degree-vs	eccentricity	eigenvector_centrality	importance	label	load_centrality	nature	pers_mes_characters	pers_mes_rss	pers_mes_scenes	pers_mes_sps	position	role	sex	importance-nr	is_protagonist	is_lover	is_antagonist	is_primary	is_minor	antagonist	lover	degree-rel	betweenness-rel	position-rel	work	total_characters
#maru	0.09934270915282281	0.012698412698412698	0.7894736842105263	3126.36305550723	0.09914782229765516	11	1100	2	0.285484009037546	secondary	Maruja	0.012698412698412705	person	8535	39	13	80	2	other	F	2	0	0	0	0	0	0	0	0.6875	0.0007936507936507937	0.125	bette031_Munoz_Refugio	16
#eulo	0.0774443615149172	0.0031746031746031746	0.6521739130434783	1358.9568933586556	0.06932919532401509	7	700	2	0.18810219771392359	minor	Eulogio	0.0031746031746031763	person	3123	7	8	44	14	other	M	3	0	0	0	0	1	0	0	0.4375	0.0001984126984126984	0.875	bette031_Munoz_Refugio	16
#beni	0.07530262205447949	0.006122448979591838	0.75	2762.7041029064794	0.08591819010607582	10	1000	2	0.268360850935203	minor	Benita	0.006122448979591839	person	5087	13	22	47	5	other	F	3	0	0	0	0	1	0	0	0.625	0.0003826530612244899	0.3125	bette031_Munoz_Refugio	16
#wist	0.056506148656815094	0.001360544217687075	0.625	1006.171253374819	0.059037248445969866	6	600	2	0.16178847193984672	minor	Wistremundo	0.0013605442176870743	person	2408	8	7	36	12	other	M	3	0	0	0	0	1	0	0	0.375	8.503401360544218e-05	0.75	bette031_Munoz_Refugio	16
#vict	0.05054657905562354	0.0	0.6521739130434783	1430.3671733006586	0.06320444241960263	7	700	2	0.1929750627296824	minor	Victoriano	0.0	person	2086	11	10	39	13	other	M	3	0	0	0	0	1	0	0	0.4375	0.0	0.8125	bette031_Munoz_Refugio	16
#paco	0.2482957892609998	0.15310657596371882	1.0	4117.321736696743	0.23226585208993208	15	1500	1	0.32763735826127705	minor	Paco	0.15310657596371882	person	9762	36	38	112	10	other	M	3	0	0	0	0	1	0	0	0.9375	0.009569160997732426	0.625	bette031_Munoz_Refugio	16
#afri	0.10226458599171265	0.0235827664399093	0.8333333333333334	3492.610198100237	0.11305458756470474	12	1200	2	0.3017636918008272	primary	África	0.023582766439909305	person	15177	54	44	208	1	lover	F	1	0	1	0	1	0	0	1	0.75	0.0014739229024943313	0.0625	bette031_Munoz_Refugio	16
#hora	0.12553861714460968	0.03882086167800453	0.8823529411764706	3824.056993178587	0.12941862338058738	13	1300	2	0.31576599219418366	primary	Horacio	0.038820861678004547	person	27638	61	46	228	7	protagonist	M	1	1	0	0	1	0	0	0	0.8125	0.0024263038548752833	0.4375	bette031_Munoz_Refugio	16
#niev	0.07497421398890851	0.008888888888888889	0.75	2716.0695587793057	0.0894732363668967	10	1000	2	0.2660834685652783	minor	Nieves	0.00888888888888889	person	5414	19	16	71	4	other	F	3	0	0	0	0	1	0	0	0.625	0.0005555555555555556	0.25	bette031_Munoz_Refugio	16
#cons	0.10798371502519402	0.012698412698412698	0.7894736842105263	3126.3630555072314	0.09914782229765515	11	1100	2	0.285484009037546	secondary	Consuelo	0.012698412698412705	person	5289	32	12	67	3	other	F	2	0	0	0	0	0	0	0	0.6875	0.0007936507936507937	0.1875	bette031_Munoz_Refugio	16
#todo	0.06190476190476191	0.0	0.5555555555555556	183.12878890710903	0.04107142857142864	3	300	2	0.06858307864627412	minor	Todos	0.0	person	14	0	1	1	17	other	O	3	0	0	0	0	1	0	0	0.1875	0.0	1.0625	bette031_Munoz_Refugio	16
#ramo	0.07859521503014946	0.0	0.7142857142857143	2437.8644815194725	0.0718457780660385	9	900	2	0.25208116817192183	secondary	Ramón	0.0	person	11374	45	16	132	9	other	M	2	0	0	0	0	0	0	0	0.5625	0.0	0.5625	bette031_Munoz_Refugio	16
#jorg	0.023809523809523808	0.0	0.5555555555555556	183.12878890710908	0.04107142857142857	3	300	2	0.06858307864627412	minor	Jorge	0.0	person	294	0	1	7	15	other	M	3	0	0	0	0	1	0	0	0.1875	0.0	0.9375	bette031_Munoz_Refugio	16
#luis	0.0927211354129219	0.015011337868480726	0.7894736842105263	3058.5880147700295	0.10266737329619285	11	1100	2	0.2823631513285595	secondary	Luis	0.015011337868480731	person	7949	37	17	95	8	other	M	2	0	0	0	0	0	0	0	0.6875	0.0009382086167800454	0.5	bette031_Munoz_Refugio	16
#conde	0.06007038857943301	0.0	0.6521739130434783	1430.3671733006586	0.06320444241960262	7	700	2	0.1929750627296824	minor	Condesa	0.0	person	6174	18	13	61	6	other	F	3	0	0	0	0	1	0	0	0.4375	0.0	0.375	bette031_Munoz_Refugio	16
#timo	0.24829578926099968	0.15310657596371882	1.0	4117.321736696742	0.2322658520899319	15	1500	1	0.3276373582612771	minor	Timoteo	0.15310657596371882	person	9744	36	38	111	11	other	M	3	0	0	0	0	1	0	0	0.9375	0.009569160997732426	0.6875	bette031_Munoz_Refugio	16
