	Source	Target	Weight	Type
1941	scene_39	scene_95	6.0	Undirected
1919	scene_39	scene_71	6.0	Undirected
2743	scene_81	scene_82	6.0	Undirected
1414	scene_26	scene_95	6.0	Undirected
2431	scene_59	scene_95	6.0	Undirected
871	scene_15	scene_82	6.0	Undirected
2458	scene_60	scene_95	5.0	Undirected
873	scene_15	scene_84	5.0	Undirected
933	scene_16	scene_81	5.0	Undirected
934	scene_16	scene_82	5.0	Undirected
936	scene_16	scene_84	5.0	Undirected
1278	scene_24	scene_29	5.0	Undirected
1318	scene_24	scene_95	5.0	Undirected
1386	scene_26	scene_59	5.0	Undirected
1363	scene_26	scene_29	5.0	Undirected
1368	scene_26	scene_39	5.0	Undirected
1387	scene_26	scene_60	5.0	Undirected
1403	scene_26	scene_81	5.0	Undirected
2402	scene_59	scene_60	5.0	Undirected
1538	scene_29	scene_95	5.0	Undirected
1910	scene_39	scene_59	5.0	Undirected
1928	scene_39	scene_81	5.0	Undirected
2642	scene_71	scene_95	5.0	Undirected
1275	scene_24	scene_26	5.0	Undirected
870	scene_15	scene_81	5.0	Undirected
813	scene_15	scene_16	5.0	Undirected
2754	scene_81	scene_95	5.0	Undirected
2745	scene_81	scene_84	5.0	Undirected
2756	scene_82	scene_84	5.0	Undirected
1920	scene_39	scene_72	4.0	Undirected
350	scene_6	scene_61	4.0	Undirected
598	scene_10	scene_79	4.0	Undirected
556	scene_10	scene_15	4.0	Undirected
552	scene_10	scene_11	4.0	Undirected
1395	scene_26	scene_71	4.0	Undirected
1929	scene_39	scene_82	4.0	Undirected
503	scene_8	scene_87	4.0	Undirected
1411	scene_26	scene_92	4.0	Undirected
499	scene_8	scene_82	4.0	Undirected
1494	scene_29	scene_39	4.0	Undirected
1510	scene_29	scene_59	4.0	Undirected
1511	scene_29	scene_60	4.0	Undirected
1528	scene_29	scene_81	4.0	Undirected
303	scene_6	scene_8	4.0	Undirected
1529	scene_29	scene_82	4.0	Undirected
441	scene_8	scene_15	4.0	Undirected
1908	scene_39	scene_57	4.0	Undirected
372	scene_6	scene_87	4.0	Undirected
1911	scene_39	scene_60	4.0	Undirected
368	scene_6	scene_82	4.0	Undirected
481	scene_8	scene_61	4.0	Undirected
1360	scene_25	scene_95	4.0	Undirected
601	scene_10	scene_82	4.0	Undirected
2161	scene_47	scene_95	4.0	Undirected
